en;ru;kk;translation_key;is_preload
Certificates re-issue;Перевыпуск сертификатов;Сертификаттарды қайта шығару;m_cert_reissuing;0
Download of accounts;Загрузка счетов;Шоттарды жүктеу;job_ACCOUNT;0
Currency exchange request;Запрос курсов валют;Валюталар бағамын сұрату;job_EXCHANGE_RATE;0
Document status request;Запрос состояния документа;Құжаттың күйі сұранымы;job_DOC_STATE_CHANGED;0
International transfer;Международный перевод;Халықаралық аударым;job_EXPORT_INTERNATIONAL;0
Transfer between own accounts;Перевод между своими счетами;Өз шоттары арасындағы аударым;page_inner_transactions;0
Transfer in national currency;Перевод в национальной валюте;Ұлттық валютадағы аударым;job_EXPORT_DOMESTIC_TRANSFER;0
Integration objectives;Задачи интеграции;Интеграция тапсырмалары;job_group_integration;0
Tasks on documents;Задачи по документам;Құжаттар бойынша тапсырмалар;job_group_documents;0
Invoices issue ;Выставленные счета;Ұсынылған шоттар;job_exposedOrder;0
Types of exchange rates;Типы курсов валют;Валюта курстар типтері;job_CURRENCY_RATE_TYPE;0
Regions;Регионы;Аймақтар;job_REGION;0
Cities;Города;Қалалар;job_CITY;0
Notifications;Уведомления;Хабарларамалар;job_NOTIFICATIONS;0
Create keys;Создать ключи;Кілт жасау;vc_keysRequest;0
Add type;Добавить тип;Типін қосу;signingrules_addDocType;0
Show stopped cards;Показать закрытые карты;Жабық карталарды көрсету;showClosedCards;0
Symbol;Символ;Белгі;currency_currencycode;0
Value (setting, entry, meaning);Значение;Мәні;global_settings.constants.table.col.value;0
Calendar name;Название календаря;Күнтізбенің атауы;calendarName;0
Approved;Утверждён;Бекітілді;approved;0
Viewing/Editing;Просмотр/Редактирование;Қарау / Редакциялау;invoice_edit;0
Create a Document Type;Создание Типа документа;Құжат типін жасау;creatingDocType;0
Payer;Плательщик;Төлеуші;paymentOrder_payerDetail;0
IP terminal ;IP терминала;терминалдың IP;requests_terminal;0
Wrong e-mail;Неверный email;Дұрыс емес email;common_incorrectEmail;0
Create a new document;Создать новый документ;жаңа құжат жасау;common_createDocument;0
Start;Старт;Старт;jobs.started;0
Password confirmation;Подтверждение пароля;Құпиясөзді растау;customeruser_passwordConfirmation;0
View through;Просмотреть;Қарау / көру;organizations_details;0
Create a new System Module;Создать новый Модуль системы;Жаңа жүйе модулін жасау;createNewSystemModule;0
The first and second characters should be KZ.;Первый и второй символы должны быть KZ.;Бірінші және екінші белгі KZ. болуы тиіс;paymentOrder_valid_firstCharsKZ;0
General;Общее;Жалпы;companyPersonEdit_maintabTitle;0
Name;Имя;Аты ;paymentOrder_firstName;0
Show balance of all accounts;Показать остаток по всем счетам;Барлық шоттар бойынша қалдықты көрсету;common_showBalance;0
Sending notification  channel;Канал отправки уведомлений;Хабарламаларды жіберу арнасы;sendingNotificationsChannel;0
Go to;Перейти на;Келесіге көшу;notFound_go_to_the;0
Create a country;Создание страны;Ел жасау;countryCreating;0
Confirm the action:;Подтвердите действие:;Әрекетті растаңыз:;common_confirmAction;0
Information from the Bank;Информация из Банка;Банктен ақпарат;paymentOrder_bankInfo;0
Actions ;Действия;Әрекеттер;operationsWithCardProductType;0
Invalid login or password;Неверный логин или пароль;Дұрыс емес логин немесе құпиясөз;login.IncorrectLoginOrPassword;0
Valid keys are absent ;Валидные ключи отсутствуют;Валидті кілттер жоқ;docSigning_noValidKeys;0
Block/Arrest reason;Причина блокировки/ареста;Бұғаттау/тыйым салу себебі;common_arrestBlockReason;0
Add new currency;Добавить новую валюту;Жаңа валютаны қосу;currency_addnewcurrency;0
View Edit Pension Template;Просмотр / Редактирование Шаблона  Пенсионного отчисления;null;paymentOrder_viewEditPensionTemplate;0
Create a bank;Создание банка;Банк жасау;bankCreating;0
Create a Multifactor Authorization;Создание многофакторной авторизации;Көпфакторлы авторландыру жасау;authfactorcreate_title;0
Name;Наименование;Атауы;paymentOrder_payerName;0
Actions ;Действия;Әрекеттер;operationsWithDocStatus;0
Export to 1C;Экспорт в 1C;1С-ке экспорт;domestic_documentExport1c;0
Starting date of an action must precede the closing date;Дата начала действия должна предшествовать дате окончания;Әрекеттің басталу күні аяқталу күніне дейін болуы тиіс;exchangeRate.date.conflict;0
User certificates;Сертификаты пользователя;Пайдаланушылар сертификаттары;userCertificates;0
Agreement with the term of opening an account;Согласие с условием открытия счета;Шот ашу талаптарына келісу;demandCreate_agreeWithCondition;0
IIN is repeated;ИИН повторяется;ЖСН қайталанады;paymentOrder_taxCodeRepeated;0
Document type;Тип документа;Құжат типі;createDemandType_documentType;0
Bank details - Pension, social contributionsv;Реквизиты - Пенсионные, социальные отчисления;null;detailsPensionSocialContributions;0
An error in;ошибка в;...-дағы қате;common_error_in;0
BCC (budgetary classification code) with such code already exists;КБК с таким кодом уже существует;Мұндай кодымен БЖК ендіге бар;kbkCodeAlreadyExists;0
Loan status;Состояние кредита;Кредит жағдайы;creditState;0
Borrowing currency;Валюта займа;Қарыз валютасы;loanCurrency;0
Recipient;Получатель;Алушы;invoice_receiver;0
Error of loading the current calendar. Please reload the page or try again later.;Ошибка загрузки текущего календаря. Перезагрузите страницу или попробуйте позже;Ағымдағы күнтізбені жүктеу қатесі. Бетті қайта жүктеңіз немесе кейінірек қайта байқап көріңіз;currentCalendarLoadingErrorReload;0
Completed;Выполнен;Орындалды;common_done;0
International mailing address;Международный почтовый адрес;Халықаралық почта мекенжайы;intPostAddress;0
Create a new reason for blocking the card;Создать новую Причину блокировки карты;Картаны бұғаттаудың жаңа себебін жасау;createCardBlockReason;0
Default Organization;Организация по умолчанию;Ұйым үнсіздік бойынша;personal_default_org;0
This field should not exceed 128 characters!;Это поле не должно превышать 128 символа!;Бұл жолда 128 белгіден артық болмауы тиіс!;noMore128Symbols;0
Types of work;Типы работ;Жұмыс типтері;navigation_jobsType;0
Message:;Message:;Message:;error.message;0
Editing of bank order template;Просмотр / Редактирование Шаблона Платежного поручения;Төлемдік тапсырма Шаблонын қарау / Редакциялау ;paymentOrder_viewEditTemplate;0
Deselect all;Отменить выделение;Бөлуді болдырмау;grid_cancelselection;0
Error of loading current currency. Please reload the page or try again later.;Ошибка загрузки текущей валюты. Перезагрузите страницу или попробуйте позже;Ағымдағы валютаны жүктеу қатесі. Бетті қайта жүктеңіз немесе кейінірек қайта байқап көріңіз;currency_error3;0
Error of Create currency. Please reload the page or try again later.;Ошибка создания валюты. Перезагрузите страницу или попробуйте позже;Валюта жасағандағы қате. Бетті қайта жүктеңіз немесе кейінірек қайта байқап көріңіз!;currency_error2;0
Error of currency update. Please reload the page or try again later.;Ошибка обновления валюты. Перезагрузите страницу или попробуйте позже;Валютаны жаңалау қатесі. Бетті қайта жүктеңіз немесе кейінірек қайта байқап көріңіз;currency_error1;0
Input error;Ошибка ввода;Енгізу қатесі;common_InputError;0
Not important;Не важен;Мыңызды емес;signingrules_withoutorder;0
The code should not exceed 6 digits;Код не должен превышать 6-х цифр;Код 6 саннан аспауы тиіс;noMore6Digits;0
The module of the system with this code already exists;Модуль системы с таким кодом уже существует;Мұндай кодымен жүйенің модулі ендіге бар;systemModuleWithSameCodeAlreadyExists;0
Bulk mailing;Массовая рассылка;Жаппай жіберу;multicasting_packTitle;0
Add New Pension Template;Создание Шаблона Пенчионного отчисления;Создание Шаблона Пенчионного отчисления;paymentOrder_addNewPensionTemplate;0
Full name of  the changed user;Ф.И.О. измененного пользователя;Өзгертілген пайдаланушының аты-жөні;events_subjectname;0
Payer's account;Счет плательщика;Алушы шоты;domTransfer_payerAccount;0
Enter your login;Укажите логин;Логинді көрсетіңіз;login_enter_login;0
Configure the issued currencies;Настроить выдаваемые валюты;Берілетін валюталарды баптау;customizeIssuedCurrency;0
Currency of account commission ;Валюта счета взимания комиссии;Комиссияны алу шотының валютасы;intTransfer_feeCurrency;0
Publication Status: Not Published;Статус публикации: не опубликовано;Жариялау мәртебесі: жарияланған жоқ;createDemandType_statusPublishedFalse;0
Password;Пароль;Құпиясөз;login_factor_Password;0
Current email;Текущий email;Ағымдағы еmail;personal_currentEmail;0
Action activity;История действия;Әрекет тарихы;events_title;0
Section;Раздел;Тарау;page_menudetailstitle;0
Company person id is not present;Company person id is not present;Company person id is not present;letter.validation.company.person;0
Status;Статус;Мәртебе;common_status;0
View and Editing of card products type;Просмотр и редактирование Вида карточных продуктов;Карталық өнімдер түрін қарау және редакциялау;viewingEditingCardProductType;0
User ID (ID in the system);Идентификатор Пользователя(Id в системе);Пайдаланушы сәйкестендіргіш (жүйедегі Id);EventsExcelCreator.ExecutorId;0
Name;Наименование;Атауы;paymentOrder_recipientName;0
Accounts filter settings;Настройки фильтра счетов;Шоттар сүзгісін баптаулар;demandType_filterSettings;0
Block requisites: document;Block requisites: document;null;documentBlock;0
Privilege;Привилегии;Артықшылықтар;companyPersonEdit_privilegestabTitle;0
Log on;Вход в систему;Жүйеге кіру;login_title;0
New;Новый;Жаңа ;ps_New;0
Organization managers;Менеджеры организации;Ұйымның менеджерлері;common_managers;0
Create an employee;Создать сотрудника;Қызметкер жасау;employee_createEmployee;0
Message from the bank;Сообщение из банка;Банкіден хабарлама;common_MasageFromBank;0
View and Editing of the letter type;Просмотр и редактирование Типа письма;Хат типін қарау және редакциялау;viewingEditingLetterType;0
Refund amount;Сумма возврата;Қайтару сомасы;refunds.amount;0
Type of directory;Тип справочника;Анықтамалық типі;global_settings.constants.table.col.handbook_type;0
Maximum length is 1000 characters!;Максимальная длина 1000 символов!;Максималды ұзындығы 1000 символ!;global_settings.constants.validation.max.1000;0
The number of incorrect passwords;Количество неправильных паролей;Дұрыс емес құпиясөздер саны;customeruser_incorrectPasswordCount;0
Editing a task;Редактирование задачи;Міндетті редакциялау;jobs.edit_job.title;0
1 deposit selected;1 депозит выбран;1 депозит таңдалды;oneDepositIsSelected;0
Document creation date;Дата создания документа;Құжатты жасау күні;common_documentDate;0
Name;Имя;Аты ;customeruser_firstName;0
Deposit account;Счет депозита;Депозит шоты;depositAccount;0
Refuse;Отказать;Бас тарту;action_reject;0
Document №;Документ номер;Құжат нөмірі;upload_docNumber;0
Bank order;Платежное поручение;Төлемдік тапсырма;domTransfer_paymentOrder;0
Make visible;Сделать видимым;Көрінетін ету;common_makeVisible;0
Content of the answer;Содержание ответа;Жауап мазмұны;requests_response;0
Account;Счет;Шот;senderAccount;0
Account balance;Остаток на счете;Шоттағы қалдық;paymentOrder_accountBalanceKZT;0
Categories of applications;Категории заявлений;Өтініш санаттары;CodeCategory_labelReference;0
Payer;Плательшик;Төлеуші;invoice_payer;0
Payee's BIN;БИН получателя;Алушының БСН;receiversBIN;0
Notification type;Тип уведомлений;Хабарламалар типі;alertsType;0
Invalid current password;Неверный текущий пароль;Дұрыс емес ағымдағы құпиясөз;personal_incorrectCurrentPass;0
Amount of write-off for;Сумма списания по;бойынша есептен шығару сомасы;accTransfer_debitAmountTo;0
Status;Статус;Мәртебе;customeruser_status;0
Status of document;Статус документа;Құжат мәртебесі;common_docStatus;0
Per month;За месяц;Бір ай үшін;common_forMonth;0
Receiver name;Имя получателя;Алушының аты;domTransfer_receiverName;0
Details of blocked amount;Детали заблокированой суммы;Бұғатсыздандырылған соманың егжей-тегжейлері;blockedAmountDetails;0
Cash sales;Продажа Наличный;Қолма-қол ақшамен сату;CASH_SALE;0
Error of calendar creation. Is this a duplicate?;Ошибка при создании календаря. Возможно это дубликат?;Күнтізбе жасағандағы қате. Мүмкін бұл телдана?;savingCalendarError;0
Full name;ФИО;Аты-жөні;EventsExcelCreator.ExecutorName;0
field type;тип поля;Жол типі;field_type;0
id;ид;сд;CodeCategory_id;0
Add account;Добавить счет;Шотты қосу;signingrules_addAccount;0
Date of creation;Дата создания;Құрылу күні;news_createDate;0
Closed;Закрытый;Жабық ;ps_Closed;0
Amount;Сумма;Сома;invoice_amount;0
Exchange rates;Курсы валют;Валюталардың бағамдары;navigation_handbookExchangeRates;0
Messenger action;Действие менеджера;Менеджердің әрекеті;events_manageraction;0
List of works;Список работ;Жұмыстар тізімі;jobs.List;0
Your request cannot be processed;Your request cannot be processed;null;error.title;0
Name of recipient;Наименование получателя;Алушының атауы;transferRequisites_recipientName;0
VAT amount in KZT;НДС сумма KZT;ҚҚС сомасы KZT;paymentOrder_vatKZT;0
Your session is closed by the bank manager;Ваша сессия закрыта администратором банка;Сіздің сессияңыз банктің әкімшісімен жабық;errorpage419_title;0
All events are selected;Все события выбраны;Барлық оқиғалар таңдалды;events_allselected;0
Error is occurred when document signing;Возникла ошибка при подписи документа;Құжатқа қол қою кезінде қате туындады ;signature.signError;0
Registration of a new manager;Регистрация нового менеджера;Жаңа менеджерді тіркеу;managers_add;0
Statement details;Детали заявления;Өтініштің егжей-тегжейлері;demandCreate_demandDetail;0
Ending on the date;Заканчивая датой;Күнмен аяқталып;standing.order.to.date;0
Create a Payment Order;Создание Платежного поручения;Төлемдік тапсырма жасау;paymentOrder_addNewOrder;0
Commission;Комиссия;Комиссия;paymentOrder_commission;0
Labor resources token status;Статус OTP токенов;ОТР токендер мәртебесі;otpTokensStatus;0
IP adress;IP адрес;IP мекенжай;sessions_terminalip;0
Payment destination code;Код назначение платежа;Төлемнің белгілену коды ;common_purposeCode;0
Documents ;Документы;Құжаттар;navigation_documents;0
Your profile is deleted;Ваш профиль удален;Сіздің бейініңіз жойылған;login.ProfileDeleted;0
View and Editing the System Module;Просмотр и редактирование Модуля системы;Жүйе модулін қарау және редакциялау;viewingEditingSystemModule;0
Enter template title;Введите имя шаблона;Шаблонның атын енгізіңіз;Payment_action_inputTemplateName;0
Authorization factor name;Название фактора авторизации;Авторлау факторының атауы;authfactor_name;0
Safety tips;Советы по безопасности;Қауіпсіздік бойынша кеңестер;login_tips;0
Current phone number;Текущий телефон;Ағымдағы телефон;personal_currentPhone;0
Description of the budgetary classification code;Описание КБК;БЖК сипаттау;paymentOrder_budgetCodeDescription;0
Maximum number of incorrect passwords;Максимальное количество неправильных паролей;Дұрыс емес құпиясөздердің максималды саны;customeruser_maxIncorrectPasswordCount;0
Invalid SMS password;Неверный смс пароль;Дұрыс емес смс құпиясөз;login.IncorrectSMSPassword;0
Account validity period;Срок действия счета;шоттың әрекет мерзімі;accountValidity;0
First-time user;Новый пользователь;Жаңа пайдаланушы;customerUser_add;0
Amount;Сумма;Сома;paymentOrder_amount;0
Type of deposit products;Виды депозитных продуктов;Депозиттік өнімдердің түрлері;depositProductTypes;0
View of card lock/unlock history;Просмотр истории блокировок/разблокировок карты;Картаны бұғаттау/бұғаттан шығару тарихын қарау;viewHistoryCardLockUnlock;0
Requests for re-issuance of certificates;Запросы на перевыпуск сертификатов;Сертификатты қайта шығаруға сұранымдар;certificationRequests;0
Is set by the client;Настраивается клиентом;Клиентпен бапталады;notificationtype_iseditablebyclient;0
Rate;Курс;Бағам;accTransfer_rate;0
Open;Открытый;Ашық;common_opened;0
Rate scale;Масштаб курса;Бағам ауқымы;exchangeRates_courseScale;0
Are you sure you want to delete Type of deposit products №;Вы действительно хотите удалить Вид депозитных продуктов №;Сіз шынымен № депозиттік өнімдердің Түрін өшіргіңіз келеді ме;sureYouWantDeleteDepositProductType;0
Types of commissions;Типы комиссий;Комиссия типтері;feesTypes;0
Privilege;Привилегии;Артықшылықтар;roles_privileges;0
IIN / BIN of the payer;ИИН/БИН плательщика;Төлеушінің ЖСН/БСН;domTransfer_payerTaxCode;0
Beneficiary Code:;КБЕ:;КБЕ:;KBE;0
Log on to;Вход до;дейін кіру;companyperson_validto;0
National name;Национальное название;Ұлттық атау;district_name;0
There is no currency exchange rate;Курс валют отсутствует;Валюталардың бағамы жоқ;paymentOrder_exchangeRateEmpty;0
Amount;Сумма;Сома;notification_amount;0
View of the payment order;Просмотр платежного поручения;Төлемдік тапсырманы қарау;paymentOrder_view;0
Wrong password;Неверный пароль;Дұрыс емес  құпия сөз;personal_incorrectPass;0
Name;Наименование;Атауы;global_settings.constants.table.col.name;0
Send to bank;Отправить в банк;Банкке жөнелту;paymentOrder_sentToBank;0
Directories;Справочники;Анықтамалықтар;navigation_handbooks;0
Budgetary Classification Code;КБК;БЖК;paymentOrder_budgetCode;0
Direction;Направление;Бағыт;direction;0
Signature is not required;Подпись не требуется;Қолтаңба қажет емес;signature.signIsNotRequired;0
Review №;№ отзыва;Кері қайтарудың №;withdraw_num;0
Login;Логин;Логин;UsersExcelCreator.Login;0
Full name;ФИО;Аты-жөні;EventsExcelCreator.SubjectName;0
Create a rule for signing;Создать правило для подписи;Қол қою ережесін жасау;signingrules_add;0
tax code of the beneficiary;налоговый код бенефициара;бенефициардың салық коды;common_benefTaxCode;0
BIC of Payer's Bank;БИК Банка Плательщика;Төлеуші банкінің БСК;transferRequisites_payerBankCode;0
The city with such code is already exist;Город с таким кодом уже существует;Мұндай кодымен қала ендіге бар;cityWithSameCodeAlreadyExists;0
Order of;Порядок;Тәртіп;signingrules_order;0
Subdivision;Подразделение;Бөлімше;manager_subdivision;0
Show certificate;Показать сертификат;Сертификатты көрсету;companyperson_certificate_display;0
Date of document;Дата документа;Құжаттың күні;withdraw_doc_date;0
Balance on all accounts;Остаток по всех счетах;Барлық шоттардағы қалдық;common_balanceByAllAccounts;0
Corporate card details;Детали корпоративной карты;Корпоративтік картаның егжей-тегжейлері;corporateCardDetails;0
Active;Активен;Белсенді;organization.active;0
Hide closed accounts;Скрыть закрытые счета;Жабық шоттарды жасыру;common_hideClosedAccounts;0
Overdue;Просрочен;Мерзімі өтті;common_overdue;0
Authorization factors;Факторы авторизации;Авторландыру факторлары;companyPersonEdit_authtabTitle;0
Message filter settings;Настройки фильтра сообщений;Хабарламалар сүзгісін баптаулар;letterFilterSettings;0
International currency transfer;Международный перевод валюты;Валютаның халықаралық аударымы;intTransfer_title;0
IIN / BIN of the sender;ИИН/БИН отправителя;Жіберушінің ЖСН/БСН ;invoice.payer.bin;0
Templates;Шаблоны;Шаблондар;common_Templates;0
Enter password for keys storage;Введите пароль для хранилища ключей;Кілттер қоймасы үшін құпиясөзді енгізіңіз;docSigning_inputProfilePassword;0
Non-cash purchase;Покупка Безналичный;Қолма-қол ақшасыз сатып алу;CASHLESS_PURCHASE;0
Running balance;Текущий остаток;Ағымдағы қалдық;currentBalance;0
User is not defined;Пользователь не определен;Пайдаланушы анықталған жоқ;workflow_userNotDetected;0
Overdued;Просроченый;Мерзімі өтіп кеткен;key_expired;0
Constant group;Группы констант;Константалар тобы;navigation_group_constants;0
Remaining balance in loan currency;Остаток вознаграждения в валюте займа;Қарыз валютасындағы сыйақы қалдығы;balanceRemunerationCurrencyLoan;0
Blocked;Блокирован;Бұғатталған;signingrules_notactive;0
Three-character code;Трехсимвольный код;Үшбелгілі код;threeSymbolCode;0
Types of accounts;Виды счетов;Шоттардың түрлері;accountTypes;0
Abbreviation;Сокращенное название;Қысқартылған аты;shortName;0
The sender's account and the beneficiary's account should not be the same;Счет отправителя и счет получателя не должны быть одинаковыми;Жөнелтуші шоты мен алушы шоты бірде болмауы тиіс;paymentOrder_dontDuplicateAccount;0
Change of domain;Изменение области;Облысты өзгерту;districts_update;0
Configure accepted currencies;Настроить принимаемые валюты;Қабылданатын валюталарды баптау;customizeAcceptedCurrency;0
This filed should not exceed 255 characters!;Это поле не должно превышать 255 символа!;Бұл жолда 255 белгіден артық болмауы тиіс!;noMore255Symbols;0
Payee's Bank;Банк получателя;Алушының Банкі;receiversBank;0
Create an international payment template;Создание Шаблона международного платежа;Халықаралық төлем шаблонын жасау;intTransfer_createTemplate;0
Open a deposit;Открыть депозит;Депозит ашу;common_openDeposit;0
Values array ;Массив значений;Мәндердің массиві;global_settings.constants.values;0
There are incorrectly filled fields, saving will not be performed;Есть неправильно заполненные поля, сохранение выполнено не будет;Дұрыс толтырылмаған жолдар бар, сақтау орындалмайды;createDemandType_saveMassage;0
Error code;Код ошибки;Қате коды;jobs.errorCode;0
Passwords do not match;Пароли не совпадают;Құпиясөздер сәйкеспейді;customeruser_passwordsnotequals;0
Actions ;Действия;Әрекеттер;operationsWithAtmsBranchesTerminals;0
Accounts and cards;Счета и карты;Шоттар мен карталар;navigation_accountsAndCards;0
Import date;Дата импорта;Импорт күні;importDate;0
User ID;ИД пользователя;Пайдаланушының СД;events_executorId;0
This filed should not exceed 255 characters!;Это поле не должно превышать 255 символов!;Бұл жолда 255 белгіден артық болмауы тиіс!;common_field_max255chars;0
Fill in from the directory;Заполнить из справочника;Анықтамалықтан толтыру;paymentOrder_getFromHandbook;0
Importing documents from 1s;Импорт документов из 1с;1с-тен құжаттардың импорты;common_documentImport1c;0
Payment orders in national currency;Платежные поручения в национальной валюте;Ұлттық валютадағы төлемдік тапсырма;domTransfer_nationalPayments;0
All calendars are selected;Все календари выбраны;Барлық күнтізбелер таңдалды;allCalendarsAreSelected;0
Documents to work;Документы в работу;Жұмысқа құжаттар;navigation_workingDocs;0
Type;Тип;Тип;withdraw_doc_type;0
Payment details;Детали платежа;Төлемнің егжей-тегжейлері;paymentOrder_paymentDetail;0
0 impossible ;0 недопустимо;0 жол берілмейді;common_greaterThanZero;0
View of salary deductions;Просмотр Зарплатного отчисления;Еңбекақыны аударуды қарау;paymentOrder_viewPayroll;0
purpose of payment;назначение платежа;төлемнің белгіленуі;common_purpose;0
Constants;Константы;Константалар;navigation_constants;0
Type of documents;Вид документов;Құжаттардың түрі;common_kindDocument;0
Unblock;Разблокировка;Бұғаттан шығару;unblocking;0
By the default;По умолчанию;Үнсіздік бойынша;common_default;0
Pension requisites;Реквизиты - Пенсионные отчисления;Реквизиты - Пенсионные отчисления;transferRequisites_pensionRequisites;0
Blocked amounts;Заблокированые суммы;Бұғатталған  сомалар;blockedAmounts;0
Exchange rate of transaction;Курс сделки;Мәміле бағамы;paymentOrder_exchangeRate;0
Add New Social Template;Создание Шаблона Социального отчисления;Создание Шаблона Социального отчисления;paymentOrder_addNewSocialTemplate;0
Save a document ;Сохранить Документ;Құжатты сақтау;common_saveDocument;0
Message template;Шаблон сообщения;Хабарламалар шаблоны;notification_template;0
Agreement number;Номер договора;Шарт нөмірі;contractNumber;0
Regions;Области;Облыстар;district_districts;0
Select keys storage;Выберите хранилище ключей;Кілттер қоймасын таңдаңыз;docSigning_chooseProfile;0
Code of the sender of money / Code of the beneficiary (CODE / BENEFICIARY CODE);Код отправителя денег/Код бенефициара(КОД/КБЕ);Ақша қаражаттарын жіберушінің коды/Бенефициардың коды (КОД/КБЕ);senderCode;0
Document condition;Состояние документа;Құжат жағдайы;withdraw_doc_status;0
Minimum length of 6 characters;Минимальная длина 6 символов;Минималды ұзындығы 6 символ;auth.opt.token.min_length;0
Contract amount;Сумма контракта;Контракт  сомасы;common_contractAmount;0
Reset;Сброс настроек;Баптауды кетіру;clear_settings;0
Card currency;Валюта карты;Карта валютасы;cardCurrency;0
Invoices;Счета;Шоттар;signingrules_accounts;0
Arrested amount ;Арестованная сумма;Тыйым салынған сома;common_arrestedSum;0
PCO tokens;ОТП токены;ТОП токендер;otpTokens;0
The total file size should not exceed;Общий размер файлов не должен превышать;Файлдардың жалпы мерзімі аспауы тиіс;common_totalFileSizeShouldNotExceed;0
Amount of all outstanding payments;Сумма всех неисполненных платежей;Барлық орындалмаған төлемдер сомасы;nonOutstandingPayments;0
Recipient;Получатель;Алушы;domTransfer_receiver;0
Server time for synchro;Время сервера для синхронизации;Синхрондау үшін сервер уақыты;serverTimeForSync;0
Contract №;№ контракта;Келісім-шарт №;common_contractNumber;0
Create new customer;Создать нового клиента;Жаңа клиент жасау;organizationsCreate_create;0
Managers roles;Роли менеджеров;Менеджерлер ролдері;navigation_managersroles;0
Cards;Карты;Карталар;cards;0
Main;Главная;Басты;common_main;0
Types of card products;Виды карточных продуктов;Карталық өнімдердің түрлері;cardProductTypes;0
Add ;Добавить;Қосу;common_add;0
Currency of debiting;Валюта списания;Шығындау валютасы;accTransfer_debitCurrency;0
Payment from the account;Платеж со счета;Шоттан төлеу;actions_paymentFromAccount;0
Amount in account currency;Сумма в валюте счёта;Шот валютасындағы сомасы;amountInAccountCurrency;0
Loan payment;Платеж по кредиту;Кредит бойынша төлем;actions_loanPayment;0
Amount;Сумма;Сома;domTransfer_amountKZT;0
Channel;Канал;Арна;sessions_channel;0
Deposits;Депозиты;Депозиттер;navigation_deposits;0
Bank branch;Филиал банка;Банк  филиалы;bankBranch;0
Blocked;Заблокирован;Бұғатталған ;organization.grid.blocked;0
Start;начало;басталуы;start;0
Document type;Тип документа;Құжат типі;DocumentType;0
Viewing and editing the user data;Просмотр и редактирование данных пользователя;Пайдаланушы деректерін қарау және редакциялау;customeruser_editor_title;0
Blocked;Блокированый;Бұғатталған;ps_Blocked;0
Available limit;Доступный лимит;Қолжетімді шектелім;availableLimit;0
View social contribution;Просмотр Социального отчисления;Просмотр Социального отчисления;paymentOrder_viewSocialContribution;0
End of action;Конец действия;Әрекеттің соңы;exchangeRates_end;0
The sign of multilanguage;Признак мультиязычности;Мультитілділік белгісі;global_settings.constants.table.col.multi_lang;0
Data is entered incorrectly;Данные введены некорректно;Деректер дұрыс енгізілмеген;common_incorrectSymbol;0
Published on;Опубликовано;Жарияланды;demandType_public;0
Locality;Населённый пункт;Елді жер;banks_populatedLocality;0
Account closing date;Дата закрытия счёта;Шотты жабу күні;account_closingDate;0
Bank's BIC National;БИК банка национальный;Ұлттық банкінің БСК;banks_bikBankNat;0
Error message;Сообщение об ошибке;Қате туралы хабарлама;jobs.errorMessage;0
Delete notification settings;Удалить настройки уведомлений;Хабарламалар баптауын алып тастау;clear_notification_settings;0
Operating system;Операционная система;Операциялық жүйе;events_operatingSystem;0
Amount of the loan agreement in the loan currency;Сумма кредитного договора в валюте займа;Қарыз валютасындағы кредиттік шарт сомасы;amountAgreementCurrencyLoan;0
Entries on the page;Записей на странице;Беттегі жазулар;grid_rowsperpage;0
Payment;Платеж;Төлем;payment;0
Period before;Период до;дейінгі кезең;invoice_date_to;0
Rate of performance with;Курс исполнения с;бастап орындау бағамы;accTransfer_rateFrom;0
International postal code;Международный почтовый индекс;Халықаралық почта индексі;common_intZip;0
Beneficiary's details;Детали бенефициара;Бенефициардың егжей-тегжейлері;paymentOrder_beneficiary;0
Cash;Наличные;Қолма-қол ақша ;CASH;0
Get the keys;Получить ключи;Кілттерді алу;docSigning_loadKeys;0
Organizations;Организации;Ұйымдар;excel.organizations;0
deposits selected; депозитов выбрано;депозиттер таңдалды;depAreSelected;0
Limit name;Название лимита;Шектелімнің атауы;limit_name;0
Application for card re-issue;Заявка на перевыпуск карты;Картаны қайта шығаруға өтінім;reIssuanceCardRequest;0
Details autocompletion;Автозаполнение реквизитов;Деректемелерді автотолтыру;AutoFilling;0
Sender's code;Код Отправителя;Жіберуші коды;refunds.sender.kod;0
1 event selected;1 событие выбрано;1 оқиға таңдалды;events_1selected;0
id;ид;сд;currency_currencyid;0
Class name;Название класса;Сыныптың атауы;jobs.class_name;0
Disability;Неработоспособность;Жұмыс қабілетсіздік;IsInoperability;0
Personal page;Персональная страница;Дербес бет;personal_index;0
Create an application type;Создать тип заявления;Өтініш типін жасау;create_demand_type;0
Amount from;Сумма от;... бастап сомасы;invoice_amount_from;0
Invoices list from me;Выставленные мной счета список;Мен ұсынған шоттар тізімі;exposeOrder.list;0
Device category;Категория устройства;Құрылғы санаты;events_deviceCategory;0
Amount blocked;Сумма в блоке;Блоктағы сомасы;common_blockedSum;0
Edit Category;Редактировать Категорию;Санатты редакциялау;CodeCategory_EditCategory;0
Create a Letter Type;Создание Типа письма;Хат типін жасау;creatingLetterType;0
Create a counterparty;Создать контрагента;Контрагент жасау;counterparty_create;0
Delete all settings;Удалить все настройки;Барлық баптауларды алап тастау;clear_all_settings;0
Credit status;Статус кредита;Кредит мәртебесі;creditStatus;0
New card;Новая карта;Жаңа карта;applyForNewCard;0
