en;ru;uk;translation_key;output_channel
Jobs history;История по задачам;Історія задач;jobs.history;W
Credit account;Счет зачисления;Рахунок зарахування;accTransfer_creditAccount;W
Login date/time;Вход;Вхід;sessions_valid_from;W
Interest payment account;Счет выплаты вознаграждения;Рахунок виплати винагороди;interestPaymentAccount;W
Credit details;Реквизиты  покупки (Зачисления);Реквізити купівлі (Зарахування);paymentOrder_creditRequisites;W
No news;Новостей нет;Новин немає;noNews;W
Certificate;Сертификат;Сертифікат;certificate;W
SWIFT code;SWIFT код;SWIFT код;swiftCode;W
Information about;Информация о;Інформація про;personal_informationAbout;W
The cards status with this code already exists;Статус карт с таким кодом уже существует;Статус карт з таким кодом вже існує;cardStatusWithSameCodeAlreadyExists;W
Configure document withdraw filter;Настройка фильтра отзыва платежей;Налаштування фільтру для відкликання платежів;withdraw_filter;W
Group Name;Название группы типов задач;Назва групи типів задач;jobs.nameGroup;W
International address. City;Международный адрес. Город;Міжнародна адреса. Місто;common_addressIntCity;W
Viewing currency;Просмотр Валюты;Перегляд валюти;currency_viewtitle;W
Operation with demand;Действия;Дія;demand_operation;W
Description;Описание;Опис;global_settings.constants.table.col.desc;W
Director;Руководитель;Керівник;paymentOrder_payerDirector;W
Payments revokes;Отзывы платежей;Відкликання платежів;navigation_paymentsRevokes;W
Daily schedule;Недельный график роботы;Тижневий графік роботи;dailySchedule;W
My Dictionaries;Мои справочники;Мої довідники;navigation_myHandbooks;W
Register in the VC;Зарегистрировать в УЦ;Зареєструвати в УЦ;vc_register;W
Сообщение из банка;Сообщение из банка;Повідомлення з банку;refunds.msg.from.bank;W
VIN code not provide;VIN код не предусмотрен;VIN код не передбачено;paymentOrder_vinCodeNotProvide;W
Are you sure you want to delete the City;Вы действительно хотите удалить Город;Ви дійсно бажаєте видалити Місто;sureYouWantDeleteCity;W
List for print is empty;Список для печати документов пуст;Список для друку документів пустий;document.printError.emptyList;W
Actions;Действия;Дія;rolePermissions_actions;W
Credits;Кредиты;Кредити;navigation_credits;W
view Edit Payroll Template;Просмотр / Редактирование Шаблона  Зарплатного отчисления;Перегляд/редагування Шаблону Зарплатного відрахування;paymentOrder_viewEditPayrollTemplate;W
Session expired;Срок сессии истек;Строк сесії завершився;errorpage420_title;W
Schedule;Расписание;Розклад;jobs.cron.title;W
Bank name;Наименование банка;Назва банку;common_bankName;W
Standing order;Длительные поручения;Регулярні платежі;standing.order.title;W
Add a new exchange rate type;Добавить новый тип курса валют;Додати новий тип курсу валют;addExchangeRateType;W
Request view;Просмотр запроса;Перегляд запиту;requestview_title;W
Full name;Полное название;Повна назва;currency_currencyfullname;W
Operations with the card block reasons;Действия;Дія;operationsCardBlockReason;W
Bank;Банк;Банк;bank;W
Save;Сохранить;Зберегти;common_save;W
International counterparty;Иностранные контрагенты;Іноземні контрагенти;counterparty_intCounterparties;W
Repeat;Повторить;Зробити регулярним;paymentOrder_repeat;W
Head;Заголовок;Назва;news_head;W
International address. Address;Международный адрес. Адрес;Міжнародна адреса. Адреса;common_addressIntAddress;W
Payroll;Зарплатное отчисление;Відрахування заробітної плати;domTransfer_payroll;W
Exchange rates types;Типы курсов валют;Типи курсів валют;currencyExchangeTypes;W
Calendar status;Статус календаря;Статус календаря;calendarStatus;W
Sent to RBS;Отправить в банк;Відправити в банк;common.sentToRBS;W
Deposit name;Название депозита;Назва депозиту;depositName;W
Payment type;Вид платежа;Вид платежу;paymentType;W
Incompressible balance;Несжимаемый остаток;Незнижувальний залишок;incompressibleBalance;W
Customer menu;Меню пользователя;Меню користувача;page_customermenutitle;W
Are you sure you want to delete the Card status;Вы действительно хотите удалить Статус карт;Ви дійсно бажаєте видалити Статус карт;sureYouWantDeleteCardStatus;W
Deactivate;Деактивировать;Деактивувати;sessions_deactivate;W
Contribution type;Тип отчисления;Тип відрахування;paymentOrder_employeeTransferCategory;W
Create a new KBK;Создать новый КБК;Створити новий КБК;createNewKBK;W
Signature rules;Правила подписи;Правила підпису;signatureRules;W
The nominal interest rate;Номинальная ставка вознаграждения;Номінальна ставка винагороди;nominalInterestRate;W
New phone;Новый телефон;Новий телефон;personal_newPhone;W
Full name;Полное название;Повна назва;organizationsCreate_fullName;W
Blocked;Блокирован;Заблокований;customeruser_blocked;W
Account;Счет;Рахунок;paymentOrder_account;W
Operation;Операция;Опис;operation;W
Create new demand;Создать новое заявление;Створити нову заяву;demand_createNewDemand;W
Are you sure you want to delete the ATM/Branch/Terminal;Вы действительно хотите удалить Банкомат/отделение/терминал;Ви дійсно бажаєте видалити Банкомат / відділення / термінал?;sureYouWantDeleteAtmBranchTerminal;W
code;Код типа задачи;Код типу задачі;jobs.code;W
include VAT =;в том числе НДС =;в т.ч. ПДВ;paymentOrder_withVat;W
Add auth factor;Добавить фактор авторизации;Додати фактор авторизації;authfactor_add;W
Document date;Дата документа;Дата документу;paymentOrder_documentDate;W
Password;Пароль;Пароль;login_password;W
Operations with credit;Действия;Дія;creditOperations;W
Reset;Сбросить;Скинути;common_reset;W
Choose File;Выберите файл;Виберіть файл;upload_chooseFile;W
Purpose;Назначение;Призначення;invoice_paymentPurpouse;W
Currency;Валюта;Валюта;limit_currency;W
Cron Schedule;Строка cron;Рядок cron;jobs.schedule;W
БИК Банка;БИК Банка;BIC Банку;refunds.sender.bik;W
credit amount from;Сумма зачисления с;Сума зарахування з;accTransfer_creditAmountFrom;W
Update menu;Обновить меню;Оновити меню;common_updateMenu;W
Operation with Type;Действия;Дія;demandType_operetionWithType;W
Organization name;Наименование организации;Назва підприємства;withdraw_org_name;W
Status;Статус;Статус;invoice_status;W
Operations with the account;Действия;Дія;common_accountOperations;W
Quick links;Быстрые ссылки;Швидкі посилання;quickLinks;W
beneficiary Account;Счет бенифициара;Рахунок бенефеціара;common_benefAccount;W
Просмотр/редактирование группы констант;Просмотр/редактирование группы констант;Перегляд / Редагування групи констант;global_settings.constants.group.screen.view_edit;W
Viewing and editing the Region;Просмотр и редактирование Региона;Перегляд і редагування Регіону;viewingEditingRegion;W
District;Область;Область;district_district;W
Error while getting data, please reloud page;Произошла ошибка при получении данных с сервера, перегрузите страницу;Виникла помилка при отриманні даних з серверу, перезавантажте сторінку;common_ErrorInGetData;W
Expiration date;Дата окончания;Дата закінчення;expirationDate;W
from;от;від;intTransfer_from;W
Create a new Document status;Создать новый Статус документа;Створити новий Статус документа;createDocStatus;W
Code group;Код группы типов задач;Код групи типів задач;jobs.codeGroup;W
Delete category;Удалить категорию;Видалити категорію;CodeCategory_Delete;W
Value repeat;Значение повторяется;Значення повторюється;paymentOrder_valueRepeat;W
No data;Нет данных;Відсутні дані;common_noData;W
Email;Электронная почта;Електронна пошта;common_email;W
Type Jobs List;Список типов задач;Список типів задач;jobs.TypesList;W
Short name;Краткое имя;Скорочене ім'я;manager_shortName;W
Import;Импортировать;Імпортувати;upload_import;W
Roles;Роли;Ролі;manager_roles;W
Session timeout;Завершение сессии;Завершення сесії;mainbar_timeoutTitle;W
Signature  allowed;Подпись разрешена;Підпис дозволено;authfactor_signAllowed;W
The exchange rate is not actual;Обменный курс не актуален;Курс обміну не актуальний;exchangeRates_notActual;W
City;Город;Місто;intTransfer_recipientBankCity;W
Currency operations;Действия;Дія;currency_operations;W
Are you sure you want to delete the Card unblock reason;Вы действительно хотите удалить Причину разблокировки карты;Ви дійсно бажаєте видалити Причину розблокування карти;sureYouWantDeleteCardUnblockType;W
Password;Пароль;Пароль;customeruser_password;W
Day data loading error;Ошибка при загрузке данных дня!;Помилка при завантаження даних дня!;dayDataLoadingError;W
add New Payroll Template;Создание Шаблона Зарплатного отчисления;Створення Шаблону Зарплатного відрахування;paymentOrder_addNewPayrollTemplate;W
Loan payments types;Виды платежей по кредитам;Види платежів по кредитах;loanPaymentsTypes;W
Operation with Type;Действия;Дія;CodeCategory_OperationWithType;W
Login to;Вход до;Вхід до;sessions_filterto;W
Purchase course;Курс покупки;Курс купівлі;exchangeRates_coursePurchase;W
SMS password;Смс пароль;SMS-пароль;login_sms_password;W
Category code;Код категории;Код категорії;CodeCategory_code;W
View/edit payroll;Просмотр/редактирование Зарплатного отчисления;Перегляд / Редагування Зарплатного відрахування;paymentOrder_viewEditPayroll;W
Internet banking for corporate clients;Интернет-банкинг для корпоративных клиентов;Мій Бізнес Online;login_head;W
Not active;Не активный;Не активний;sessions_notactive;W
Event date, time;Дата и время совершения действия;Дата і час виконання дії;events_eventdatetime;W
Regions;Регионы;Регіони;regions;W
Currency course;Курс валюты;Курс валюти;exchangeRates_course;W
source field;Источник автозаполнения;Джерело автозаповнення;temp_sourceField;W
The Card blocking reason already exists;Причина разблокировки карты с таким кодом уже существует;Причина розблокування карти з таким кодом вже існує;cardUnblockReasonAlreadyExists;W
Amount from;Сумма с;Сума з;domTransfer_amountFrom;W
Counterparties;Контрагенты;Контрагенти;counterparty_counterparties;W
Invoicing for payment;Выставление счета на оплату;Виставлення рахунку на сплату;actions_invoicingForPayment;W
Document: Demand type;Документы:типы заявлений;Документи: типи заяв;demandType_document_typedemand;W
Create standing order;Создание длительного поручения;Створення довгострокового доручення;standing_order_create;W
The status has been changed successful!;Статус изменен успешно!;Статус змінено успішно!;statusChangedSuccessful;W
Файл не может быть обработан ;Файл не может быть обработан ;Файл неможливо обробити;payment.import.error.common;W
Creating a new deposit;Создание нового депозита;Створення нового депозиту;newDepositCreating;W
Dictionary: Auth factors;Справочник: Типы многофакторной авторизации;Довідник: Типи багатофакторної авторизації;authfactors_title;W
Cash transactions;Действия;Дія;exchangeRates_cashTransactions;W
Password;Пароль;Пароль;authfactorcreate_password;W
Residency code;Код;Код;senderResidencyCode;W
Order the statement;Заказать выписку;Замовити виписку;common_orderTheExcerpt;W
Inbox;Входящие;Вхідні;inbox;W
Contract date;Дата договора;Дата договору;contractDate;W
Password expiry date;Срок действия пароля;Строк дії паролю;customeruser_passwordExpiry;W
Letter types;Типы письма;Типи листа;lettersTypes;W
Cards types;Виды карт;Види карт;cardTypes;W
Every;Каждые;Кожні;standing.order.every;W
Users;Пользователи;Користувачі;navigation_users;W
Credit type;Вид кредита;Вид кредиту;creditType;W
Deposit number, the organization name, the organization BIN;№ депозитного договора, Наименование организации, БИН организации;Номер депозитного договору, Назва підприємства, BIN пыдприэмства;depositNumberOrgNameOrgBin;W
Recivers list Setings;Настроить список получателей;Налаштувати перелік отримувачів;createDemandType_reciversSetings;W
Outbox;Исходящие;Вихідні;outbox;W
symbols;символов;символів;common_symbolsForMaxLength;W
Create Cron String;Создать строку cron;Створити рядок CRON;jobs.createCronString;W
EDS;ЭЦП;ЕЦП;eds;W
Page;Страница;Сторінка;grid_page;W
Country code;Код страны;Код країни;common_countryCode;W
Date from;Период от;Період від;invoice_date_from;W
Demand;Заявления;Заяви;navigation_demand;W
Message;Сообщение;Повідомлення;multicasting_text;W
Debit;Списание;Списання;accTransfer_debit;W
Non-cash transactions;Безналичные операции;Безготівкові операції;exchangeRates_nonCashTransactions;W
The two-symbol code;Двухсимвольный код;Двохсимвольний код;twoSymbolCode;W
Dictionary: Banks;Справочник: Банки;Довідник: Банки;banks_handbookBanks;W
Refill deposit;Пополнить депозит;Поповнити депозит;refillDeposit;W
Operations with the Document type;Действия;Дія;operationsWithDocType;W
Credit currency;Валюта зачисления;Валюта зарахування;accTransfer_creditCurrency;W
Filter settings;Настройки фильтра менеджеров;Налаштування фільтру менеджерів;managers_filtertitle;W
The currency pair;Валютная пара;Валютна пара;exchangeRates_currencyPair;W
Serial;Серийный номер;Серійний номер;serial;W
Internet banking;Интернет банкинг;Інтернет банкінг;internetBanking;W
The page is not found;Страница не найдена;Сторінка не знайдена;notFound_not_found;W
Payment to budget;Платёж в бюджет;Платіж до бюджету;paymentOrder_budgetPaymentDetail;W
Purpose;Назначение платежа;Призначення платежу;domTransfer_purpose;W
to;до;до;TOLowerCase;W
Finished;Окончание;Завершення;jobs.finished;W
New account;Новый счет;Новий рахунок;new_account;W
error;ошибка;Помилка;common_error;W
Year;Год;Рік;year;W
Create copy;Создать копию;Створити копію;common_createCopy;W
Month;За месяц;За місяць;common_month;W
events selected;события выбрано;Подій обрано;events_X4selected;W
Export to Excel;Экспорт в Excel;Експорт в Excel;common_exporttoexcel;W
Edit Demand;Редактировать заявление;Редагувати заяву;demandCreate_EditDemand;W
International short name;Международное краткое название;Міжнародне скорочене найменування;intShortName;W
Accrued % amount;Сумма начисленных %;Сума нарахованих %:;amountAccruedPercentage;W
Add a new exchange rate;Добавить новый курс валют;Додати новий курс валют;addExchangeRate;W
Edit an exchange rate;Изменить курс валют;Змінати курс валют;editExchangeRate;W
Operations with the Card unblock reason;Действия;Дія;operationsWithCardUnblockReason;W
;Создание Шаблона Платежного поручения;Створення Шаблону Платіжного доручення;paymentOrder_addNewOrderTemplate;W
Cancel search;Отменить поиск;Відмінити пошук;grid_cancelsearch;W
Activate;Активировать;Активувати;common_activate;W
1 calendar is selected;1 календарь выбран;1 календар обрано;oneCalendarIsSelected;W
Kind;Вид;Вид;common_kind;W
demands cheked;заявлений выбрано;Заяв обрано;demand_demandsChecked;W
The certificate is missing;Сертификат отсутствует;Сертифікат відсутній;certificate.missing;W
Agent bank swift;БИК/SWIFT Банка Посредника;BIC/SWIFT Банку Посередника;intTransfer_agentBankSwift;W
This field must have at least 3 chars!;Это поле должно содержать 3 символа!;Це поле має містити 3 символи!;common_field_atleast3chars;W
Worng Number Format;Не правильный формат числа;Невірний формат числа;common_WorngNumberFormat;W
The code must only consist of digits;Код должен состоять только из цифр;Код має складатись лише із цифр;onlyDigitsCode;W
Card number;Номер карты;Номер карти;cardNumber;W
System modules;Модули системы;Модулі системи;systemModules;W
Account;Счет;Рахунок;paymentOrder_recipientAccount;W
This currency is not available to pay, contact the bank support;Данная валюта недоступна для оплаты, обратитесь в службу поддержки банка;Ця валюта недотупна для сплати, зверніться до банку;intTransfer_errorCurrencyUnavailable;W
Course type;Тип курса;Тип курсу;exchangeRates_courseType;W
Geoposition;Геопозиция;Геопозиція;geoposition;W
Current password;Текущий пароль;Поточний пароль;personal_currentPass;W
City (Agent bank);Город (Банка Посредника);Місто (Банку Посереднику);intTransfer_agentBankCity;W
BIK nat.;БИК национальный;BIC національний;bikNat;W
1 user selected;1 пользователь выбран;1 користувача обрано;customeruser_1selected;W
Accounts;Счета;Рахунки;navigation_accounts;W
Creating a Card status;Создание Статуса карт;Створення статусу карт;creatingCardStatus;W
Credit number, the organization name, the organization BIN;№ кредитного договора, Наименование организации, БИН организации;Номер кредитного договору, Назва підприємства, BIN пыдприэмства;creditNumberOrgNameOrgBin;W
Requests log;Журнал запросов;Журнал запитів;requests_title;W
Exchange rates are not known;Курс не известен;Курс невідомий;exchangeRates_exchangeRatesAreNotKnown;W
Demands Constructor;Конструктор заявлений;Конструктор заявок;navigation_demand_constructor;W
This field must contains only digits;Это поле должно содержать только цифры!;Це поле має містити лише цифри!;common_field_onlydigits;W
Account number;Номер счета;Номер рахунку;accountNumber;W
Loan amount;Сумма займа;Сума займу;loanAmount;W
Method;Метод;Метод;requests_method;W
Creating a System module;Создание Модуля системы;Створення модуля системи;creatingSystemModule;W
Value;Значение;Значення;global_settings.constants.value;W
Individual exchange rate;Индивидуальный курс;Індивідуальний курс;paymentOrder_individualExchangeRate;W
Information from payer to recipient;Информация отправителя получателю;Інформація відправника отримувачу;intTransfer_recipientInfo;W
 ; ;;common_blank;W
Digital code;Цифровой код;Цифровий код;currency_field_digitcode;W
This field must have at least 3 digits!;Это поле должно содержать 3 цифры!;Це поле має містити 3 цифри!;common_field_atleast3digits;W
Credit limit;Кредитный лимит;Ліміт;creditLimit;W
Login;Логин;Логін;customeruser_login;W
Sessions limit;Количество сессий;Кількість сесій;customeruser_sessionsLimit;W
Creating new district;Создание новой области;Створення нової області;districts_create;W
beneficiary Name;наименование бенефициара;Назва бенефеціара;common_benefName;W
Viewing/Editing the Card status;Просмотр и редактирование Статуса карт;Перегляд і редагування Статусу карт;viewingEditingCardsStatus;W
Demands Type;Типы Заявлений;Типи заяв;navigation_demandType;W
Birth date;Дата рождения;Дата народження;paymentOrder_birthDate;W
Role name;Название роли;Назва ролі;role_name;W
Filter setting;Настройки фильтра событий;Налаштування фільтру подій;events_filtertitle;W
fields Reference Field;Поле справочника;Поле довідника;temp_fieldsReferenceField;W
Bank response;Сообщение из банка;Повідомлення з банку;paymentOrder_bankResponse;W
Account;Счет;Рахунок;signingrules_account;W
change_custom_field;Изменить текущее поле типа заявления;Змінити поточне поле типу заяви;change_custom_field;W
Receiver;Получатель;Отримувач;standing.order.receiver;W
The Letter type with this code already exists;Тип письма с таким кодом уже существует;Тип листа з таким кодом вже існує;letterTypeWithSameCodeAlreadyExists;W
Curent demand saved;Текущее заявление сохранено;Поточну заяву збережено;demandCreate_Curent_demand_saved;W
Category;Категория;Категорія;demandType_category;W
Account;Счет;Рахунок;common_account;W
Employee details;Детали сотрудника;Деталі співробітника;employee_detailsEmployee;W
Valid to;Действует по;Діє по;authfactor_to;W
credit amount to;Сумма зачисления по;Сума зарахування по;accTransfer_creditAmountTo;W
Manager;Менеджер;Менеджер;paymentOrder_manager;W
Transaction details;Детали транзакции;Деталі транзакції;transactionDetails;W
Вы были удалены администратором банка;Вы были удалены администратором банка;Ви були видалені адміністратором банку;errorpage418_title;W
This bank does not exist;Такой банк не существует;Такий банк не існує;paymentOrder_valid_bankNotExist;W
Budget classification code (BCC);Код бюджетной классификации(КБК);Код бюджетної класифікації;budgetClassificationCode;W
1 symbol;1 символ;1 символ;common_field_1symbol;W
The request for re-issue of the certificate has been created. Expect the manager's response;Запрос на перевыпуск сертификата создан. Ожидайте ответ менеджера;Запит на перевірку сертифікатів створено. Очікуйте відповідь менеджера ;certReqCreated;W
Manager initials;ФИО менеджера;ПІБ менеджера;managerInitials;W
Save And Go to List;Сохранить и перейти в список;Зберегти та перейти до списку;createDemandType_saveAndGo;W
Viewing/Editing the Bank;Просмотр и редактирование банка;Пеегляд і редагування банку;viewingEditingBank;W
Name;Название;Назва;common_name;W
The base currency;Базовая валюта;Базова валюта ;exchangeRates_baseCurrency;W
options default;Значение по умолчанию;Значення за умовчуванням;options_default;W
Dictionaries;Справочники;Довідники;navigation_commonHandbooks;W
View;Просмотр;Перегляд;common_view;W
First value;Первое значение;Перше значення;firstValue;W
End state;Конечное состояние;Кінцевий статус;documentHistory_endState;W
Days with a special Schedule;Дни со специальным графиком;Дні зі спеціальним графіком;daysWithASpecialSchedule;W
Contract audit date;Дата учетного номера контракта;Дата облікового номера контракту;common_contractAuditDate;W
Search;Поиск;Пошук;common_search;W
Create a new City;Создать новый Город;Створити новий Город;createNewCity;W
Account;Счет;Рахунок;invoice_account;W
Sale course;Курс продажи;Курс продажу;exchangeRates_courseSale;W
Yes;Да;Так;boolean_true;W
Creating/Processing date;Дата создания/обработки;Дата транзакції;dateCreateProcessing;W
Address;Адрес;Адреса;common_address;W
Status;Статус;Статус;sessions_isactive;W
The authority will be replaced after;Полномочия сменятся через;Повноваження зміняться через;mainbar_authorityChanges;W
Standing orders;Длительные поручения;Регулярні платежі;navigation_standingOrders;W
Regular payments;Регулярные платежи;Регулярні платежі;navigation_standingOrders_person;W
Status;Признак блокировки;Ознака блокування;organization.grid.column.status;W
External system;Внешняя система;Зовнішня система;externalSystem;W
Employees list empty;Список сотрудников не заполнен;Список співробітників не заповнений;paymentOrder_employeesListEmpty;W
Customer menu;Меню пользователя;Меню користувача;navigation_menutree_customer;W
Standing Orders filter settings;Настройки фильтра длительных поручений;Налаштування фільтру довгострокових розпоряджень;standing_order_filter;W
Login from;Вход после;Вхід після;sessions_filterfrom;W
Channel (Web, mob);Канал обслуживания (Web, mob);Канал обслуговування (WEB,MOB);events_servicechannel;W
BIN/IIN;ИИН/БИН;ІПН/БІН;paymentOrder_taxCode;W
create key for translation;ключ для перевода;Ключ для переводу;demandType_createkeyForTranslate;W
Description;Содержание;Зміст;news_desc;W
Viewing/Editing;Просмотр/редактирование;Перегляд / Редагування;viewingEditingDeposit;W
Read;Прочитано;Прочитано;read;W
Organizations;Организации;Організації;organizations_organizations;W
Events history;История действий;Історія подій;navigation_events;W
View account transfer;Просмотр Перевода между своими счетами / Конвертации валюты;Перегляд Переводу між своїми рахунками / Конвертації валюти;paymentOrder_viewAccountTransfer;W
Operations;Действия;Дія;exchangeRates_operations;W
Multifactor authentication types;Типы многофакторной авторизации;Типи багатофакторної авторизації;authFactorsTypes;W
Account transfer/currency exchange;Перевод между своими счетами/Конвертация валюты;Платежі між власними рахунками/Конвертація валюти;accTransfer_accountTransfer;W
Account transfer, currency exchange;Перевод между своими счетами, Конвертация валюты;Платежі між власними рахунками, Конвертація валюти;accTransfer_accountTransfer1;W
Document type;Тип документа;Тип документу;signingrules_docType;W
Update the day;Обновить день;Оновити день;updateDay;W
Account name;Название счёта;Назва рахунку;accountName;W
Work;Рабочие;Робочі;common_workDocument;W
Credit currency;Валюта зачисления;Валюта зарахування;paymentOrder_creditCurrency;W
Name;Наименование;Назва;demandType_name;W
Account opening date;Дата открытия счёта;дата відкриття рахунку;account_openingDate;W
Add limit;Добавление лимита;Додавання ліміту;limit_add;W
delete impossible, bcause exist linked data;Удаление невозможно из-за свзанных данных;Видалення еможливе через наявність пов'язаних даних;common_deleteimpossible;W
Theme;Тема;Тема;multicasting_theme;W
Errors:;Ошибки:;Помилки:;common_hasError;W
Dictionary;Справочник;Довідник;temp_sourceCodeField;W
Card type;Вид карты;Вид карти;cardType;W
Director;Руководитель;Керівник;CompanyPerson_Director;W
ISO code;Код ISO;Код ISO;currency_ISOcode;W
Group;Группа получателей;Група отримувачів;multicasting_group;W
Create a new Card type;Создать новый Вид карт;Створити новий Вид карт;createCardType;W
Limit;Лимит;Ліміт;signingrules_limit;W
Document statuses;Статусы документа;Статус документу;documentStatuses;W
Reason;Причина;Причини;reason;W
Can attache file;Возможность прикреплять файл;Можливість прикріпляти файл;Can_attache_file;W
Max Execution Time;Максимальное время работы( в сек);Максимальний час роботи ( в сек.);jobs.maxExecutionTime;W
Types;Типы;Типи;authfactorcreate_types;W
Serial number;Серийный номер;Серійний номер;companyperson_certificate_sn;W
Amount;Сумма;Сума;limit_amount;W
Second value;Второе значение;Друге значення;secondValue;W
Constant groups;Группы констант;Групи констант;global_settings.constants.group.screen.list;W
Conversion;Конвертация;Конвертация;navigation_conversion;W
This code already exist;Такой код не существует;Такий код не існує;paymentOrder_valid_codeNotExist;W
Save Template;Сохранить шаблон;Зберегти шаблон;paymentOrder_updateTemplate;W
Brought forward balance;Входящий остаток;Вхідний залишок;broughtForwardBalance;W
incorrect Password mask;Пароль не соответствует маске;Пароль не відповідає масці;common_incorrectPass;W
Notification receivers;Получатели  уведомления;Отримувачі повідомлення;Notification_receivers;W
Block requisites: Payment details;Блок реквизитов: Детали платежа;Блок реквізитів: деталі платежу;paymentDetailsBlock;W
Valid to;Действует по;Діє по;companyperson_certificate_to;W
No;Нет;Ні;boolean_false;W
Счет Отправителя;Счет Отправителя;Рахунок відправника;refunds.sender.acc;W
Account;Счет;Рахунок;paymentOrder_payerAccount;W
Fee details;Детали комисии;Деталі комісії;intTransfer_feeDetail;W
Invoiced bills for payment;Invoiced bills for payment;Invoiced bills for payment;invoiced.title;W
to;До;До;common_to;W
Social contribution refund;Возврат по социальному отчислению;Повернення по соціальному відрахуванню;refunds.socialcontribution;W
Card unblocking reason;Причина разблокировки карты;Причина розблокування карти;cardUnblockingReason;W
KBE;КБЕ;КБЕ;paymentOrder_recipientResidencyCode;W
Hide;Скрыть;Приховати;common_hide;W
The day is updated!;День обновлён!;День оновлено!;dayIsUpdated;W
New password;Новый пароль;Новий пароль;personal_newPass;W
rate to;Курс исполнения по;Курс виконання по;accTransfer_rateTo;W
Chief Accountant;Главный Бухгалтер;Головний Бухгалтер;CompanyPerson_ChiefAccountant;W
Balance of principal in the loan currency;Остаток основного долга в валюте займа;Залишок основного боргу в валюті займу;balanceLoanCurrency;W
Manager;Менеджер;Менеджер;common_manager;W
Payers name;Наименование плательщика;Назва платника;domTransfer_payerName;W
Name;Имя;Ім'я;login_name;W
Confirm;Подтвердить;Підтвердити;common_confirm;W
Calendars;Календари;Календарі;calendars;W
Dictionary: Calendars;Справочник: Календари;Довідник: Календарі;handbookCalendars;W
This field must have at least 1 char!;Это поле должно содержать 1 символ!;Це поле має містити 1 символ!;common_field_atleast1char;W
Dictionary: Payment purpose;Справочник: Назначение платежа;Довідник: Призначення платежу;paymentOrder_handbookPaymentPurpose;W
ABS number;Номер АБС;Номер АБС;AbsNumber;W
Change phone;Изменить телефон;Змінити телефон;personal_changePhone;W
Parameters;Параметры;Параметри;jobs.parameter.title;W
Last update time;Дата последнего обновления курсов;Дата останнього оновлення курсів;exchangeRates_lastUpdDateTime;W
Expiry;Действует до;Діє по;sessions_expiry;W
BIN/TAX;БИН/ИИН;БІН/ІПН;refunds.tax.code;W
Date to;Дата по;Дата по;common_periodTo;W
The card block reason already exists;Причина блокировки карты с таким кодом уже существует;Причина блокування карти з таким кодом вже існує;cardBlockReasonExists;W
Social requisites;Реквизиты - Социальные отчисления;Реквізити - Соціальні відрахування;transferRequisites_socialRequisites;W
News;Новости;Новини;navigation_news;W
Multiple values from the dictionary;Несколько значений из справочника;Декілька значень із довідника;global_settings.constants.handbook_multi_value;W
ATMs/Branches/Terminals;Банкоматы/отделения/терминалы;Банкомати / Відділення / Термінали;atmBranchesTerminals;W
Length should be 20 characters.;Длина должна составлять 20 символов.;Довжина має бути 20 символів;paymentOrder_valid_20chars;W
Update;Обновить;Оновити;common_update;W
Changing the purpose of payment;Изменение назначения платежа;Змінити призначення платежу;paymentOrder_changingThePurpose;W
MFO;МФО банка;МФО Банку;common_bankCode;W
Sync;Синхронизировать;Синхронізувати;sync;W
Change name;Изменить название;Змінити назву;changeName;W
Notification term;Дней до события;Днів до події;notification_period;W
Print;Печатать;Друкувати;common_Print;W
Region;Регион;Регіон;common_region;W
Operations with the System module;Действия;Дія;operationsWithSystemModule;W
Fee account;Счет взимания комиссии;Рахунок утримання комісії;intTransfer_feeAccount;W
View and edit auth factors;Просмотр и редактирование типов многофакторной авторизации;Перегляд і редагування типів багатофакторної авторизації;authfactoredit_title;W
Reason;Причина отзыва;Причина відклику;withdraw_reason;W
Middle name;Отчество;По-батькові;paymentOrder_middleName;W
Customer initials;ФИО пользователя;ПІБ користувача;customerInitials;W
Filter settings;Настройки фильтра;Налаштування фільтру;filterSettings;W
Demand Print;Печать заявления;Друк заяви;demandCreate_print;W
Creating a Document status;Создание Статуса документа;Створення Статусу документу;creatingDocStatus;W
Operations;Операции;Операції;common_operations;W
Sign;Подписать;Підписати;common_sign;W
View and edit manager;Просмотр и редактирование данных менеджера;Перегляд і редагування даних менеджера;manager_editor_title;W
All;Все;Всі;global_settings.constants.group.all;W
The Document status with the same code already exists;Статус документа с таким кодом уже существует;Статус документу з таким кодом вже існує;docStatusWithSameCodeAlreadyExists;W
Bank name;Наименование Банка;Назва Банку;transferRequisites_recipientBankName;W
Edit;Редактировать;Редагувати;common_edit;W
Card replenishment;Пополнение карты;Поповнення карти;cardReplenishment;W
International name;Интернациональное название;Міжнародна назва;district_intName;W
The day is saved!;День сохранён!;День збережено;dayIsSaved;W
Executor name;Ф.И.О. Пользователя;П.І.Б. користувача;events_executorname;W
Working day;Рабочий день;Робочий день;DayResource.WorkingВay;W
User;Пользователь;Користувач;customerUser_user;W
Deposit type;Вид депозита;Вид депозиту;depositType;W
Dictionary: Currency;Справочник: Валюта;Довідник: Валюта;currency_handBooktitle;W
KOD;Код;Код;common_code;W
calendars selected;календарей выбрано;Календарів обрано;calendarsSelected;W
Operations with the Letter type;Действия;Дія;operationsWithLetterType;W
Confirmation new password;Повтор нового пароля;Повтор нового паролю;personal_confirmNewPass;W
