en;ru;uk;translation_key;output_channel
№ Document , type demand;№ документа, тип заявления;№ документа, тип заявления;demand_serchHint;W
IP;IP;IP;events_terminal;W
Position;Должность;Должность;customeruser_position;W
Intermediary bank details;Банк Посредник;Банк Посредник;intTransfer_agentBankRequisites;W
Constants;Константы;Константы;global_settings.constants.screen.list;W
Deposit details;Детали депозита;Детали депозита;depositDetails;W
Debit details;Реквизиты продажи (Списания);Реквизиты продажи (Списания);paymentOrder_debitRequisites;W
The initial amount shall not exceed the final;Начальная сумма не должна превышать конечную;Начальная сумма не должна превышать конечную;domTransfer_comparison;W
Select Type Document;По типу документа:;По типу документа:;standingOder_selectTypeDoc;W
Full Name;ФИО;ФИО;customeruser_fullName;W
Jobs history;История по задачам;История по задачам;jobs.history;W
Credit account;Счет зачисления;Счет зачисления;accTransfer_creditAccount;W
Login date/time;Вход;Вход;sessions_valid_from;W
Interest payment account;Счет выплаты вознаграждения;Счет выплаты вознаграждения;interestPaymentAccount;W
Credit details;Реквизиты  покупки (Зачисления);Реквизиты  покупки (Зачисления);paymentOrder_creditRequisites;W
No news;Новостей нет;Новостей нет;noNews;W
Certificate;Сертификат;Сертификат;certificate;W
SWIFT code;SWIFT код;SWIFT код;swiftCode;W
Information about;Информация о;Информация о;personal_informationAbout;W
The cards status with this code already exists;Статус карт с таким кодом уже существует;Статус карт с таким кодом уже существует;cardStatusWithSameCodeAlreadyExists;W
Configure document withdraw filter;Настройка фильтра отзыва платежей;Настройка фильтра отзыва платежей;withdraw_filter;W
Group Name;Название группы типов задач;Название группы типов задач;jobs.nameGroup;W
International address. City;Международный адрес. Город;Международный адрес. Город;common_addressIntCity;W
Viewing currency;Просмотр Валюты;Просмотр Валюты;currency_viewtitle;W
Operation with demand;Действия;Действия;demand_operation;W
Description;Описание;Описание;global_settings.constants.table.col.desc;W
Director;Руководитель;Руководитель;paymentOrder_payerDirector;W
Payments revokes;Отзывы платежей;Отзывы платежей;navigation_paymentsRevokes;W
Daily schedule;Недельный график роботы;Недельный график роботы;dailySchedule;W
My Dictionaries;Мои справочники;Мои справочники;navigation_myHandbooks;W
Register in the VC;Зарегистрировать в УЦ;Зарегистрировать в УЦ;vc_register;W
Сообщение из банка;Сообщение из банка;Сообщение из банка;refunds.msg.from.bank;W
VIN code not provide;VIN код не предусмотрен;VIN код не предусмотрен;paymentOrder_vinCodeNotProvide;W
Are you sure you want to delete the City;Вы действительно хотите удалить Город;Вы действительно хотите удалить Город;sureYouWantDeleteCity;W
List for print is empty;Список для печати документов пуст;Список для печати документов пуст;document.printError.emptyList;W
Actions;Действия;Действия;rolePermissions_actions;W
Credits;Кредиты;Кредиты;navigation_credits;W
view Edit Payroll Template;Просмотр / Редактирование Шаблона  Зарплатного отчисления;Просмотр / Редактирование Шаблона  Зарплатного отчисления;paymentOrder_viewEditPayrollTemplate;W
Session expired;Срок сессии истек;Срок сессии истек;errorpage420_title;W
Schedule;Расписание;Расписание;jobs.cron.title;W
Bank name;Наименование банка;Наименование банка;common_bankName;W
Standing order;Длительные поручения;Длительные поручения;standing.order.title;W
Add a new exchange rate type;Добавить новый тип курса валют;Добавить новый тип курса валют;addExchangeRateType;W
Request view;Просмотр запроса;Просмотр запроса;requestview_title;W
Full name;Полное название;Полное название;currency_currencyfullname;W
Operations with the card block reasons;Действия;Действия;operationsCardBlockReason;W
Bank;Банк;Банк;bank;W
Save;Сохранить;Сақтау;common_save;W
International counterparty;Иностранные контрагенты;Иностранные контрагенты;counterparty_intCounterparties;W
Repeat;Повторить;Повторить;paymentOrder_repeat;W
Head;Заголовок;Заголовок;news_head;W
International address. Address;Международный адрес. Адрес;Международный адрес. Адрес;common_addressIntAddress;W
Payroll;Зарплатное отчисление;Зарплатное отчисление;domTransfer_payroll;W
Exchange rates types;Типы курсов валют;Типы курсов валют;currencyExchangeTypes;W
Calendar status;Статус календаря;Статус календаря;calendarStatus;W
Sent to RBS;Отправить в банк;Отправить в банк;common.sentToRBS;W
Deposit name;Название депозита;Название депозита;depositName;W
Payment type;Вид платежа;Вид платежа;paymentType;W
Incompressible balance;Несжимаемый остаток;Несжимаемый остаток;incompressibleBalance;W
Customer menu;Меню пользователя;Меню пользователя;page_customermenutitle;W
Are you sure you want to delete the Card status;Вы действительно хотите удалить Статус карт;Вы действительно хотите удалить Статус карт;sureYouWantDeleteCardStatus;W
Deactivate;Деактивировать;Деактивировать;sessions_deactivate;W
Contribution type;Тип отчисления;Тип отчисления;paymentOrder_employeeTransferCategory;W
Create a new KBK;Создать новый КБК;Создать новый КБК;createNewKBK;W
Signature rules;Правила подписи;Правила подписи;signatureRules;W
The nominal interest rate;Номинальная ставка вознаграждения;Номинальная ставка вознаграждения;nominalInterestRate;W
New phone;Новый телефон;Новый телефон;personal_newPhone;W
Full name;Полное название;Полное название;organizationsCreate_fullName;W
Blocked;Блокирован;Блокирован;customeruser_blocked;W
Account;Счет;Счет;paymentOrder_account;W
Operation;Операция;Операция;operation;W
Create new demand;Создать новое заявление;Создать новое заявление;demand_createNewDemand;W
Are you sure you want to delete the ATM/Branch/Terminal;Вы действительно хотите удалить Банкомат/отделение/терминал;Вы действительно хотите удалить Банкомат/отделение/терминал;sureYouWantDeleteAtmBranchTerminal;W
code;Код типа задачи;Код типа задачи;jobs.code;W
include VAT =;в том числе НДС =;в том числе НДС =;paymentOrder_withVat;W
Add auth factor;Добавить фактор авторизации;Добавить фактор авторизации;authfactor_add;W
Document date;Дата документа;Дата документа;paymentOrder_documentDate;W
Password;Пароль;Құпиясөз;login_password;W
Operations with credit;Действия;Действия;creditOperations;W
Reset;Сбросить;Сбросить;common_reset;W
Choose File;Выберите файл;Выберите файл;upload_chooseFile;W
Purpose;Назначение;Назначение;invoice_paymentPurpouse;W
Currency;Валюта;Валюта;limit_currency;W
Cron Schedule;Строка cron;Строка cron;jobs.schedule;W
БИК Банка;БИК Банка;БИК Банка;refunds.sender.bik;W
credit amount from;Сумма зачисления с;Сумма зачисления с;accTransfer_creditAmountFrom;W
Update menu;Обновить меню;Обновить меню;common_updateMenu;W
Operation with Type;Действия;Действия;demandType_operetionWithType;W
Organization name;Наименование организации;Наименование организации;withdraw_org_name;W
Status;Статус;Статус;invoice_status;W
Operations with the account;Действия;Действия;common_accountOperations;W
Quick links;Быстрые ссылки;Быстрые ссылки;quickLinks;W
beneficiary Account;Счет бенифициара;Счет бенифициара;common_benefAccount;W
Просмотр/редактирование группы констант;Просмотр/редактирование группы констант;Просмотр/редактирование группы констант;global_settings.constants.group.screen.view_edit;W
Viewing and editing the Region;Просмотр и редактирование Региона;Просмотр и редактирование Региона;viewingEditingRegion;W
District;Область;Область;district_district;W
Error while getting data, please reloud page;Произошла ошибка при получении данных с сервера, перегрузите страницу;Произошла ошибка при получении данных с сервера, перегрузите страницу;common_ErrorInGetData;W
Expiration date;Дата окончания;Дата окончания;expirationDate;W
from;от;от;intTransfer_from;W
Create a new Document status;Создать новый Статус документа;Создать новый Статус документа;createDocStatus;W
Code group;Код группы типов задач;Код группы типов задач;jobs.codeGroup;W
Delete category;Удалить категорию;Удалить категорию;CodeCategory_Delete;W
Value repeat;Значение повторяется;Значение повторяется;paymentOrder_valueRepeat;W
No data;Нет данных;Нет данных;common_noData;W
Email;Электронная почта;Электронная почта;common_email;W
Type Jobs List;Список типов задач;Список типов задач;jobs.TypesList;W
Short name;Краткое имя;Краткое имя;manager_shortName;W
Import;Импортировать;Импортировать;upload_import;W
Roles;Роли;Роли;manager_roles;W
Session timeout;Завершение сессии;Завершение сессии;mainbar_timeoutTitle;W
Signature  allowed;Подпись разрешена;Подпись разрешена;authfactor_signAllowed;W
The exchange rate is not actual;Обменный курс не актуален;Обменный курс не актуален;exchangeRates_notActual;W
City;Город;Город;intTransfer_recipientBankCity;W
Currency operations;Действия;Действия;currency_operations;W
Are you sure you want to delete the Card unblock reason;Вы действительно хотите удалить Причину разблокировки карты;Вы действительно хотите удалить Причину разблокировки карты;sureYouWantDeleteCardUnblockType;W
Password;Пароль;Пароль;customeruser_password;W
Day data loading error;Ошибка при загрузке данных дня!;Ошибка при загрузке данных дня!;dayDataLoadingError;W
add New Payroll Template;Создание Шаблона Зарплатного отчисления;Создание Шаблона Зарплатного отчисления;paymentOrder_addNewPayrollTemplate;W
Loan payments types;Виды платежей по кредитам;Виды платежей по кредитам;loanPaymentsTypes;W
Operation with Type;Действия;Действия;CodeCategory_OperationWithType;W
Login to;Вход до;Вход до;sessions_filterto;W
Purchase course;Курс покупки;Курс покупки;exchangeRates_coursePurchase;W
SMS password;Смс пароль;Смс пароль;login_sms_password;W
Category code;Код категории;Код категории;CodeCategory_code;W
View/edit payroll;Просмотр/редактирование Зарплатного отчисления;Просмотр/редактирование Зарплатного отчисления;paymentOrder_viewEditPayroll;W
Internet banking for corporate clients;Интернет-банкинг для корпоративных клиентов;Интернет-банкинг для корпоративных клиентов;login_head;W
Not active;Не активный;Не активный;sessions_notactive;W
Event date, time;Дата и время совершения действия;Дата и время совершения действия;events_eventdatetime;W
Regions;Регионы;Регионы;regions;W
Currency course;Курс валюты;Курс валюты;exchangeRates_course;W
source field;Источник автозаполнения;Источник автозаполнения;temp_sourceField;W
The Card blocking reason already exists;Причина разблокировки карты с таким кодом уже существует;Причина разблокировки карты с таким кодом уже существует;cardUnblockReasonAlreadyExists;W
Amount from;Сумма с;Сумма с;domTransfer_amountFrom;W
Counterparties;Контрагенты;Контрагенты;counterparty_counterparties;W
Invoicing for payment;Выставление счета на оплату;Выставление счета на оплату;actions_invoicingForPayment;W
Document: Demand type;Документы:типы заявлений;Документы:типы заявлений;demandType_document_typedemand;W
Create standing order;Создание длительного поручения;тұрақты тәртібін жасау;standing_order_create;W
The status has been changed successful!;Статус изменен успешно!;Статус изменен успешно!;statusChangedSuccessful;W
Файл не может быть обработан ;Файл не может быть обработан ;Файл не может быть обработан ;payment.import.error.common;W
Creating a new deposit;Создание нового депозита;Создание нового депозита;newDepositCreating;W
Dictionary: Auth factors;Справочник: Типы многофакторной авторизации;Справочник: Типы многофакторной авторизации;authfactors_title;W
Cash transactions;Действия;Действия;exchangeRates_cashTransactions;W
Password;Пароль;Пароль;authfactorcreate_password;W
Residency code;Код;Код;senderResidencyCode;W
Order the statement;Заказать выписку;Заказать выписку;common_orderTheExcerpt;W
Inbox;Входящие;Входящие;inbox;W
Contract date;Дата договора;Дата договора;contractDate;W
Password expiry date;Срок действия пароля;Срок действия пароля;customeruser_passwordExpiry;W
Letter types;Типы письма;Типы письма;lettersTypes;W
Cards types;Виды карт;Виды карт;cardTypes;W
Every;Каждые;Каждые;standing.order.every;W
Users;Пользователи;Пользователи;navigation_users;W
Credit type;Вид кредита;Вид кредита;creditType;W
Deposit number, the organization name, the organization BIN;№ депозитного договора, Наименование организации, БИН организации;№ депозитного договора, Наименование организации, БИН организации;depositNumberOrgNameOrgBin;W
Recivers list Setings;Настроить список получателей;Настроить список получателей;createDemandType_reciversSetings;W
Outbox;Исходящие;Исходящие;outbox;W
symbols;символов;символов;common_symbolsForMaxLength;W
Create Cron String;Создать строку cron;Создать строку cron;jobs.createCronString;W
EDS;ЭЦП;ЭЦП;eds;W
Page;Страница;Страница;grid_page;W
Country code;Код страны;Код страны;common_countryCode;W
Date from;Период от;Период от;invoice_date_from;W
Demand;Заявления;Заявления;navigation_demand;W
Message;Сообщение;Сообщение;multicasting_text;W
Debit;Списание;Списание;accTransfer_debit;W
Non-cash transactions;Безналичные операции;Безналичные операции;exchangeRates_nonCashTransactions;W
The two-symbol code;Двухсимвольный код;Двухсимвольный код;twoSymbolCode;W
Dictionary: Banks;Справочник: Банки;Справочник: Банки;banks_handbookBanks;W
Refill deposit;Пополнить депозит;Пополнить депозит;refillDeposit;W
Operations with the Document type;Действия;Действия;operationsWithDocType;W
Credit currency;Валюта зачисления;Валюта зачисления;accTransfer_creditCurrency;W
Filter settings;Настройки фильтра менеджеров;Настройки фильтра менеджеров;managers_filtertitle;W
The currency pair;Валютная пара;Валютная пара;exchangeRates_currencyPair;W
Serial;Серийный номер;Серийный номер;serial;W
Internet banking;Интернет банкинг;Интернет банкинг;internetBanking;W
The page is not found;Страница не найдена;Страница не найдена;notFound_not_found;W
Payment to budget;Платёж в бюджет;Платёж в бюджет;paymentOrder_budgetPaymentDetail;W
Purpose;Назначение платежа;Назначение платежа;domTransfer_purpose;W
to;до;до;TOLowerCase;W
Finished;Окончание;Окончание;jobs.finished;W
New account;Новый счет;Новый счет;new_account;W
error;ошибка;ошибка;common_error;W
Year;Год;Год;year;W
Create copy;Создать копию;Создать копию;common_createCopy;W
Month;За месяц;За месяц;common_month;W
events selected;события выбрано;события выбрано;events_X4selected;W
Export to Excel;Экспорт в Excel;Экспорт в Excel;common_exporttoexcel;W
Edit Demand;Редактировать заявление;Редактировать заявление;demandCreate_EditDemand;W
International short name;Международное краткое название;Международное краткое название;intShortName;W
Accrued % amount;Сумма начисленных %;Сумма начисленных %;amountAccruedPercentage;W
Add a new exchange rate;Добавить новый курс валют;Добавить новый курс валют;addExchangeRate;W
Edit an exchange rate;Изменить курс валют;Изменить курс валют;editExchangeRate;W
Operations with the Card unblock reason;Действия;Действия;operationsWithCardUnblockReason;W
;Создание Шаблона Платежного поручения;Создание Шаблона Платежного поручения;paymentOrder_addNewOrderTemplate;W
Cancel search;Отменить поиск;Отменить поиск;grid_cancelsearch;W
Activate;Активировать;Активировать;common_activate;W
1 calendar is selected;1 календарь выбран;1 календарь выбран;oneCalendarIsSelected;W
Kind;Вид;Вид;common_kind;W
demands cheked;заявлений выбрано;заявлений выбрано;demand_demandsChecked;W
The certificate is missing;Сертификат отсутствует;Сертификат отсутствует;certificate.missing;W
Agent bank swift;БИК/SWIFT Банка Посредника;БИК/SWIFT Банка Посредника;intTransfer_agentBankSwift;W
This field must have at least 3 chars!;Это поле должно содержать 3 символа!;Это поле должно содержать 3 символа!;common_field_atleast3chars;W
Worng Number Format;Не правильный формат числа;Не правильный формат числа;common_WorngNumberFormat;W
The code must only consist of digits;Код должен состоять только из цифр;Код должен состоять только из цифр;onlyDigitsCode;W
Card number;Номер карты;Номер карты;cardNumber;W
System modules;Модули системы;Модули системы;systemModules;W
Account;Счет;Счет;paymentOrder_recipientAccount;W
This currency is not available to pay, contact the bank support;Данная валюта недоступна для оплаты, обратитесь в службу поддержки банка;Данная валюта недоступна для оплаты, обратитесь в службу поддержки банка;intTransfer_errorCurrencyUnavailable;W
Course type;Тип курса;Тип курса;exchangeRates_courseType;W
Geoposition;Геопозиция;Геопозиция;geoposition;W
Current password;Текущий пароль;Ағымдағы құпиясөз;personal_currentPass;W
City (Agent bank);Город (Банка Посредника);Город (Банка Посредника);intTransfer_agentBankCity;W
BIK nat.;БИК национальный;БИК нац.;bikNat;W
1 user selected;1 пользователь выбран;1 пользователь выбран;customeruser_1selected;W
Accounts;Счета;Счета;navigation_accounts;W
Creating a Card status;Создание Статуса карт;Создание Статуса карт;creatingCardStatus;W
Credit number, the organization name, the organization BIN;№ кредитного договора, Наименование организации, БИН организации;№ кредитного договора, Наименование организации, БИН организации;creditNumberOrgNameOrgBin;W
Requests log;Журнал запросов;Журнал запросов;requests_title;W
Exchange rates are not known;Курс не известен;Курс не известен;exchangeRates_exchangeRatesAreNotKnown;W
Demands Constructor;Конструктор заявлений;Конструктор заявлений;navigation_demand_constructor;W
This field must contains only digits;Это поле должно содержать только цифры!;Это поле должно содержать только цифры!;common_field_onlydigits;W
Account number;Номер счета;Номер счета;accountNumber;W
Loan amount;Сумма займа;Сумма займа;loanAmount;W
Method;Метод;Метод;requests_method;W
Creating a System module;Создание Модуля системы;Создание Модуля системы;creatingSystemModule;W
Value;Значение;Значение;global_settings.constants.value;W
Individual exchange rate;Индивидуальный курс;Индивидуальный курс;paymentOrder_individualExchangeRate;W
Information from payer to recipient;Информация отправителя получателю;Информация отправителя получателю;intTransfer_recipientInfo;W
 ; ; ;common_blank;W
Digital code;Цифровой код;Цифровой код;currency_field_digitcode;W
This field must have at least 3 digits!;Это поле должно содержать 3 цифры!;Это поле должно содержать 3 цифры!;common_field_atleast3digits;W
Credit limit;Кредитный лимит;Кредитный лимит;creditLimit;W
Login;Логин;Логин;customeruser_login;W
Sessions limit;Количество сессий;Количество сессий;customeruser_sessionsLimit;W
Creating new district;Создание новой области;Создание новой области;districts_create;W
beneficiary Name;наименование бенефициара;наименование бенефициара;common_benefName;W
Viewing/Editing the Card status;Просмотр и редактирование Статуса карт;Просмотр и редактирование Статуса карт;viewingEditingCardsStatus;W
Demands Type;Типы Заявлений;Типы Заявлений;navigation_demandType;W
Birth date;Дата рождения;Дата рождения;paymentOrder_birthDate;W
Role name;Название роли;Название роли;role_name;W
Filter setting;Настройки фильтра событий;Настройки фильтра событий;events_filtertitle;W
fields Reference Field;Поле справочника;Поле справочника;temp_fieldsReferenceField;W
Bank response;Сообщение из банка;Сообщение из банка;paymentOrder_bankResponse;W
Account;Счет;Счет;signingrules_account;W
change_custom_field;Изменить текущее поле типа заявления;Изменить текущее поле типа заявления;change_custom_field;W
Receiver;Получатель;Получатель;standing.order.receiver;W
The Letter type with this code already exists;Тип письма с таким кодом уже существует;Тип письма с таким кодом уже существует;letterTypeWithSameCodeAlreadyExists;W
Curent demand saved;Текущее заявление сохранено;Текущее заявление сохранено;demandCreate_Curent_demand_saved;W
Category;Категория;Категория;demandType_category;W
Account;Счет;Счет;common_account;W
Employee details;Детали сотрудника;Детали сотрудника;employee_detailsEmployee;W
Valid to;Действует по;Действует по;authfactor_to;W
credit amount to;Сумма зачисления по;Сумма зачисления по;accTransfer_creditAmountTo;W
Manager;Менеджер;Менеджер;paymentOrder_manager;W
Transaction details;Детали транзакции;Детали транзакции;transactionDetails;W
Вы были удалены администратором банка;Вы были удалены администратором банка;Вы были удалены администратором банка;errorpage418_title;W
This bank does not exist;Такой банк не существует;Такой банк не существует;paymentOrder_valid_bankNotExist;W
Budget classification code (BCC);Код бюджетной классификации(КБК);Код бюджетной классификации(КБК);budgetClassificationCode;W
1 symbol;1 символ;1 символ;common_field_1symbol;W
The request for re-issue of the certificate has been created. Expect the manager's response;Запрос на перевыпуск сертификата создан. Ожидайте ответ менеджера;Запрос на перевыпуск сертификата создан. Ожидайте ответ менеджера;certReqCreated;W
Manager initials;ФИО менеджера;ФИО менеджера;managerInitials;W
Save And Go to List;Сохранить и перейти в список;Сохранить и перейти в список;createDemandType_saveAndGo;W
Viewing/Editing the Bank;Просмотр и редактирование банка;Просмотр и редактирование банка;viewingEditingBank;W
Name;Название;Название;common_name;W
The base currency;Базовая валюта;Базовая валюта;exchangeRates_baseCurrency;W
options default;Значение по умолчанию;Значение по умолчанию;options_default;W
Dictionaries;Справочники;Справочники;navigation_commonHandbooks;W
View;Просмотр;Просмотр;common_view;W
First value;Первое значение;Первое значение;firstValue;W
End state;Конечное состояние;Конечное состояние;documentHistory_endState;W
Days with a special Schedule;Дни со специальным графиком;Дни со специальным графиком;daysWithASpecialSchedule;W
Contract audit date;Дата учетного номера контракта;Дата учетного номера контракта;common_contractAuditDate;W
Search;Поиск;Поиск;common_search;W
Create a new City;Создать новый Город;Создать новый Город;createNewCity;W
Account;Счет;Счет;invoice_account;W
Sale course;Курс продажи;Курс продажи;exchangeRates_courseSale;W
Yes;Да;Да;boolean_true;W
Creating/Processing date;Дата создания/обработки;Дата создания/обработки;dateCreateProcessing;W
Address;Адрес;Адрес;common_address;W
Status;Статус;Статус;sessions_isactive;W
The authority will be replaced after;Полномочия сменятся через;Полномочия сменятся через;mainbar_authorityChanges;W
Standing orders;Длительные поручения;Длительные поручения;navigation_standingOrders;W
Regular payments;Регулярные платежи;Регулярные платежи;navigation_standingOrders_person;W
Status;Признак блокировки;Признак блокировки;organization.grid.column.status;W
External system;Внешняя система;Внешняя система;externalSystem;W
Employees list empty;Список сотрудников не заполнен;Список сотрудников не заполнен;paymentOrder_employeesListEmpty;W
Customer menu;Меню пользователя;Меню пользователя;navigation_menutree_customer;W
Standing Orders filter settings;Настройки фильтра длительных поручений;Настройки фильтра длительных поручений;standing_order_filter;W
Login from;Вход после;Вход после;sessions_filterfrom;W
Channel (Web, mob);Канал обслуживания (Web, mob);Канал обслуживания (Web, mob);events_servicechannel;W
BIN/IIN;ИИН/БИН;ИИН/БИН;paymentOrder_taxCode;W
create key for translation;ключ для перевода;ключ для перевода;demandType_createkeyForTranslate;W
Description;Содержание;Содержание;news_desc;W
Viewing/Editing;Просмотр/редактирование;Просмотр/редактирование;viewingEditingDeposit;W
Read;Прочитано;Прочитано;read;W
Organizations;Организации;Организации;organizations_organizations;W
Events history;История действий;История действий;navigation_events;W
View account transfer;Просмотр Перевода между своими счетами / Конвертации валюты;Просмотр Перевода между своими счетами / Конвертации валюты;paymentOrder_viewAccountTransfer;W
Operations;Действия;Действия;exchangeRates_operations;W
Multifactor authentication types;Типы многофакторной авторизации;Типы многофакторной авторизации;authFactorsTypes;W
Account transfer/currency exchange;Перевод между своими счетами/Конвертация валюты;Перевод между своими счетами/Конвертация валюты;accTransfer_accountTransfer;W
Account transfer, currency exchange;Перевод между своими счетами, Конвертация валюты;Перевод между своими счетами, Конвертация валюты;accTransfer_accountTransfer1;W
Document type;Тип документа;Тип документа;signingrules_docType;W
Update the day;Обновить день;Обновить день;updateDay;W
Account name;Название счёта;Название счёта;accountName;W
Work;Рабочие;Рабочие;common_workDocument;W
Credit currency;Валюта зачисления;Валюта зачисления;paymentOrder_creditCurrency;W
Name;Наименование;Наименование;demandType_name;W
Account opening date;Дата открытия счёта;Дата открытия счёта;account_openingDate;W
Add limit;Добавление лимита;Добавление лимита;limit_add;W
delete impossible, bcause exist linked data;Удаление невозможно из-за свзанных данных;Удаление невозможно из-за свзанных данных;common_deleteimpossible;W
Theme;Тема;Тема;multicasting_theme;W
Errors:;Ошибки:;Ошибки:;common_hasError;W
Dictionary;Справочник;Справочник;temp_sourceCodeField;W
Card type;Вид карты;Вид карты;cardType;W
Director;Руководитель;Руководитель;CompanyPerson_Director;W
ISO code;Код ISO;Код ISO;currency_ISOcode;W
Group;Группа получателей;Группа получателей;multicasting_group;W
Create a new Card type;Создать новый Вид карт;Создать новый Вид карт;createCardType;W
Limit;Лимит;Лимит;signingrules_limit;W
Document statuses;Статусы документа;Статусы документа;documentStatuses;W
Reason;Причина;Причина;reason;W
Can attache file;Возможность прикреплять файл;Возможность прикреплять файл;Can_attache_file;W
Max Execution Time;Максимальное время работы( в сек);Максимальное время работы( в сек);jobs.maxExecutionTime;W
Types;Типы;Типы;authfactorcreate_types;W
Serial number;Серийный номер;Серийный номер;companyperson_certificate_sn;W
Amount;Сумма;Сумма;limit_amount;W
Second value;Второе значение;Второе значение;secondValue;W
Constant groups;Группы констант;Группы констант;global_settings.constants.group.screen.list;W
Conversion;Конвертация;Конвертация;navigation_conversion;W
This code already exist;Такой код не существует;Такой код не существует;paymentOrder_valid_codeNotExist;W
Save Template;Сохранить шаблон;Сохранить шаблон;paymentOrder_updateTemplate;W
Brought forward balance;Входящий остаток;Входящий остаток;broughtForwardBalance;W
incorrect Password mask;Пароль не соответствует маске;Пароль не соответствует маске;common_incorrectPass;W
Notification receivers;Получатели  уведомления;Получатели  уведомления;Notification_receivers;W
Block requisites: Payment details;Блок реквизитов: Детали платежа;Блок реквизитов: Детали платежа;paymentDetailsBlock;W
Valid to;Действует по;Действует по;companyperson_certificate_to;W
No;Нет;Нет;boolean_false;W
Счет Отправителя;Счет Отправителя;Счет Отправителя;refunds.sender.acc;W
Account;Счет;Счет;paymentOrder_payerAccount;W
Fee details;Детали комисии;Детали комисии;intTransfer_feeDetail;W
Invoiced bills for payment;Invoiced bills for payment;Выставленные счета на оплату;invoiced.title;W
to;До;До;common_to;W
Social contribution refund;Возврат по социальному отчислению;Возврат по социальному отчислению;refunds.socialcontribution;W
Card unblocking reason;Причина разблокировки карты;Причина разблокировки карты;cardUnblockingReason;W
KBE;КБЕ;КБЕ;paymentOrder_recipientResidencyCode;W
Hide;Скрыть;Скрыть;common_hide;W
The day is updated!;День обновлён!;День обновлён!;dayIsUpdated;W
New password;Новый пароль;Жаңа құпиясөз;personal_newPass;W
rate to;Курс исполнения по;Курс исполнения по;accTransfer_rateTo;W
Chief Accountant;Главный Бухгалтер;Главный Бухгалтер;CompanyPerson_ChiefAccountant;W
Balance of principal in the loan currency;Остаток основного долга в валюте займа;Остаток основного долга в валюте займа;balanceLoanCurrency;W
Manager;Менеджер;Менеджер;common_manager;W
Payers name;Наименование плательщика;Наименование плательщика;domTransfer_payerName;W
Name;Имя;Имя;login_name;W
Confirm;Подтвердить;Подтвердить;common_confirm;W
Calendars;Календари;Календари;calendars;W
Dictionary: Calendars;Справочник: Календари;Справочник: Календари;handbookCalendars;W
This field must have at least 1 char!;Это поле должно содержать 1 символ!;Это поле должно содержать 1 символ!;common_field_atleast1char;W
Dictionary: Payment purpose;Справочник: Назначение платежа;Справочник: Назначение платежа;paymentOrder_handbookPaymentPurpose;W
ABS number;Номер АБС;Номер АБС;AbsNumber;W
Change phone;Изменить телефон;Изменить телефон;personal_changePhone;W
Parameters;Параметры;Параметры;jobs.parameter.title;W
Last update time;Дата последнего обновления курсов;Дата последнего обновления курсов;exchangeRates_lastUpdDateTime;W
Expiry;Действует до;Действует до;sessions_expiry;W
BIN/TAX;БИН/ИИН;БИН/ИИН;refunds.tax.code;W
Date to;Дата по;Дата по;common_periodTo;W
The card block reason already exists;Причина блокировки карты с таким кодом уже существует;Причина блокировки карты с таким кодом уже существует;cardBlockReasonExists;W
Social requisites;Реквизиты - Социальные отчисления;Реквизиты - Социальные отчисления;transferRequisites_socialRequisites;W
News;Новости;Новости;navigation_news;W
Multiple values from the dictionary;Несколько значений из справочника;Несколько значений из справочника;global_settings.constants.handbook_multi_value;W
ATMs/Branches/Terminals;Банкоматы/отделения/терминалы;Банкоматы/отделения/терминалы;atmBranchesTerminals;W
Length should be 20 characters.;Длина должна составлять 20 символов.;Длина должна составлять 20 символов.;paymentOrder_valid_20chars;W
Update;Обновить;Обновить;common_update;W
Changing the purpose of payment;Изменение назначения платежа;Изменение назначения платежа;paymentOrder_changingThePurpose;W
MFO;МФО банка;МФО банка;common_bankCode;W
Sync;Синхронизировать;Синхронизировать;sync;W
Change name;Изменить название;Изменить название;changeName;W
Notification term;Дней до события;Дней до события;notification_period;W
Print;Печатать;Печатать;common_Print;W
Region;Регион;Регион;common_region;W
Operations with the System module;Действия;Действия;operationsWithSystemModule;W
Fee account;Счет взимания комиссии;Счет взимания комиссии;intTransfer_feeAccount;W
View and edit auth factors;Просмотр и редактирование типов многофакторной авторизации;Просмотр и редактирование типов многофакторной авторизации;authfactoredit_title;W
Reason;Причина отзыва;Причина отзыва;withdraw_reason;W
Middle name;Отчество;Отчество;paymentOrder_middleName;W
Customer initials;ФИО пользователя;ФИО пользователя;customerInitials;W
Filter settings;Настройки фильтра;Настройки фильтра;filterSettings;W
Demand Print;Печать заявления;Печать заявления;demandCreate_print;W
Creating a Document status;Создание Статуса документа;Создание Статуса документа;creatingDocStatus;W
Operations;Операции;Операции;common_operations;W
Sign;Подписать;Подписать;common_sign;W
View and edit manager;Просмотр и редактирование данных менеджера;Просмотр и редактирование данных менеджера;manager_editor_title;W
All;Все;Все;global_settings.constants.group.all;W
The Document status with the same code already exists;Статус документа с таким кодом уже существует;Статус документа с таким кодом уже существует;docStatusWithSameCodeAlreadyExists;W
Bank name;Наименование Банка;Наименование Банка;transferRequisites_recipientBankName;W
Edit;Редактировать;Редактировать;common_edit;W
Card replenishment;Пополнение карты;Пополнение карты;cardReplenishment;W
International name;Интернациональное название;Интернациональное название;district_intName;W
The day is saved!;День сохранён!;День сохранён!;dayIsSaved;W
