en;ru;kk;translation_key
VIN code;VIN код;VIN код;paymentOrder_vinCode
Add new role;Добавить новую роль;Жаңа рөлді қосу;roles_add
Patronymic;Отчество;Әкесінің аты;customeruser_middleName
Blocking characteristic;Признак блокировки;Бұғаттау белгісі;organizationsCreate_lockingIndication
Payer;Плательщик;Төлеуші;payer
Create a new channel;Создать новый канал;Жаңа арна жасау;createNewChannel
Active;Активный;Белсенді;signingrules_active
1 account selected;1 счёт выбран;1 шот таңдалды;common_oneAccountSelected
Application version ;Версия приложения;Қосымшаның нұсқасы;events_applicationVersion
Rank of organization;Ранг организации;Ұйым рангі;orgRank
Letters;Письма;Хат;letters
Are you sure you want to delete card type №;Вы действительно хотите удалить Вид карт №;Сіз шынымен № карталардың Түрін өшіргіңіз келеді ме;sureYouWantDeleteCardType
Currency of transaction;Валюта транзакции;Транзакция валютасы;transactionCurrency
Channel;Канал;Арна;EventsExcelCreator.Channel
The session will end in;Сессия завершится через;...кейін Сессия аяқталады ;mainbar_sessionWillExpire
Create a payment recall application;Создать заявление на отзыв платежа;Төлемді кері шақыртуға өтініш жасау;withdraw_create
Search by the contents of the query;Поиск по содержимому запроса;Сұраныс мазмұны бойынша іздеу;requests_filtertitle
Date;Дата;Күні;withndraw_doc_date
International bank name;Международное наименование банка;Банктің халықаралық  атауы ;common_bankIntName
Urgent payment;Срочный платеж;Мерзімді төлем;paymentOrder_urgentPayment
More news;Ещё новости;Тағы жаңалықтар;moreNews
Number of the recalled document;Номер отзываемого документа;Кері шақыртылған құжат нөмірі;withdraw_doc_num_full
Prepare import;Подготовить импорт;Импортты қайталау;upload_prepare
Last name;Фамилия;Тегі;paymentOrder_lastName
International full name;Международное полное название;Халықаралық  толық атауы;intFullName
Additional authentification;Дополнительная аутентификация;Қосымша аутентификация;additionallogin_title
No more;Не более;Артық емес;noMore
To close a deposit;Закрыть депозит;Депозитті жабу;common_closeDeposit
Send;Отправить;Жөнелтуші;login_send
Blocked amount ;Заблокированная сумма;Бұғатталған  сома ;blockedAmount
Banks;Банки;Банктер;navigation_banks
Calendar is saved!;Календарь сохранён!;Күнтізбе сақталды!;calendarIsSaved
Payee's BIN/IIN;БИН/ИИН Получателя;Алушының БСН/ЖСН;paymentOrder_recipientCode
EDS certificates;Сертификаты ЭЦП;ЭСҚ Сертификаттары;certificate.ds
Registration date;Дата регистрации;Тіркеу күні;organizationsCreate_registrationDate
Non-withdrawable balance;Неснимаемый остаток;Шешілмейтін қалдық;minimumBalance
Phone;Телефон;Телефон;common_phone
Type of cards with this code is already exists;Вид карточных продуктов с таким кодом уже существует;Мұндай кодымен карталық өнімдердің  түрі ендіге жоқ;cardProductTypeAlreadyExists
Actions ;Действия;Әрекеттер;districts_operations
Module Status;Состояние модуля;Модуль жағдайы;jobs.jobState
Task management;Управления задачами;Міндеттерді басқару;navigation_job_management
Status;Статус;Мәртебе;EventsExcelCreator.Status
Enter password;Введите пароль;Құпиясөзді енгізіңіз;docSigning_inputPassword
Payment details;Детали платежа;Төлемнің егжей-тегжейлері;paymentOrder_detail
Write-off amount from;Сумма списания с;Есептен шығару сомасы;accTransfer_debitAmountFrom
Actions ;Действия;Әрекеттер;calendarOperation
Issued the tranche;Выдать транш;Транш беру;actions_issueTranche
Pension contribution;Пенсионное отчисление;Пенсионное отчисление;domTransfer_pensionContribution
SMS;SMS;SMS;customeruser_sms
Actions with a message;Дейсвия с письмом;Хатпен әрекеттер;letterActions
Type of ownership;Форма собственности;Меншік түрі;common_ownership
Notification settings;Настройки оповещений;Хабарлауларды  баптаулар;notification_title
Publication date;Дата публикации;Жариялау күні;multicasting_publicationDate
View and Editing the ATM / branch / terminal;Просмотр и редактирование Банкомата/отделения/терминала;Банкоматты / бөлімшені / терминалды қарау және редакциялау;viewingEditingAtmBranchTerminal
Create new pension contribution;Создание Пенсионного отчисления;Создание Пенсионного отчисления;paymentOrder_addNewPensionContribution
Payer's BIN;БИН плательщика;Төлеушінің БСН;payersBIN
Not paid;Не оплачен;Төленген жоқ;document.state.Accepted
Password identifier;Идентификатор пароля;Құпиясөзді сәйкестендіргіш;customeruser_passwordId
Subject;Тема;Тақырып;subject
New;Новое;Жаңа;itNew
Base currency and second currency cannot have the same isoCode;Базовая валюта и вторая валюта не могут иметь один и тот же isoCode;Базалық мен екінші валютаның бір  isoCode болмайды;exchangeRate.currency.id.conflict
Document №, type of statement ;№ документа, тип заявления;Құжаттың №, өтініш түрі;demand_serchHint
Availability in chat;Доступность в чате;Чатта қолжетімділік;managerView_isChat
Интернет-протокол;IP;IP;events_terminal
Position;Должность;Лауазымы;customeruser_position
Beneficiary bank;Банк Посредник;Банк Делдал;intTransfer_agentBankRequisites
Constants;Константы;Константалар;global_settings.constants.screen.list
Deposit's details;Детали депозита;Депозиттің егжей-тегжейлері;depositDetails
Sale details (write-offs);Реквизиты продажи (Списания);Сату (Есептен шығару)  деректемелері;paymentOrder_debitRequisites
Document status final;Состояние документа финальное;Құжаттың финалдық жағдайы;workflow_stateisfinal
International;Международное;Халықаралық ;international
The initial amount should not exceed the final one;Начальная сумма не должна превышать конечную;Бастапқы сома ақырғыдан артық болмауы тиіс;domTransfer_comparison
By type of document:;По типу документа:;Құжат типі бойынша:;standingOder_selectTypeDoc
Full name;ФИО;Аты-жөні;customeruser_fullName
Cities;Города;Қалалар;cities
View the enterprise (organization);Просмотр организации;Ұйымды қарау;viewingOrganization
History by tasks;История по задачам;Тапсырмалар бойынша тарих;jobs.history
Bank's BIC/SWIFT;БИК/SWIFT Банка;Банктің БСК/SWIFT;counterparty_bankCode
Header;Заголовок;Тақырыпат;header
Transfer entering account;Счет зачисления;Аудару шоты;accTransfer_creditAccount
Log in;Вход;Кіру ;sessions_valid_from
Revenues and expenses;Доходы и расходы;Кірістер мен шығыстар;incomeAndExpenses
Remuneration account;Счет выплаты вознаграждения;Сыйақы төлеу шоты;interestPaymentAccount
Purchase requisites (Entering an account);Реквизиты  покупки (Зачисления);Сатып алу (аудару) деректемелері;paymentOrder_creditRequisites
No news;Новостей нет;Жаңалықтар жоқ;noNews
Certificate ;Сертификат;Сертификат;certificate
SWIFT code;SWIFT код;SWIFT код;swiftCode
Information about;Информация о;туралы ақпарат;personal_informationAbout
Status of cards with this code already exists;Статус карт с таким кодом уже существует;Мұндай коды бар карталар мәртебесі бұрыннан бар;cardStatusWithSameCodeAlreadyExists
Setting of a chargeback filter;Настройка фильтра отзыва платежей;Төлемдерді кері қайтару сүзгісін баптау;withdraw_filter
Task type group name;Название группы типов задач;Тапсырмалар типі топтарының атауы;jobs.nameGroup
International address. City;Международный адрес. Город;Халықаралық  мекенжай. Қала;common_addressIntCity
View of currency;Просмотр Валюты;Валютаны қарау;currency_viewtitle
Actions ;Действия;Әрекеттер;demand_operation
Operation;Описание;Сипаттау;global_settings.constants.table.col.desc
Head of;Руководитель;Басшылар;paymentOrder_payerDirector
Payments recall;Отзывы платежей;Төлемдерді кері шақыртулар;navigation_paymentsRevokes
Weekly works schedule;Недельный график роботы;Апталық жұмыс кестесі;dailySchedule
My directories;Мои справочники;Менің анықтамалықтарым;navigation_myHandbooks
Register in the Verification Center;Зарегистрировать в УЦ;КО-да тіркеу;vc_register
Message from the bank;Сообщение из банка;Банкіден хабарлама;refunds.msg.from.bank
VIN code is not applicable;VIN код не предусмотрен;VIN код қарастырылмаған;paymentOrder_vinCodeNotProvide
Are you sure you want to delete city;Вы действительно хотите удалить Город;Сіз шынымен Қаланы  өшіргіңіз келеді ме;sureYouWantDeleteCity
The list for printing documents is empty;Список для печати документов пуст;Құжаттарды басып шығару тізімі бос;document.printError.emptyList
Actions ;Действия;Әрекеттер;rolePermissions_actions
Credits ;Кредиты;Кредиттер;navigation_credits
view Edit Payroll Template;Просмотр / Редактирование Шаблона  Зарплатного отчисления;Просмотр / Редактирование Шаблона  Зарплатного отчисления;paymentOrder_viewEditPayrollTemplate
Session term expired;Срок сессии истек;Сессия мерзімі өтіп кетті;errorpage420_title
Bank news;Новости банка;Банк жаңалықтары;bankNews
Schedule;Расписание;Кесте;jobs.cron.title
Name of the bank;Наименование банка;Банктің атауы;common_bankName
Standing orders ;Длительные поручения;Ұзақ тапсырмалар ;standing.order.title
Add new currency type;Добавить новый тип курса валют;Валюталар бағамының жаңа типін қосу;addExchangeRateType
View request;Просмотр запроса;Сұранысты қарау;requestview_title
Full title;Полное название;Толық аты;currency_currencyfullname
Actions ;Действия;Әрекеттер;operationsCardBlockReason
Bank;Банк;Банк;bank
Save;Сохранить;Сақтау;common_save
Foreign counterparties;Иностранные контрагенты;Шетелдік контрагенттер;counterparty_intCounterparties
Repeat ;Повторить;Қайталау;paymentOrder_repeat
Header;Заголовок;Тақырыпат;news_head
Common error of printing documents;ОБщая ошибка печати документов;Құжатты басып шығарудың жалпы қатесі;document.printError.general
International address. Address;Международный адрес. Адрес;Халықаралық  мекенжай. Мекенжай;common_addressIntAddress
Received;Получено;Алды;received
Salary deduction;Зарплатное отчисление;Жалақылық аударым;domTransfer_payroll
Types of exchange rates;Типы курсов валют;Валюта курстар типтері;currencyExchangeTypes
Not assigned by the user;Не назначена пользователем;Пайдаланушы тағайындамаған;personal_noDefault
Status of the calendar;Статус календаря;Күнтізбе мәртебесі;calendarStatus
Send to bank;Отправить в банк;Банкке жөнелту;common.sentToRBS
Name of deposit;Название депозита;Депозиттің атауы;depositName
Type of payment;Вид платежа;Төлем түрі;paymentType
Preserved remaining balance;Несжимаемый остаток;Төмендетілмейтін қалдық;incompressibleBalance
User menu;Меню пользователя;Пайдаланушының мәзірі;page_customermenutitle
Hidden Deposits;Скрытые депозиты;Жасырын депозиттер;hiddenDeposits
Change the exchange rate;Изменить курс валют;Валюталар бағамын өзгерту;editExchangeRate
Are you sure you want to delete the card status;Вы действительно хотите удалить Статус карт;Сіз шынымен Карталардың мәртебесін өшіргіңіз келеді ме;sureYouWantDeleteCardStatus
Deactivate;Деактивировать;Қайта белсендіру;sessions_deactivate
Type of deduction;Тип отчисления;Аударым типі;paymentOrder_employeeTransferCategory
Create a new BCC;Создать новый КБК;жаңа КБК жасау;createNewKBK
#;#;#;line.number.table.header
Signature rules;Правила подписи;Қол қою ережелері;signatureRules
Nominal interest rate;Номинальная ставка вознаграждения;Сыйақының номиналды мөлшерлемесі;nominalInterestRate
Allowable ;Новый телефон;Жаңа телефон;personal_newPhone
List of applications;Список заявлений;Өтініштер тізімі;demand.list
Full title;Полное название;Толық аты;organizationsCreate_fullName
Blocked;Блокирован;Бұғатталған;customeruser_blocked
Account;Счет;Шот;paymentOrder_account
Operation;Операция;Операция;operation
Non-cash cross-rate;Кросс-курс безналичный;Кросс-бағам қолма-қолсыз;CASHLESS_CROSS_COURSE
Create a new application;Создать новое заявление;Жаңа өтініш жасау;demand_createNewDemand
Are you sure you want to delete ATM / Branch / Terminal;Вы действительно хотите удалить Банкомат/отделение/терминал;Сіз шынымен Банкомат/бөлімше/терминалды жойғыңыз келеді ме;sureYouWantDeleteAtmBranchTerminal
Task type code;Код типа задачи;Тапсырма типінің коды;jobs.code
VAT included;в том числе НДС =;оның ішінде ҚҚС =;paymentOrder_withVat
Add an authorization factor;Добавить фактор авторизации;Авторлау факторын қосу;authfactor_add
Date of document;Дата документа;Құжаттың күні;paymentOrder_documentDate
Password;Пароль;Құпиясөз;login_password
Actions ;Действия;Әрекеттер;creditOperations
Reset;Сбросить;Кетіру;common_reset
Select a file;Выберите файл;Файлды таңдаңыз;upload_chooseFile
Purpose;Назначение;Белгіленуі;invoice_paymentPurpouse
Currency;Валюта;Валюта;limit_currency
Cron line;Строка cron;Сron жолы;jobs.schedule
Create a channel;Создание канала;Арна жасау;creatingChannel
Bank's BIC;БИК Банка;Банктің БСК;refunds.sender.bik
Amount of entering transfer from;Сумма зачисления с;... бастап есептеу сомасы ;accTransfer_creditAmountFrom
Update menu;Обновить меню;Мәзірді жаңалау;common_updateMenu
Actions ;Действия;Әрекеттер;demandType_operetionWithType
Name of the organization;Наименование организации;Ұйымның атауы;withdraw_org_name
The account does not belong to the current organization;Счет не принадлежит текущей организации;Шот ағымдағы ұйымға тиесілі емес;common_The_account_does_not_belong_to_the_current_organization
Status;Статус;Мәртебе;invoice_status
Collapse;Свернуть;Жинау;common_rollUp
Actions ;Действия;Әрекеттер;common_accountOperations
Quick links ;Быстрые ссылки;Жылдам сілтеме;quickLinks
Beneficiary account;Счет бенифициара;Бенифициар  шоты;common_benefAccount
The National Bank of the Republic of Kazakhstan;Национальный банк Республики Казахстан;Қазақстан Республикасының Ұлттық банкі;NBRK
View/editing of the group of constants;Просмотр/редактирование группы констант;Константалар тобын қарау / редакциялау ;global_settings.constants.group.screen.view_edit
Currency update;Обновление Валюты;Валютаны жаңалау;currency_currencyeditor
View and Editing of the region;Просмотр и редактирование Региона;Аймақты қарау және редакциялау;viewingEditingRegion
Region;Область;Облыс;district_district
An error occurred while receiving data from the server, reload the page;Произошла ошибка при получении данных с сервера, перегрузите страницу;Серверден деректер алғанда қате орын алды, бетті қайта жүктеңіз;common_ErrorInGetData
Enterprise (organization) status;Статус организации;Ұйым мәртебесі;common.organization.status
Invalid attempt. Number of attempts remaining: {};Неверная попытка. Количество оставшихся попыток: {};Дұрыс емес қадам. Қалған қадамдар саны: {};otp.fail_attempt.limit
The directory is not selected!;Справочник не выбран!;Анықтамалық таңдалған жоқ!;global_settings.constants.validation.no_handbook_selected
Expiry date;Дата окончания;Аяқталу күні;expirationDate
from;от;...-дан;intTransfer_from
Our enterprise (organization) is not found;Не найдена наша организация;Біздің ұйым табылған жоқ;common_cantFindCustomer
Create a new Document Status;Создать новый Статус документа;Құжаттың жаңа мәртебесін жасау;createDocStatus
Task type group code;Код группы типов задач;Тапсырма типтері тобының атауы ;jobs.codeGroup
Show balance of all cards;Показать остаток по всех картах;Барлық карталар бойынша қалдықты көрсету;showAllCardsBalance
Delete category;Удалить категорию;Санатты алып тастау;CodeCategory_Delete
The value is repeated;Значение повторяется;Мәні қайталанады;paymentOrder_valueRepeat
No data available;Нет данных;Деректер жоқ;common_noData
Email;Электронная почта;Электрондық пошта;common_email
List of task types;Список типов задач;Міндеттер типтерінің тізімі ;jobs.TypesList
Date of payment;Дата платежа;Төлем күні;paymentDate
Short name;Краткое имя;Қысқаша аты;manager_shortName
Import;Импортировать;Импорттау;upload_import
Roles;Роли;Рольдер;manager_roles
End of session;Завершение сессии;Сессияның аяқталуы;mainbar_timeoutTitle
There must be a currency identifier;Должен присутствовать идентификатор валюты;Валюта сәйкестендіргіші болуы тиіс;exchangeRate.currency.id.mustExists
Signature is allowed;Подпись разрешена;Қол қоюға рұқсат етілді;authfactor_signAllowed
The exchange rate is not relevant;Обменный курс не актуален;Ауыстыру курсы өзекті емес;exchangeRates_notActual
Operation system and browser version;Версия операционной системы, браузера;Операциялық жүйенің, браузердің нұсқасы;events_osversion
City;Город;Қала;intTransfer_recipientBankCity
Actions ;Действия;Әрекеттер;currency_operations
Are you sure you want to delete the reason of card unblocking;Вы действительно хотите удалить Причину разблокировки карты;Сіз шынымен Картаны бұғатсыздандыру себебін өшіргіңіз келеді ме;sureYouWantDeleteCardUnblockType
Password;Пароль;Құпиясөз;customeruser_password
Error of loading day data!;Ошибка при загрузке данных дня!;Күн деректерін жүктеудегі қате!;dayDataLoadingError
add New Payroll Template;Создание Шаблона Зарплатного отчисления;Создание Шаблона Зарплатного отчисления;paymentOrder_addNewPayrollTemplate
Types of credit payments;Виды платежей по кредитам;Кредиттер бойынша төлемдердің түрлері;loanPaymentsTypes
Actions ;Действия;Әрекеттер;CodeCategory_OperationWithType
Counterparty accounts;Счета контрагента;Контрагент шоты;counterparty_accounts
Log on to;Вход до;дейін кіру;sessions_filterto
The current organization is not the owner of the document;Текущая организация не является владельцем документа;Ағымдағы ұйым құжат иесі болып табылмайды;currentCustomerIsNotDocumentOwner
Purchase rate;Курс покупки;Сатып алу бағамы;exchangeRates_coursePurchase
SMS password;Смс пароль;Смс құпиясөз;login_sms_password
Category code;Код категории;Санат коды;CodeCategory_code
Hide balance of all loans;Скрыть остаток по всех кредитам;Барлық кредиттер бойынша қалдықты жасыру;hideAllCreditsBalance
View/edit payroll;Просмотр/редактирование Зарплатного отчисления;Просмотр/редактирование Зарплатного отчисления;paymentOrder_viewEditPayroll
Internet banking for corporate clients;Интернет-банкинг для корпоративных клиентов;Корпоративтік клиенттерге арналған  Интернет-банкинг;login_head
simbols;символов;белгілер;common_symbolsForLength
Inactive;Не активный;Активті емес;sessions_notactive
Dtae and time of action;Дата и время совершения действия;Әрекетті жасау күні мен уақыты;events_eventdatetime
Regions;Регионы;Аймақтар;regions
Currency exchange rate;Курс валюты;Валюта бағамы;exchangeRates_course
Electronic digital signature;Электронная цифровая подпись;Электрондық сандық қолтаңба;signature
Autocomplete source;Источник автозаполнения;Автотолтыру көзі;temp_sourceField
Reason for unlocking a card with this code already exists;Причина разблокировки карты с таким кодом уже существует;Мұндай коды бар картаны бұғаттан шығару  себебі бұрыннан бар;cardUnblockReasonAlreadyExists
Amount with;Сумма с; ... бастап сома;domTransfer_amountFrom
The digital signature has successfully passed the verification;Цифровая подпись успешно прошла проверку;Сандық қол қою тексеруден сәтті өтті;signature.valid
Counterparties;Контрагенты;Контрагенттер;counterparty_counterparties
Invoice for payment;Выставление счета на оплату;Төлеуге шотты ұсыну;actions_invoicingForPayment
Editing a calendar;Редактирование календаря;Күнтізбені редакциялау;calendarEditing
Documents: statement types;Документы:типы заявлений;Құжаттар: өтініш типтері;demandType_document_typedemand
Create of a standing order;Создание длительного поручения;Ұзақ тапсырмалар жасау;standing_order_create
Maximum length of 8 characters ;Максимальная длина 8 символов;Максималды ұзындығы 8 символ!;auth.opt.token.max_length
Status changed successfully!;Статус изменен успешно!;Мәртебе сәтті өзгертілді!;statusChangedSuccessful
The file can not be processed;Файл не может быть обработан ;Файлды өңдеу мүмкін емес;payment.import.error.common
Create a new deposit;Создание нового депозита;Жаңа депозит жасау;newDepositCreating
Directory: Types of multifactor authorization;Справочник: Типы многофакторной авторизации;Анықтамалық: Көпфакторлы авторландыру типтері;authfactors_title
Actions ;Действия;Әрекеттер;exchangeRates_cashTransactions
Password;Пароль;Құпиясөз;authfactorcreate_password
Enter password;Укажите пароль;Құпиясөзді көрсетіңіз;login_enter_password
Code;Код;Код;senderResidencyCode
Deleted;Удален;Алып тасталды;jobs.is_deleted
To order an extract;Заказать выписку;Үзінді көшірмеге тапсырыс беру;common_orderTheExcerpt
Counterparty details;Реквизиты контрагента;Контрагент  деректемелері;counterparty_requisites
Incoming;Входящие;Кіріс;inbox
Date of Agreement;Дата договора;Шарттың күні;contractDate
Password expiration date;Срок действия пароля;Құпиясөз әрекетінің мерзімі;customeruser_passwordExpiry
Types of letter;Типы письма;Хат типтері;lettersTypes
Types of cards;Виды карт;Карталардың түрлері;cardTypes
Invoices for payment;Счета на оплату;Төлем шоты;navigation_invoices
every;Каждые;Әрбір;standing.order.every
Users;Пользователи;Пайдаланушылар ;navigation_users
Type of credit;Вид кредита;Кредиттің түрі;creditType
This is a template;Это шаблон;Бұл шаблон ;document.isTemplate
Digital signature failed verification;Цифровая подпись не прошла проверку;Сандық қол қою тексеруден өтпеді;signature.invalid
Deposit Agreement №, name of organization, BIN of organization;№ депозитного договора, Наименование организации, БИН организации;депозиттік шарттың №, Ұйымның атауы, ұйымның БСН;depositNumberOrgNameOrgBin
Configure the list of recipients;Настроить список получателей;Алушылар тізімін баптау;createDemandType_reciversSetings
Attaching a digital signature;Прикрепление цифровой подписи;Сандық қолтаңбаны тіркеу;docSigning_attaching
Outgoing;Исходящие;Шығыс;outbox
simbols;символов;белгілер;common_symbolsForMaxLength
Create a cron line;Создать строку cron;cron жолын жасау;jobs.createCronString
SMS is sent to your phone;На ваш телефон отправлена смс;Сіздің телефоныңызға смс жіберілді;login_sms_send
Recalled;Отозваный;Кері шақыртылған;key_revoked
EDS;ЭЦП;ЭСҚ;eds
Roles;Роли;Рольдер;navigation_roles
Page;Страница;Бет;grid_page
Invalid password or internal error;Неправильный пароль или внутренняя ошибка;Дұрыс емес құпиясөз немесе ішкі қате;docSigning_errorText
Country Code;Код страны;Елдің коды;common_countryCode
Period from;Период от;бастап кезең;invoice_date_from
Open;Открытый;Ашық;common_active
Applications;Заявления;Өтініштер ;navigation_demand
Message;Сообщение;Хабарлама ;multicasting_text
Write-off;Списание;Есептен шығару;accTransfer_debit
Electronic transactions;Безналичные операции;Қолма-қол ақшасыз операциялар;exchangeRates_nonCashTransactions
Selecting items;Выбор элементов;Элементтерді таңдау;choosingItems
Two-character code;Двухсимвольный код;Екі символдық код;twoSymbolCode
Hide private cards;Скрыть закрытые карты;Жабық карталардыжасыру;hideClosedCards
Directory: Banks;Справочник: Банки;Анықтамалық: Банкілер;banks_handbookBanks
Dear {0};Dear {0};Dear {0};email.activation.greeting
Replenish the deposit;Пополнить депозит;Депозитті толтыру;refillDeposit
Actions ;Действия;Әрекеттер;operationsWithDocType
Currency of deposit;Валюта зачисления;Есепке жатқызу валютасы;accTransfer_creditCurrency
Managers’ filter settings;Настройки фильтра менеджеров;Менеджерлер сүзгісін баптаулар;managers_filtertitle
Currency pair;Валютная пара;Валюталық жұп;exchangeRates_currencyPair
Show balance;Показать остаток;Қалдықты көрсету;showBalance
Serial number;Серийный номер;Сериялық нөмірі;serial
Internet-banking;Интернет банкинг;Интернет банкинг;internetBanking
Page not found;Страница не найдена;Бет табылған жоқ;notFound_not_found
Payment to the budget;Платёж в бюджет;Бюджетке төлем;paymentOrder_budgetPaymentDetail
Password should not be empty;Пароль не должен быть пустым;Құпиясөз бос болмауы тиіс;common.validation.password.required
purpose of payment;назначение платежа;төлемнің белгіленуі;domTransfer_purpose
To;до;дейін;TOLowerCase
Ending;Окончание;Аяқтау;jobs.finished
deposit selected ; депозита выбрано;депозит таңдалды;depositsAreDelected
New account;Новый счет;Жаңа шот;new_account
International currency transfer viewing/editing;Просмотр/редактирование международного перевода валюты;Халықаралық валюта аударымын қарау / редакциялау;intTransfer_viewEdit
Name;Название;Атауы;page_pagename
Beneficiary Code;код бенефициара;бенефициардың коды;common_benefBankCode
Error;ошибка;қате;common_error
Name;Имя;Аты ;UsersExcelCreator.Name
Year;Год;Жыл;year
Create a copy;Создать копию;Көшірме жасау;common_createCopy
Per month;За месяц;Бір ай үшін;common_month
Change of e-mail;Изменение email;email өзгерту;personal_changingEmail
event selected;события выбрано;Оқиға таңдалды;events_X4selected
Export to Excel;Экспорт в Excel;Excel-ге экспорт;common_exporttoexcel
Yes;Да;Иә;common_yes
Edit an application;Редактировать заявление;Өтінішті редакциялау;demandCreate_EditDemand
International short name;Международное краткое название;Халықаралық  қысқаша атауы ;intShortName
The amount of accrued %;Сумма начисленных %;Есептелген % сомасы;amountAccruedPercentage
Add new cuurency rate;Добавить новый курс валют;Жаңа валюталар бағамын қосу;addExchangeRate
Actions ;Действия;Әрекеттер;operationsWithCardUnblockReason
Create a payment order template;Создание Шаблона Платежного поручения;Төлем тапсырмасының шаблонын жасау;paymentOrder_addNewOrderTemplate
Cancel search;Отменить поиск;Іздеуді болдырмау;grid_cancelsearch
Activate;Активировать;Белсендіру;common_activate
View local bank;Просмотр локального банка;Жергілікті банкіні қарау;banks_viewLocalBank
Keystore;Хранилище ключей;Кілттер қоймасы;docSigning_profile
1 calendar selected;1 календарь выбран;2 күнтізбе таңдалды;oneCalendarIsSelected
Show closed accounts;Показать закрытые счета;Жабық шоттарды көрсету;common_showClosedAccounts
Type;Вид;Түрі;common_kind
applications selected;заявлений выбрано;өтініштер таңдалды;demand_demandsChecked
Certificate is missing;Сертификат отсутствует;Сертификат жоқ;certificate.missing
BIC/SWIFT of Beneficiary bank;БИК/SWIFT Банка Посредника;Делдал Банкінің БСК/SWIFT;intTransfer_agentBankSwift
This field should contain 3 characters;Это поле должно содержать 3 символа!;Бұл жолда 3 белгі болуы тиіс!;common_field_atleast3chars
Invalid number format;Не правильный формат числа;Сан форматы дұрыс емес;common_WorngNumberFormat
To log in, click;Чтобы войти в систему, нажмите;Жүйеге кіру үшін басыңыз;errorpage418_message
The code should consist only of digits;Код должен состоять только из цифр;Код тек сандардан тұруы тиіс;onlyDigitsCode
Card number;Номер карты;Карта нөмірі;cardNumber
System modules;Модули системы;Жүйенің модульдері;systemModules
Account;Счет;Шот;paymentOrder_recipientAccount
This currency is not available for payment, contact the bank support service;Данная валюта недоступна для оплаты, обратитесь в службу поддержки банка;Бұл валюта төлеу үшін қолжетімсіз, банктің қолдау қызметіне жүгініңіз;intTransfer_errorCurrencyUnavailable
Rate type;Тип курса;Курс типі;exchangeRates_courseType
Geolocation;Геопозиция;Геопозиция;geoposition
Current password;Текущий пароль;Ағымдағы құпиясөз;personal_currentPass
City of (Beneficiary bank);Город (Банка Посредника);Қала (Делдалдың Банкі);intTransfer_agentBankCity
BIC National;БИК национальный;БСК ұлттық;bikNat
1 user  selected ;1 пользователь выбран;3 пайдаланушы таңдалды;customeruser_1selected
Invoices;Счета;Шоттар;navigation_accounts
Create a Card Status;Создание Статуса карт;Карта мәртебесін жасау;creatingCardStatus
Credit Agreement №, name of organization, BIN of organization;№ кредитного договора, Наименование организации, БИН организации;Кредиттік шарттың, Ұйымның атауы, ұйымның БСН;creditNumberOrgNameOrgBin
Early to sign;Рано для подписания;Қол қоюға ерте;key_too_early
Query log;Журнал запросов;Сұраулар журналы;requests_title
Sale;Продажа;Сату;SALE
The rate is not available;Курс не известен;Бағам белгісіз;exchangeRates_exchangeRatesAreNotKnown
Application designer;Конструктор заявлений;Өтініштер құраушысы;navigation_demand_constructor
This field should contain figures only;Это поле должно содержать только цифры!;Бұл жолда тек сандар болуы тиіс! ;common_field_onlydigits
Account Number;Номер счета;Шот нөмірі;accountNumber
Authentication by token is not available to you;Автентификация по токену Вам не доступна;Токен бойынша аутентификациялау  Сізге қолжетімсіз;otp.otp_auth_not_allowed
Loan amount;Сумма Займа;Қарыз сомасы;loanAmount
Method;Метод;Әдіс;requests_method
Create a System Module;Создание Модуля системы;Жүйе модулін жасау;creatingSystemModule
Value (setting, entry, meaning);Значение;Мәні;global_settings.constants.value
Individual course;Индивидуальный курс;Жеке курс;paymentOrder_individualExchangeRate
File format;Формат файла;Файл форматы;fileFormat
Information from the sender to the recipient;Информация отправителя получателю;Жіберушінің алушыға ақпараты;intTransfer_recipientInfo
 ; ; ;common_blank
The digital code;Цифровой код;Сандық код;currency_field_digitcode
This field should contain 3 figures;Это поле должно содержать 3 цифры!;Бұл жолда 3 сан  болуы тиіс!;common_field_atleast3digits
Credit limit;Кредитный лимит;Кредиттік шектелім;creditLimit
Login;Логин;Логин;customeruser_login
Number of sessions;Количество сессий;Сессиялар саны;customeruser_sessionsLimit
Create a new area;Создание новой области;Жаңа сала жасау;districts_create
beneficiary name;наименование бенефициара;бенефициардың атауы;common_benefName
View and Editing of card status;Просмотр и редактирование Статуса карт;Карта мәртебесін қарау және редакциялау;viewingEditingCardsStatus
Actions ;Действия;Әрекеттер;organizations_operations
Types of Applications;Типы Заявлений;Өтініштер типтері;navigation_demandType
Date of birth;Дата рождения;Туған күні;paymentOrder_birthDate
Role name;Название роли;Рөлдің атауы;role_name
Event filter settings;Настройки фильтра событий;Оқиғалар сүзгісін баптаулар;events_filtertitle
Directory field;Поле справочника;Анықтамалық жолы;temp_fieldsReferenceField
Message from the bank;Сообщение из банка;Банкіден хабарлама;paymentOrder_bankResponse
Account;Счет;Шот;signingrules_account
Change the current field of application type;Изменить текущее поле типа заявления;Өтініш типінің ағымдағы жолын өзгерту ;change_custom_field
Recipient;Получатель;Алушы;standing.order.receiver
Constants;Константы;Константалар;global_settings.constants.table.name
Action;Действие;Әрекет;EventsExcelCreator.Action
