en;ru;kk;translation_key;output_channel
Payer;Плательщик;Төлеуші;payer;W
Active;Активный;Белсенді;signingrules_active;W
Application version;Версия приложения;Қосымшаның нұсқасы;events_applicationVersion;W
An organization rank;Ранг организации;Ұйымның дәрежесі;orgRank;W
Letters;Письма;Хаттар;letters;W
Are you sure you want to delete the Card type № ?;Вы действительно хотите удалить Вид карт № ?;Сіз шынымен № карталардың түрін жойғыңыз келеді ме?;sureYouWantDeleteCardType;W
Transaction currency;Валюта транзакции;Транзакция валютасы;transactionCurrency;W
Session will expire in;Сессия завершится через;Сессия ... кейін аяқталады;mainbar_sessionWillExpire;W
Search;Поиск по содержимому запроса;Сұратымның мазмұны бойынша іздестіру;requests_filtertitle;W
International Bank Name;Международное наименование банка;Банктің халықаралық атауы;common_bankIntName;W
Urgent payment;Срочный платеж;Мерзімді төлем;paymentOrder_urgentPayment;W
Document to withdraw number;Номер отзываемого документа;Кері қайтарылатын құжаттың нөмірі;withdraw_doc_num_full;W
Pre Import;Подготовить импорт;Импортты дайындау;upload_prepare;W
Last name;Фамилия;Тегі;paymentOrder_lastName;W
International full name;Международное полное название;Халықаралық толық аты;intFullName;W
Send;Отправить;Жіберу;login_send;W
Banks;Банки;Банктер;navigation_banks;W
Code;БИН/ИИН Получателя;Алушының БСН/ЖСН;paymentOrder_recipientCode;W
DS certificates;Сертификаты ЭЦП;ЭСҚ сертификаттары;certificate.ds;W
Registration date;Дата регистрации;Тіркелген күні;organizationsCreate_registrationDate;W
Minimum balance;Неснимаемый остаток;Алынбайтын қалдық;minimumBalance;W
Phone;Телефон;Телефоны;common_phone;W
The card product type already exists;Вид карточных продуктов с таким кодом уже существует;Коды осындай карта өнімдерінің түрі жоқ;cardProductTypeAlreadyExists;W
Operations with district;Действия;Әрекеттер;districts_operations;W
Job state;Состояние модуля;Модульдің күйі;jobs.jobState;W
Status;Статус;Мәртебесі;EventsExcelCreator.Status;W
Payment detail;Детали платежа;Төлемнің егжей-тегжейі;paymentOrder_detail;W
debit amount from;Сумма списания с;…-ден есептен шығару сомасы;accTransfer_debitAmountFrom;W
Calendar operations;Действия;Әрекеттер;calendarOperation;W
Issue tranche;Выдать транш;Транш беру;actions_issueTranche;W
Pension contribution;Пенсионное отчисление;Зейнетақы аударымдары;domTransfer_pensionContribution;W
SMS;SMS;SMS;customeruser_sms;W
Ownership Type;Форма собственности;Меншік нысаны;common_ownership;W
Notification properties;Настройки оповещений;Хабарландыру баптаулары;notification_title;W
Publication date;Дата публикации;Жарияланған күні;multicasting_publicationDate;W
Create new pension contribution;Создание Пенсионного отчисления;Зейнетақы аударымын жасау;paymentOrder_addNewPensionContribution;W
Payer's BIN;БИН плательщика;Төлеушінің БСН;payersBIN;W
Password id;Идентификатор пароля;Құпиясөздің сәйкестендіргіші;customeruser_passwordId;W
Subject;Тема;Тақырыбы;subject;W
New;Новое;Жаңасы;itNew;W
Base currency and second currency should not have the same isoCode;Базовая валюта и вторая валюта не могут иметь один и тот же isoCode;Базалық валютаның және екінші валютаның iso коды бірдей болмауы тиіс;exchangeRate.currency.id.conflict;W
№ Document , type demand;№ документа, тип заявления;Құжаттың №, өтініш түрі;demand_serchHint;W
IP;IP;IP;events_terminal;W
Position;Должность;Лауазымы;customeruser_position;W
Intermediary bank details;Банк Посредник;Делдал банк;intTransfer_agentBankRequisites;W
Constants;Константы;Константтар;global_settings.constants.screen.list;W
Deposit details;Детали депозита;Депозиттің егжей-тегжейі;depositDetails;W
Debit details;Реквизиты продажи (Списания);Сату (Есептен шығару) деректемелері;paymentOrder_debitRequisites;W
The initial amount shall not exceed the final;Начальная сумма не должна превышать конечную;Бастапқы сома соңғысынан аспауы тиіс;domTransfer_comparison;W
Select Type Document;По типу документа:;Құжаттың түрі бойынша:;standingOder_selectTypeDoc;W
Full Name;ФИО;Т.А.Ә.;customeruser_fullName;W
Jobs history;История по задачам;Мақсаттар бойынша тарихы;jobs.history;W
Credit account;Счет зачисления;Есептеу шоты;accTransfer_creditAccount;W
Login date/time;Вход;Кіру;sessions_valid_from;W
Interest payment account;Счет выплаты вознаграждения;Сыйақы төлеу шоты;interestPaymentAccount;W
Credit details;Реквизиты покупки (Зачисления);Сатып алынған заттың (Есеп) деректемелері ;paymentOrder_creditRequisites;W
No news;Новостей нет;Жаңалық жоқ;noNews;W
Certificate;Сертификат;Сертификаты;certificate;W
SWIFT code;SWIFT код;SWIFT коды;swiftCode;W
Information about;Информация о;... туралы ақпарат;personal_informationAbout;W
The cards status with this code already exists;Статус карт с таким кодом уже существует;Коды осындай карталар мәртебесі бар;cardStatusWithSameCodeAlreadyExists;W
Configure document withdraw filter;Настройка фильтра отзыва платежей;Төлемдерді қайтару сүзгісін баптау;withdraw_filter;W
Group Name;Название группы типов задач;Мақсат түрлері тобының аты;jobs.nameGroup;W
International address. City;Международный адрес. Город;Халықаралық мекенжайы. Қаласы;common_addressIntCity;W
Viewing currency;Просмотр Валюты;Валютаны қарау;currency_viewtitle;W
Operation with demand;Действия;Әрекеттер;demand_operation;W
Description;Описание;Сипаттамасы;global_settings.constants.table.col.desc;W
Director;Руководитель;Басшысы;paymentOrder_payerDirector;W
Payments revokes;Отзывы платежей;Төлемдерді қайтару;navigation_paymentsRevokes;W
Daily schedule;Недельный график работы;Апталық жұмыс кестесі;dailySchedule;W
My Dictionaries;Мои справочники;Менің анықтамалықтарым;navigation_myHandbooks;W
Register in the VC;Зарегистрировать в УЦ;ЕО-нда тіркеу;vc_register;W
Сообщение из банка;Сообщение из банка;Банктен келген хабар;refunds.msg.from.bank;W
VIN code not provide;VIN код не предусмотрен;VIN коды қарастырылмаған;paymentOrder_vinCodeNotProvide;W
Are you sure you want to delete the сity?;Вы действительно хотите удалить город?;Сіз шынымен қаланы жойғыңыз келеді ме?;sureYouWantDeleteCity;W
List for print is empty;Список для печати документов пуст;Құжаттарды басып шығару тізімі бос;document.printError.emptyList;W
Actions;Действия;Әрекеттер;rolePermissions_actions;W
Credits;Кредиты;Кредиттер;navigation_credits;W
view Edit Payroll Template;Просмотр / Редактирование Шаблона  Зарплатного отчисления;Еңбекақы аударымының үлгісін қарау / редакциялау;paymentOrder_viewEditPayrollTemplate;W
Session expired;Срок сессии истек;Сессияның мерзімі өтіп кетті;errorpage420_title;W
Schedule;Расписание;Кесте;jobs.cron.title;W
Bank name;Наименование банка;Банктің атауы;common_bankName;W
Standing order;Длительные поручения;Ұзақ тапсырмалар;standing.order.title;W
Add a new exchange rate type;Добавить новый тип курса валют;Валюталар бағамының жаңа түрін қосу;addExchangeRateType;W
Request view;Просмотр запроса;Сұратымды қарау;requestview_title;W
Full name;Полное название;Толық аты;currency_currencyfullname;W
Operations with the card block reasons;Действия;Әрекеттер;operationsCardBlockReason;W
Bank;Банк;Банк;bank;W
Save;Сохранить;Сақтау;common_save;W
International counterparty;Иностранные контрагенты;Шетелдік контрагенттер;counterparty_intCounterparties;W
Repeat;Повторить;Қайталау;paymentOrder_repeat;W
Head;Заголовок;Тақырыпаты;news_head;W
International address. Address;Международный адрес. Адрес;Халықаралық мекенжайы. Мекенжайы;common_addressIntAddress;W
Payroll;Зарплатное отчисление;Еңбекақы аударымы;domTransfer_payroll;W
Exchange rates types;Типы курсов валют;Валюталар бағамдарының түрлері;currencyExchangeTypes;W
Calendar status;Статус календаря;Күнтізбенің мәртебесі;calendarStatus;W
Sent to RBS;Отправить в банк;Банкке жіберу;common.sentToRBS;W
Deposit name;Название депозита;Депозиттің аты;depositName;W
Payment type;Вид платежа;Төлем түрі;paymentType;W
Incompressible balance;неснимаемый остаток;Алынбайтын қалдық;incompressibleBalance;W
Customer menu;Меню пользователя;Пайдаланушының мәзірі;page_customermenutitle;W
Are you sure you want to delete the Card status;Вы действительно хотите удалить Статус карт;Сіз шынымен карталардың мәртебесін жойғыңыз келеді ме?;sureYouWantDeleteCardStatus;W
Deactivate;Деактивировать;Белсенсіздендіру;sessions_deactivate;W
Contribution type;Тип отчисления;Аударым түрі;paymentOrder_employeeTransferCategory;W
Create a new KBK;Создать новый КБК;Жаңа БСК жасау;createNewKBK;W
Signature rules;Правила подписи;Қол қою ережесі;signatureRules;W
The nominal interest rate;Номинальная ставка вознаграждения;Сыйақының атаулы мөлшерлемесі;nominalInterestRate;W
New phone;Новый телефон;Жаңа телефоны;personal_newPhone;W
Full name;Полное название;Толық аты;organizationsCreate_fullName;W
Blocked;Блокирован;Бұғатталған;customeruser_blocked;W
Account;Счет;Шот;paymentOrder_account;W
Operation;Операция;Амал;operation;W
Create new demand;Создать новое заявление;Жаңа өтініш жасау;demand_createNewDemand;W
Are you sure you want to delete the ATM/Branch/Terminal;Вы действительно хотите удалить Банкомат/отделение/терминал;Сіз шынымен банкоматты/бөлімшені/терминалды жойғыңыз келеді ме?;sureYouWantDeleteAtmBranchTerminal;W
code;Код типа задачи;Мақсат түрінің коды;jobs.code;W
include VAT =;в том числе НДС =;оның ішінде ҚҚС =;paymentOrder_withVat;W
Add auth factor;Добавить фактор авторизации;Қуаттау факторын қосу;authfactor_add;W
Document date;Дата документа;Құжаттың күні;paymentOrder_documentDate;W
Password;Пароль;Құпиясөз;login_password;W
Operations with credit;Действия;Әрекеттер;creditOperations;W
Reset;Сбросить;Ысыру;common_reset;W
Choose File;Выберите файл;Файлды таңдаңыз;upload_chooseFile;W
Purpose;Назначение;Тағайындалуы;invoice_paymentPurpouse;W
Currency;Валюта;Валютасы;limit_currency;W
Cron Schedule;Строка cron;Сron жолы;jobs.schedule;W
БИК Банка;БИК Банка;Банктің БСК;refunds.sender.bik;W
credit amount from;Сумма зачисления с;...-ден есептеу сомасы;accTransfer_creditAmountFrom;W
Update menu;Обновить меню;Мәзірді жаңарту;common_updateMenu;W
Operation with Type;Действия;Әрекеттер;demandType_operetionWithType;W
Organization name;Наименование организации;Ұйымдардың атауы;withdraw_org_name;W
Status;Статус;Мәртебесі;invoice_status;W
Operations with the account;Действия;Әрекеттер;common_accountOperations;W
Quick links;Быстрые ссылки;Жылдам сілтемелер;quickLinks;W
beneficiary Account;Счет бенифициара;Бенифициардың шоты;common_benefAccount;W
Просмотр/редактирование группы констант;Просмотр/редактирование группы констант;Константтар тобын қарау/редакциялау;global_settings.constants.group.screen.view_edit;W
Viewing and editing the Region;Просмотр и редактирование Региона;Өңірді қарау және редакциялау;viewingEditingRegion;W
District;Область;Облыс;district_district;W
Error while getting data, please reloud page;Произошла ошибка при получении данных с сервера, перегрузите страницу;Серверден деректерді алған кезде қателік кетті, бетті қайта қотарыңыз;common_ErrorInGetData;W
Expiration date;Дата окончания;Аяқталған күні;expirationDate;W
from;от;… бастап;intTransfer_from;W
Create a new Document status;Создать новый Статус документа;Құжаттың жаңа мәртебесін жасау;createDocStatus;W
Code group;Код группы типов задач;Мақсат түрлері тобының коды;jobs.codeGroup;W
Delete category;Удалить категорию;Санатты жою;CodeCategory_Delete;W
Value repeat;Значение повторяется;Мән қайталанады;paymentOrder_valueRepeat;W
No data;Нет данных;Деректер жоқ;common_noData;W
Email;Электронная почта;Электрондық поштасы;common_email;W
Type Jobs List;Список типов задач;Мақсат түрлерінің тізімі;jobs.TypesList;W
Short name;Краткое имя;Қысқаша аты;manager_shortName;W
Import;Импортировать;Импорттау;upload_import;W
Roles;Роли;Рөлдер;manager_roles;W
Session timeout;Завершение сессии;Сессияның аяқталуы;mainbar_timeoutTitle;W
Signature  allowed;Подпись разрешена;Қолтаңба рұқсат етілді;authfactor_signAllowed;W
The exchange rate is not actual;Обменный курс не актуален;Айырбастау бағамы өзекті емес;exchangeRates_notActual;W
City;Город;Қаласы;intTransfer_recipientBankCity;W
Currency operations;Действия;Әрекеттер;currency_operations;W
Are you sure you want to delete the Card unblock reason;Вы действительно хотите удалить Причину разблокировки карты;Сіз шынымен картаны бұғаттан шығару себебін жойғыңыз келеді ме?;sureYouWantDeleteCardUnblockType;W
Password;Пароль;Құпиясөз;customeruser_password;W
Day data loading error;Ошибка при загрузке данных дня!;Күннің деректерін қотарған кезде қате кетті!;dayDataLoadingError;W
add New Payroll Template;Создание Шаблона Зарплатного отчисления;Еңбекақы аударымының үлгісін жасау;paymentOrder_addNewPayrollTemplate;W
Loan payments types;Виды платежей по кредитам;Кредиттер бойынша төлем түрлері;loanPaymentsTypes;W
Operation with Type;Действия;Әрекеттер;CodeCategory_OperationWithType;W
Login to;Вход до;... дейін кіру;sessions_filterto;W
Purchase course;Курс покупки;Сатып алынған заттың бағамы;exchangeRates_coursePurchase;W
SMS password;Смс пароль;Смс құпиясөзі;login_sms_password;W
Category code;Код категории;Санаттың коды;CodeCategory_code;W
View/edit payroll;Просмотр/редактирование Зарплатного отчисления;Еңбекақы аударымын қарау/редакциялау;paymentOrder_viewEditPayroll;W
Internet banking for corporate clients;Интернет-банкинг для корпоративных клиентов;Корпоративтік клиенттерге арналған Интернет-банкинг;login_head;W
Not active;Не активный;Белсенді емес;sessions_notactive;W
Event date, time;Дата и время совершения действия;Әрекеттердің жасалған күні мен уақыты;events_eventdatetime;W
Regions;Регионы;Өңірлер;regions;W
Currency course;Курс валюты;Валюта бағамы;exchangeRates_course;W
source field;Источник автозаполнения;Автотолтыру көзі;temp_sourceField;W
The Card blocking reason already exists;Причина разблокировки карты с таким кодом уже существует;Коды осындай картаны бұғаттан шығару себебі бар;cardUnblockReasonAlreadyExists;W
Amount from;Сумма с;... сома;domTransfer_amountFrom;W
Counterparties;Контрагенты;Контрагенттер;counterparty_counterparties;W
Invoicing for payment;Выставление счета на оплату;Шотты төлемге ұсыну;actions_invoicingForPayment;W
Document: Demand type;Документы:типы заявлений;Құжаттар: өтініштер түрі;demandType_document_typedemand;W
Create standing order;Создание длительного поручения;Ұзақ тапсырма жасау;standing_order_create;W
The status has been changed successful!;Статус изменен успешно!;Мәртебесі табысты өзгертілді!;statusChangedSuccessful;W
Файл не может быть обработан ;Файл не может быть обработан ;Файлды өңдеу мүмкін емес ;payment.import.error.common;W
Creating a new deposit;Создание нового депозита;Жаңа депозит жасау;newDepositCreating;W
Dictionary: Auth factors;Справочник: Типы многофакторной авторизации;Анықтамалық: Көпфакторлы қуаттау түрлері;authfactors_title;W
Cash transactions;Действия;Әрекеттер;exchangeRates_cashTransactions;W
Password;Пароль;Құпиясөз;authfactorcreate_password;W
Residency code;Код;Коды;senderResidencyCode;W
Order the statement;Заказать выписку;Үзінді-көшірмеге тапсырыс беру;common_orderTheExcerpt;W
Inbox;Входящие;Кіріс құжаттары;inbox;W
Contract date;Дата договора;Шарттың күні;contractDate;W
Password expiry date;Срок действия пароля;Құпиясөздің қолданыс мерзімі;customeruser_passwordExpiry;W
Letter types;Типы письма;Хат түрлері;lettersTypes;W
Cards types;Виды карт;Карта түрлері;cardTypes;W
Every;Каждые;Әрқайсысы;standing.order.every;W
Users;Пользователи;Пайдаланушылар;navigation_users;W
Credit type;Вид кредита;Кредит түрі;creditType;W
Deposit number, the organization name, the organization BIN;№ депозитного договора, Наименование организации, БИН организации;Депозит шартының № , ұйымның атауы, ұйымның БСН;depositNumberOrgNameOrgBin;W
Recivers list Setings;Настроить список получателей;Алушылар тізімін баптау;createDemandType_reciversSetings;W
Outbox;Исходящие;Шығыс құжаттары;outbox;W
symbols;символов;... таңба;common_symbolsForMaxLength;W
Create Cron String;Создать строку cron;Сron жолын жасау;jobs.createCronString;W
EDS;ЭЦП;ЭСҚ;eds;W
Page;Страница;Бет;grid_page;W
Country code;Код страны;Елдің коды;common_countryCode;W
Date from;Период от;... басталатын кезең;invoice_date_from;W
Demand;Заявления;Өтініштер;navigation_demand;W
Message;Сообщение;Хабар;multicasting_text;W
Debit;Списание;Есептен шығару;accTransfer_debit;W
Non-cash transactions;Безналичные операции;Қолма-қол ақшасыз жасалатын амалдар;exchangeRates_nonCashTransactions;W
The two-symbol code;Двухсимвольный код;Екі таңбалы коды;twoSymbolCode;W
Dictionary: Banks;Справочник: Банки;Анықтамалық: Банктер;banks_handbookBanks;W
Refill deposit;Пополнить депозит;Депозитті толықтыру;refillDeposit;W
Operations with the Document type;Действия;Әрекеттер;operationsWithDocType;W
Credit currency;Валюта зачисления;Есептеу валютасы;accTransfer_creditCurrency;W
Filter settings;Настройки фильтра менеджеров;Менеджерлер сүзгісінің баптаулары;managers_filtertitle;W
The currency pair;Валютная пара;Валюта сыңары;exchangeRates_currencyPair;W
Serial;Серийный номер;Сериялық нөмірі;serial;W
Internet banking;Интернет банкинг;Интернет банкинг;internetBanking;W
The page is not found;Страница не найдена;Бет табылмады;notFound_not_found;W
Payment to budget;Платёж в бюджет;Бюджетке төлем;paymentOrder_budgetPaymentDetail;W
Purpose;Назначение платежа;Төлемді тағайындау;domTransfer_purpose;W
to;до;… дейін;TOLowerCase;W
Finished;Окончание;Аяқталуы;jobs.finished;W
New account;Новый счет;Жаңа шот;new_account;W
error;ошибка;қателік;common_error;W
Year;Год;Жылы;year;W
Create copy;Создать копию;Көшірме жасау;common_createCopy;W
Month;За месяц;Бір ай бұрын;common_month;W
events selected;события выбрано;оқиға таңдалды;events_X4selected;W
Export to Excel;Экспорт в Excel;Excel-ге экспорттау;common_exporttoexcel;W
Edit Demand;Редактировать заявление;Өтінішті редакциялау;demandCreate_EditDemand;W
International short name;Международное краткое название;Қысқаша халықаралық аты;intShortName;W
Accrued % amount;Сумма начисленных %;Есептелген % сомасы;amountAccruedPercentage;W
Add a new exchange rate;Добавить новый курс валют;Валюталардың жаңа бағамын қосу;addExchangeRate;W
Edit an exchange rate;Изменить курс валют;Валюталардың бағамын өзгерту;editExchangeRate;W
Operations with the Card unblock reason;Действия;Әрекеттер;operationsWithCardUnblockReason;W
;Создание Шаблона Платежного поручения;Төлем тапсырмасының үлгісін жасау;paymentOrder_addNewOrderTemplate;W
Cancel search;Отменить поиск;Іздеуді болдырмау;grid_cancelsearch;W
Activate;Активировать;Белсендіру;common_activate;W
1 calendar is selected;1 календарь выбран;1 күнтізбе таңдалды;oneCalendarIsSelected;W
Kind;Вид;Көрініс;common_kind;W
demands cheked;заявлений выбрано;... өтініш таңдалды;demand_demandsChecked;W
The certificate is missing;Сертификат отсутствует;Сертификат жоқ;certificate.missing;W
Agent bank swift;БИК/SWIFT Банка Посредника;Делдал банктің БСК/SWIFT;intTransfer_agentBankSwift;W
This field must have at least 3 chars!;Это поле должно содержать 3 символа!;Бұл жолақта 3 таңба болуы тиіс!;common_field_atleast3chars;W
Worng Number Format;Не правильный формат числа;Санның форматы қате;common_WorngNumberFormat;W
The code must only consist of digits;Код должен состоять только из цифр;Код сандардан ғана тұруы тиіс;onlyDigitsCode;W
Card number;Номер карты;Карта нөмірі;cardNumber;W
System modules;Модули системы;Жүйенің модулі;systemModules;W
Account;Счет;Шот;paymentOrder_recipientAccount;W
This currency is not available to pay, contact the bank support;Данная валюта недоступна для оплаты, обратитесь в службу поддержки банка;Бұл валюта төлеу үшін қолжетімсіз, банкті қолдау қызметіне жүгініңіз;intTransfer_errorCurrencyUnavailable;W
Course type;Тип курса;Бағам түрі;exchangeRates_courseType;W
Geoposition;Геопозиция;Геопозициясы;geoposition;W
Current password;Текущий пароль;Ағымдағы құпиясөз;personal_currentPass;W
City (Agent bank);Город (Банка Посредника);Қаласы (Делдал банктің);intTransfer_agentBankCity;W
BIK nat.;БИК национальный;Ұлттық банктің БСК;bikNat;W
1 user selected;1 пользователь выбран;1 пайдаланушы таңдалды;customeruser_1selected;W
Accounts;Счета;Шоттар;navigation_accounts;W
Creating a Card status;Создание Статуса карт;Карталардың мәртебесін жасау;creatingCardStatus;W
Credit number, the organization name, the organization BIN;№ кредитного договора, Наименование организации, БИН организации;Кредит шартының №, Ұйымның атауы, Ұйымның БСН;creditNumberOrgNameOrgBin;W
Requests log;Журнал запросов;Сұратымдар журналы;requests_title;W
Exchange rates are not known;Курс не известен;Бағам белгісіз;exchangeRates_exchangeRatesAreNotKnown;W
Demands Constructor;Конструктор заявлений;Өтініштер құраушы;navigation_demand_constructor;W
This field must contains only digits;Это поле должно содержать только цифры!;Бұл жолақта тек сандар ғана болуы тиіс!;common_field_onlydigits;W
Account number;Номер счета;Шоттың нөмірі;accountNumber;W
Loan amount;Сумма займа;Қарыз сомасы;loanAmount;W
Method;Метод;Әдісі;requests_method;W
Creating a System module;Создание Модуля системы;Жүйенің модулін жасау;creatingSystemModule;W
Value;Значение;Мәні;global_settings.constants.value;W
Individual exchange rate;Индивидуальный курс;Жеке бағамы;paymentOrder_individualExchangeRate;W
Information from payer to recipient;Информация отправителя получателю;Жіберушінің алушыға ақпараты;intTransfer_recipientInfo;W
 ; ; ;common_blank;W
Digital code;Цифровой код;Сандық коды;currency_field_digitcode;W
This field must have at least 3 digits!;Это поле должно содержать 3 цифры!;Бұл жолақта 3 сан болуы тиіс!;common_field_atleast3digits;W
Credit limit;Кредитный лимит;Кредит лимиті;creditLimit;W
Login;Логин;Логин;customeruser_login;W
Sessions limit;Количество сессий;Сессия саны;customeruser_sessionsLimit;W
Creating new district;Создание новой области;Жаңа облыс жасау;districts_create;W
beneficiary Name;наименование бенефициара;Бенефициардың атауы;common_benefName;W
Viewing/Editing the Card status;Просмотр и редактирование Статуса карт;Карталардың мәртебесін қарау және редакциялау;viewingEditingCardsStatus;W
Demands Type;Типы Заявлений;Өтініштер түрі;navigation_demandType;W
Birth date;Дата рождения;Туған күні;paymentOrder_birthDate;W
Role name;Название роли;Рөлдердің аты;role_name;W
Filter setting;Настройки фильтра событий;Оқиғалар сүзгісінің баптаулары;events_filtertitle;W
fields Reference Field;Поле справочника;Анықтамалық жолағы;temp_fieldsReferenceField;W
Bank response;Сообщение из банка;Банктен келген хабар;paymentOrder_bankResponse;W
Account;Счет;Шот;signingrules_account;W
change_custom_field;Изменить текущее поле типа заявления;Өтініштер түрінің ағымдағы жолағын өзгерту;change_custom_field;W
Receiver;Получатель;Алушы;standing.order.receiver;W
The Letter type with this code already exists;Тип письма с таким кодом уже существует;Коды осындай хат түрі бар;letterTypeWithSameCodeAlreadyExists;W
Curent demand saved;Текущее заявление сохранено;Ағымдағы өтініш сақталды;demandCreate_Curent_demand_saved;W
Category;Категория;Санаты;demandType_category;W
Account;Счет;Шот;common_account;W
Employee details;Детали сотрудника;Қызметкердің егжей-тегжейі;employee_detailsEmployee;W
Valid to;Действует по;... дейін қолданыста болады;authfactor_to;W
credit amount to;Сумма зачисления по;Есептеу сомасы ... дейін;accTransfer_creditAmountTo;W
Manager;Менеджер;Менеджер;paymentOrder_manager;W
Transaction details;Детали транзакции;Транзакция егжей-тегжейі;transactionDetails;W
Вы были удалены администратором банка;Вы были удалены администратором банка;Сізді банк әкімшісі жойды;errorpage418_title;W
This bank does not exist;Такой банк не существует;Ондай банк жоқ;paymentOrder_valid_bankNotExist;W
Budget classification code (BCC);Код бюджетной классификации(КБК);Бюджеттік сыныптама коды (БСК);budgetClassificationCode;W
1 symbol;1 символ;1 таңба;common_field_1symbol;W
The request for re-issue of the certificate has been created. Expect the manager's response;Запрос на перевыпуск сертификата создан. Ожидайте ответ менеджера;Сертификатты қайта шығаруға сұратым жасалды. Менеджердің жауабын күтіңіз;certReqCreated;W
Manager initials;ФИО менеджера;Менеджердің Т.А.Ә.;managerInitials;W
Save And Go to List;Сохранить и перейти в список;Сақтау және тізімге өту;createDemandType_saveAndGo;W
Viewing/Editing the Bank;Просмотр и редактирование банка;Банкті қарау және редакциялау;viewingEditingBank;W
Name;Название;Аты;common_name;W
The base currency;Базовая валюта;Базалық валютасы;exchangeRates_baseCurrency;W
options default;Значение по умолчанию;Мәні әдепкі қалпы бойынша;options_default;W
Dictionaries;Справочники;Анықтамалықтар;navigation_commonHandbooks;W
View;Просмотр;Қарау;common_view;W
First value;Первое значение;Бірінші мәні;firstValue;W
End state;Конечное состояние;Ақырғы күйі;documentHistory_endState;W
Days with a special Schedule;Дни со специальным графиком;Арнайы графигі бар күндер;daysWithASpecialSchedule;W
Contract audit date;Дата учетного номера контракта;Келісім-шарттың есептік нөмірінің күні;common_contractAuditDate;W
Search;Поиск;Іздеу;common_search;W
Create a new City;Создать новый Город;Жаңа қала жасау;createNewCity;W
Account;Счет;Шот;invoice_account;W
Sale course;Курс продажи;Сату бағамы;exchangeRates_courseSale;W
Yes;Да;Иә;boolean_true;W
Creating/Processing date;Дата создания/обработки;Жасау/өңдеу күні;dateCreateProcessing;W
Address;Адрес;Мекенжайы;common_address;W
Status;Статус;Мәртебесі;sessions_isactive;W
The authority will be replaced after;Полномочия сменятся через;Өкілеттіктер ... кейін ауысады;mainbar_authorityChanges;W
Standing orders;Длительные поручения;Ұзақ тапсырмалар;navigation_standingOrders;W
Regular payments;Регулярные платежи;Тұрақты төлемдер;navigation_standingOrders_person;W
Status;Признак блокировки;Бұғатталу белгісі;organization.grid.column.status;W
External system;Внешняя система;Сыртқы жүйе;externalSystem;W
Employees list empty;Список сотрудников не заполнен;Қызметкерлер тізімі толтырылмаған;paymentOrder_employeesListEmpty;W
Customer menu;Меню пользователя;Пайдаланушының мәзірі;navigation_menutree_customer;W
Standing Orders filter settings;Настройки фильтра длительных поручений;Ұзақ тапсырмалар сүзгісінің баптаулары;standing_order_filter;W
Login from;Вход после;... кейін кіру;sessions_filterfrom;W
Channel (Web, mob);Канал обслуживания (Web, mob);Қызмет көрсету арнасы (Web, mob);events_servicechannel;W
BIN/IIN;ИИН/БИН;ЖСН/БСН;paymentOrder_taxCode;W
create key for translation;ключ для перевода;аударуға арналған кілт;demandType_createkeyForTranslate;W
Description;Содержание;Мазмұны;news_desc;W
Viewing/Editing;Просмотр/редактирование;Қарау/редакциялау;viewingEditingDeposit;W
Read;Прочитано;Оқылды;read;W
Organizations;Организации;Ұйымдар;organizations_organizations;W
Events history;История действий;Әрекеттердің тарихы;navigation_events;W
View account transfer;Просмотр Перевода между своими счетами / Конвертации валюты;Өзінің шоттары/Валюта айырбастау арасындағы аударымды қарау;paymentOrder_viewAccountTransfer;W
Operations;Действия;Әрекеттер;exchangeRates_operations;W
Multifactor authentication types;Типы многофакторной авторизации;Көп факторлы қуаттау түрлері;authFactorsTypes;W
Account transfer/currency exchange;Перевод между своими счетами/Конвертация валюты;Өзінің шоттары/Валюта айырбастау арасындағы аударым;accTransfer_accountTransfer;W
Account transfer, currency exchange;Перевод между своими счетами, Конвертация валюты;Өзінің шоттары, Валюта айырбастау арасындағы аударым;accTransfer_accountTransfer1;W
Document type;Тип документа;Құжат түрі;signingrules_docType;W
Update the day;Обновить день;Күнді жаңарту;updateDay;W
Account name;Название счёта;Шоттың аты;accountName;W
Work;Рабочие;Жұмыс;common_workDocument;W
Credit currency;Валюта зачисления;Есептеу валютасы;paymentOrder_creditCurrency;W
Name;Наименование;Атауы;demandType_name;W
Account opening date;Дата открытия счёта;Шоттың ашылған күні;account_openingDate;W
Add limit;Добавление лимита;Лимитті қосу;limit_add;W
delete impossible, bcause exist linked data;Удаление невозможно из-за свзанных данных;Байланысты деректер себепті жою мүмкін емес;common_deleteimpossible;W
Theme;Тема;Тақырыбы;multicasting_theme;W
Errors:;Ошибки:;Қателіктері:;common_hasError;W
Dictionary;Справочник;Анықтамалық;temp_sourceCodeField;W
Card type;Вид карты;Карта түрі;cardType;W
Director;Руководитель;Басшы;CompanyPerson_Director;W
ISO code;Код ISO;ISO коды;currency_ISOcode;W
Group;Группа получателей;Алушылар тобы;multicasting_group;W
Create a new Card type;Создать новый Вид карт;Карталардың жаңа түрін жасау;createCardType;W
Limit;Лимит;Лимит;signingrules_limit;W
Document statuses;Статусы документа;Құжаттың мәртебелері;documentStatuses;W
Reason;Причина;Себебі;reason;W
Can attache file;Возможность прикреплять файл;Файлды бекіту мүмкіндігі;Can_attache_file;W
Max Execution Time;Максимальное время работы( в сек);Максималды жұмыс уақыты (Секундтарна);jobs.maxExecutionTime;W
