en;ru;uk;kk;translation_key
Genaral print pdf Error;ОБщая ошибка печати документов;ОБщая ошибка печати документов;ОБщая ошибка печати документов;document.printError.general
Received;Получено;Получено;Получено;received
Not assigned by user;Не назначена пользователем;Не назначена пользователем;Не назначена пользователем;personal_noDefault
Hidden deposits;Скрытые депозиты;Скрытые депозиты;Скрытые депозиты;hiddenDeposits

#;#;#;#;line.number.table.header
List od Demand;Список заявлений;Список заявлений;Список заявлений;demand.list
Cashless cross course;Кросс-курс безналичный;Кросс-курс безналичный;Кросс-курс безналичный;CASHLESS_CROSS_COURSE
Creating a Channel;Создание канала;Создание канала;Создание канала;creatingChannel
The account does not belong to the current organization;Счет не принадлежит текущей организации;Счет не принадлежит текущей организации;Счет не принадлежит текущей организации;common_The_account_does_not_belong_to_the_current_organization
Roll Up;Свернуть;Свернуть;Свернуть;common_rollUp
National bank of Kazakhstan;Национальный банк Республики Казахстан;Национальный банк Республики Казахстан;Национальный банк Республики Казахстан;NBRK
Currency editor;Обновление Валюты;Обновление Валюты;Обновление Валюты;currency_currencyeditor

Неверная попытка. Количество оставшихся попыток: {};Неверная попытка. Количество оставшихся попыток: {};Неверная попытка. Количество оставшихся попыток: {};Неверная попытка. Количество оставшихся попыток: {};otp.fail_attempt.limit
Dictionary is not selected!;Справочник не выбран!;Справочник не выбран!;Справочник не выбран!;global_settings.constants.validation.no_handbook_selected
cant find Customer;Не найдена наша организация;Не найдена наша организация;Не найдена наша организация;common_cantFindCustomer
Show the balance on all cards;Показать остаток по всех картах;Показать остаток по всех картах;Показать остаток по всех картах;showAllCardsBalance
Payment date;Дата платежа;Дата платежа;Дата платежа;paymentDate
A currency ID must be present;Должен присутствовать идентификатор валюты;Должен присутствовать идентификатор валюты;Должен присутствовать идентификатор валюты;exchangeRate.currency.id.mustExists
Operating system version;Версия операционной системы, браузера;Версия операционной системы, браузера;Версия операционной системы, браузера;events_osversion
Counterparty accounts;Счета контрагента;Счета контрагента;Счета контрагента;counterparty_accounts
The current customer is not a document owner;Текущая организация не является владельцем документа;Текущая организация не является владельцем документа;Текущая организация не является владельцем документа;currentCustomerIsNotDocumentOwner
Hide balance for all credits;Скрыть остаток по всех кредитам;Скрыть остаток по всех кредитам;Скрыть остаток по всех кредитам;hideAllCreditsBalance
Digital signature;Электронная цифровая подпись;Электронная цифровая подпись;Электронная цифровая подпись;signature
The signature is valid;Цифровая подпись успешно прошла проверку;Цифровая подпись успешно прошла проверку;Цифровая подпись успешно прошла проверку;signature.valid
Max length is 8 symbols;Максимальная длина 8 символов;Максимальная длина 8 символов;Максимальная длина 8 символов;auth.opt.token.max_length
Enter password;Укажите пароль;Укажите пароль;Укажите пароль;login_enter_password
deleted;Удален;Удален;Удален;jobs.is_deleted
Counterparty requisites;Реквизиты контрагента;Реквизиты контрагента;Реквизиты контрагента;counterparty_requisites
isTemplate;Это шаблон;Это шаблон;Это шаблон;document.isTemplate
The signature is not valid;Цифровая подпись не прошла проверку;Цифровая подпись не прошла проверку;Цифровая подпись не прошла проверку;signature.invalid
Attaching a digital signature;Прикрепление цифровой подписи;Прикрепление цифровой подписи;Прикрепление цифровой подписи;docSigning_attaching
SMS sent to your phone;На ваш телефон отправлена смс;На ваш телефон отправлена смс;На ваш телефон отправлена смс;login_sms_send
Roles;Роли;Роли;Роли;navigation_roles
Wrong password or inner error;Неправильный пароль или внутренняя ошибка;Неправильный пароль или внутренняя ошибка;Неправильный пароль или внутренняя ошибка;docSigning_errorText
Selecting items;Выбор элементов;Выбор элементов;Выбор элементов;choosingItems
Hide closed cards;Скрыть закрытые карты;Скрыть закрытые карты;Скрыть закрытые карты;hideClosedCards
Dear {0};Dear {0};Dear {0};Dear {0};email.activation.greeting
Show balance;Показать остаток;Показать остаток;Показать остаток;showBalance
Пароль не должен быть пустым;Пароль не должен быть пустым;Пароль не должен быть пустым;Пароль не должен быть пустым;common.validation.password.required
 deposits are selected; депозита выбрано; депозита выбрано; депозита выбрано;depositsAreDelected
View/edit International transfer;Просмотр/редактирование международного перевода валюты;Просмотр/редактирование международного перевода валюты;Просмотр/редактирование международного перевода валюты;intTransfer_viewEdit
Name;Название;Название;Название;page_pagename
beneficiary Bank Code;код бенефициара;код бенефициара;код бенефициара;common_benefBankCode
Name;Имя;Имя;Имя;UsersExcelCreator.Name
View local bank;Просмотр локального банка;Просмотр локального банка;Просмотр локального банка;banks_viewLocalBank
Key store;Хранилище ключей;Хранилище ключей;Хранилище ключей;docSigning_profile
Show closed accounts;Показать закрытые счета;Показать закрытые счета;Показать закрытые счета;common_showClosedAccounts
Чтобы войти в систему, нажмите;Чтобы войти в систему, нажмите;Чтобы войти в систему, нажмите;Чтобы войти в систему, нажмите;errorpage418_message
Sale;Продажа;Продажа;Продажа;SALE
Автентификация по токену Вам не доступна;Автентификация по токену Вам не доступна;Автентификация по токену Вам не доступна;Автентификация по токену Вам не доступна;otp.otp_auth_not_allowed
File format;Формат файла;Формат файла;Формат файла;fileFormat
Operations;Действия;Действия;Действия;organizations_operations
Constants;Константы;Константы;Константы;global_settings.constants.table.name
Action;Действие;Действие;Действие;EventsExcelCreator.Action
 accounts are selected; счетов выбрано; счетов выбрано; счетов выбрано;common_accsSelected
Satus;Статус;Статус;Статус;UsersExcelCreator.Status
ibank Team.;ibank Team.;ibank Team.;ibank Team.;email.signature
Sign in with only login and password will recieve only information content;При входе по логину и паролю доступен только информационный сервис;При входе по логину и паролю доступен только информационный сервис;При входе по логину и паролю доступен только информационный сервис;login_alert
Save employees;Сохранить сотрудников;Сохранить сотрудников;Сохранить сотрудников;paymentOrder_saveEmployees
Logical value;Логическое значение;Логическое значение;Логическое значение;global_settings.constants.logical_value
Dear {0};Dear {0};Dear {0};Dear {0};email.reset.greeting
You're using a technological key. Reissue for a year?;Вы используете технологический ключ. Перевыпустить на год?;Вы используете технологический ключ. Перевыпустить на год?;Вы используете технологический ключ. Перевыпустить на год?;reissuanceMessage
Algorithm;Алгоритм;Алгоритм;Алгоритм;algorithm
Common balance;Суммарный остаток;Суммарный остаток;Суммарный остаток;sum_balance
History;История;История;История;paymentOrder_history
This purpose of the payment already exists;Такое назначение платежа уже существует;Такое назначение платежа уже существует;Такое назначение платежа уже существует;paymentOrder_purposeAlreadyExist
Error in setFields;Ошибка при установки полей;Ошибка при установки полей;Ошибка при установки полей;Error_in_setFields
Overdue;На просрочке;На просрочке;На просрочке;ps_Overdie
Date;Дата;Дата;Дата;EventsExcelCreator.EventDateTime
Currency ID must be a numeric;ИД валюты должно быть цифрой;ИД валюты должно быть цифрой;ИД валюты должно быть цифрой;exchangeRate.currency.id.mustBeNumeric
here;здесь;здесь;здесь;notFound_here
No authorization factors;Отсутствуют факторы авторизации;Отсутствуют факторы авторизации;Отсутствуют факторы авторизации;signature.noAuthFactors
BIK internat.;БИК международный;БИК международный;БИК междунар.;bikInt
The selected file;Выбранный файл;Выбранный файл;Выбранный файл;common_selectedFile
ibank account activation;ibank account activation;ibank account activation;ibank account activation;email.activation.title
Role used;Роль используется;Роль используется;Роль используется;role_roleUsed
document Withdrow list;Список отзывов документов;Список отзывов документов;Список отзывов документов;documentWithdrow.list
National bank;Нацбанк;Нацбанк;Нацбанк;NB
Mb;Мб;Мб;Мб;Mb
You're temporal blocked! Try to login again throw minutes;Ваша учетная запись временно заблокирована! Ожидаемое время активации учетной записи, мин;Ваша учетная запись временно заблокирована! Ожидаемое время активации учетной записи, мин;Ваша учетная запись временно заблокирована! Ожидаемое время активации учетной записи, мин;login.ProfileIsNotActive
Regards,;Regards,;Regards,;Regards,;email.reset.text2
For your ibank account a password reset was requested, please click on the URL below to reset it:;For your ibank account a password reset was requested, please click on the URL below to reset it:;For your ibank account a password reset was requested, please click on the URL below to reset it:;For your ibank account a password reset was requested, please click on the URL below to reset it:;email.reset.text1
Enter sender name or account;Введите имя получателя или счет;Введите имя получателя или счет;Введите имя получателя или счет;invoice_search
Search by name or account number;Поиск по наименованию или номеру счета;Поиск по наименованию или номеру счета;Поиск по наименованию или номеру счета;common_searchNameNumber
Document does not has error;Документ без ошибок;Документ без ошибок;Документ без ошибок;Document_does_not_has_error
Key;Ключ;Ключ;Ключ;docSigning_Key
accomulative amount:;Сумма кредитов:;Сумма кредитов:;Сумма кредитов:;credit_creditsSum
View/edit account transfer;Просмотр/редактирование Перевода между своими счетами / Конвертации валюты;Просмотр/редактирование Перевода между своими счетами / Конвертации валюты;Просмотр/редактирование Перевода между своими счетами / Конвертации валюты;paymentOrder_viewEditAccountTransfer
Download mobile banking;Скачивайте мобильный банкинг;Скачивайте мобильный банкинг;Скачивайте мобильный банкинг;login_mobile
The current customer is not a document owner;Текущая организация не является владельцем документа;Текущая организация не является владельцем документа;Текущая организация не является владельцем документа;signature.orgNotOwnerDoc

Repeat Demand;Копировать заявление;Копировать заявление;Копировать заявление;demandCreate_repeat
Payment purpose should not exceed 420 characters;Назначение платежа не должно превышать 420 символов;Назначение платежа не должно превышать 420 символов;Назначение платежа не должно превышать 420 символов;paymentOrder_lessThen420Symbols
User already logged in;Вы уже вошли в систему;Вы уже вошли в систему;Вы уже вошли в систему;login.UserAlreadyLoggedIn
Max length is 500 symbols;Максимальная длина 500 символов!;Максимальная длина 500 символов!;Максимальная длина 500 символов!;global_settings.constants.validation.max.500
Your ibank account has been created, please click on the URL below to access it:;Your ibank account has been created, please click on the URL below to access it:;Your ibank account has been created, please click on the URL below to access it:;Your ibank account has been created, please click on the URL below to access it:;email.creation.text1
Cash sale;Наличный продажа;Наличный продажа;Наличный продажа;exchangeRates_cashSale
Expand;Развернуть;Развернуть;Развернуть;common_Expand
In this state, the document can not be signed;В данном состоянии документа подпись невозможна;В данном состоянии документа подпись невозможна;В данном состоянии документа подпись невозможна;signature.cantBeSigned
List of Documents;Список документов;Список документов;Список документов;document.list

Invoice Order list;Счета выставленные мне;Счета выставленные мне;Счета выставленные мне;InvoiceOrder.list
Transactions viewing;Просмотр транзакции;Просмотр транзакции;Просмотр транзакции;transactionsViewing
Import XML file for OTP;Импорту XML файлов для OTP;Импорту XML файлов для OTP;Импорту XML файлов для OTP;otp.screen.import.title
The two-letter code;Двухбуквенный код;Двухбуквенный код;Двухбуквенный код;twoLetterCode
Common;Общие;Общие;Общие;rolePermissions_common
Additional checking by;Дополнительная проверка по;Дополнительная проверка по;Дополнительная проверка по;common_additionalCheckingBy
Additional account;Дополнительный аккаунт;Дополнительный аккаунт;Дополнительный аккаунт;additionalAccount

Predefined value;Predefined value;Predefined value;Predefined value;global_settings.constants.predefined_value
View Demand;Просмотр заявления;Просмотр заявления;Просмотр заявления;demandCreate_ViewDemand
New password is incorrect;Новый пароль введен не правильно;Новый пароль введен не правильно;Новый пароль введен не правильно;login.NewPasswordIncorrect
Show balance for all credits;Показать остаток по всех кредитам;Показать остаток по всех кредитам;Показать остаток по всех кредитам;showAllCreditsBalance
Number;Номер;Номер;Номер;invoice_number
Country viewing;Просмотр страны;Просмотр страны;Просмотр страны;countryViewing
Returns;Returns;Returns;Returns;navigation_refunds
Не правильный формат пароля;Не правильный формат пароля;Не правильный формат пароля;Не правильный формат пароля;common.validation.password.pattern
Hide closed deposits;Скрыть закрытые депозиты;Скрыть закрытые депозиты;Скрыть закрытые депозиты;hideClosedDeposits
Login;Логин;Логин;Логин;sessions_login
template Name;Имя шаблона;Имя шаблона;Имя шаблона;document.templateName
Cashless;Безналичный;Безналичный;Безналичный;CASHLESS
Delete current field;Удалить текущее поле;Удалить текущее поле;Удалить текущее поле;createDemandType_deleteCurrentField
end;конец;конец;конец;ENDLowerCase
Comment;Комментарий;Комментарий;Комментарий;EventsExcelCreator.Comment
Cash purchase;Покупка Наличный;Покупка Наличный;Покупка Наличный;CASH_PURCHASE
eSign;Войти по ЕЦП;Войти по ЕЦП;Войти по ЕЦП;login__signaturetab
Document withdraw;Отзыв документа;Отзыв документа;Отзыв документа;withdraw_doc
Transfer;Перевод;Перевод;Перевод;transfer
Dates should not be the same;Даты не должны быть одинаковыми;Даты не должны быть одинаковыми;Даты не должны быть одинаковыми;exchangeRate.date.same
Skip and login;Пропустить и войти;Пропустить и войти;Пропустить и войти;login_skipandlogin
Your ibank account has been created, please click on the URL below to activate it:;Your ibank account has been created, please click on the URL below to activate it:;Your ibank account has been created, please click on the URL below to activate it:;Your ibank account has been created, please click on the URL below to activate it:;email.activation.text1
Regards,;Regards,;Regards,;Regards,;email.activation.text2
Start a chat;Начать чат;Начать чат;Начать чат;startChat
Employee tax Code is Empty;Не заполнен ИИН сотрудника;Не заполнен ИИН сотрудника;Не заполнен ИИН сотрудника;common_taxCodeIsEmpty
Dictionary: Countries;Справочник: Страны;Справочник: Страны;Справочник: Страны;handbookCountries
beneficiary Residency Code;Код резидента бенефициара;Код резидента бенефициара;Код резидента бенефициара;common_benefResidencyCode

Enter a message;Введите сообщение;Введите сообщение;Введите сообщение;enterMessage
All accounts are selected;Все счета выбраны;Все счета выбраны;Все счета выбраны;common_allAccountsSelected
Manager menu;Меню менеджера;Меню менеджера;Меню менеджера;navigation_menutree_manager
Apply for a new account;Создать заявку на открытие счёта;Создать заявку на открытие счёта;Создать заявку на открытие счёта;common_applyNewAccount
Canceled;Отменен;Отменен;Отменен;common_canceled

Create the letter;Создать письмо;Создать письмо;Создать письмо;letterCreate
OTP;ОТП;ОТП;ОТП;login_factor_Generator
Неверная попытка;Неверная попытка;Неверная попытка;Неверная попытка;otp.fail_attempt
Hide the balance of all accounts;Скрыть остаток по всем счетам;Скрыть остаток по всем счетам;Скрыть остаток по всем счетам;common_hideBalance
Details;Просмотр деталей;Просмотр деталей;Просмотр деталей;banks_localBankOperations
in;в;в;в;common_in
Terminal IP;IP;IP;IP;EventsExcelCreator.Terminal
Payment has not changed;Назначение платежа не изменилось;Назначение платежа не изменилось;Назначение платежа не изменилось;paymentOrder_paymentHasNotChanged
Imported;Импорт завершен;Импорт завершен;Импорт завершен;common_imported
Viewing the letter;Просмотр письма;Просмотр письма;Просмотр письма;letterViewing
Certificate;Сертификат;Сертификат;Сертификат;companyperson_certificate
null;Выставленный мне счет;Выставленный мне счет;null;invoice_view_title
Message history;История сообщений;История сообщений;История сообщений;messageHistory
Delete Templates;Удалить шаблон;Удалить шаблон;Delete Templates;common_deleteTemplates
Main page;Главная страница;Главная страница;Главная страница;notFound_main_page
Payment purpose operations;Действия;Действия;Действия;paymentOrder_paymentPurposeOperations
Currency IDs must be different;ИД валют должны быть разными;ИД валют должны быть разными;ИД валют должны быть разными;exchangeRate.currency.id.same
Not found any item for export;Нет записей для экспорта;Нет записей для экспорта;Нет записей для экспорта;jobs.exportToExcel.emptyList
Cashless purchase;Безналичный покупка;Безналичный покупка;Безналичный покупка;exchangeRates_cashlessPurchase
Редактировать;Редактировать;Редактировать;Редактировать;company.persons.change
field is empty;поле не заполнено -;поле не заполнено -;поле не заполнено -;common_field_is_empty
Status:;Status:;Status:;Status:;error.status
You should provide a valid data!;Вы должны предоставить действительные данные!;Вы должны предоставить действительные данные!;Вы должны предоставить действительные данные!;valid.data.shouldExists
Roles;Роли;Роли;Роли;companyperson_roles
Signature rule is not found;Правило подписи не найдено;Правило подписи не найдено;Правило подписи не найдено;workflow_signatureRuleNotFound
Hide closed credits;Скрыть закрытые кредиты;Скрыть закрытые кредиты;Скрыть закрытые кредиты;hideClosedCredits
Cashless sale;Продажа Безналичный;Продажа Безналичный;Продажа Безналичный;CASHLESS_SALE
has errors;есть ошибки;есть ошибки;есть ошибки;common_has_error

 accounts are selected; счёта выбрано; счёта выбрано; счёта выбрано;common_accountsSelected
The document status is not found;Статус документа не определен;Статус документа не определен;Статус документа не определен;workflow_statusNotFound
Closed deposits;Закрытые депозиты;Закрытые депозиты;Закрытые депозиты;showClosedDeposits
Contracts list;Список валютных контрактов;Список валютных контрактов;Список валютных контрактов;counterparty_contractsList
Invalid file type. Valid;Неверный тип файла. Допустимы;Неверный тип файла. Допустимы;Неверный тип файла. Допустимы;wrongFileType
Import document;Импорт документа;Импорт документа;Импорт документа;common_documentImport
Dictionary: Permissions;Справочник полномочий;Справочник полномочий;Справочник полномочий;menutree_title
Personal page;Личный кабинет;Личный кабинет;Личный кабинет;navigation_personalOffice
null;ibution=Просмотр/редактирование Пенсионноого отчисления;ibution=Просмотр/редактирование Пенсионноого отчисления;null;paymentOrder_viewEditPensionContr
Operating system version;Версия операционной системы, браузера;Версия операционной системы, браузера;Версия операционной системы, браузера;EventsExcelCreator.Osversion
Completed;Завершен;Завершен;Завершен;common_completed
Document date;Дата документа;Дата документа;Дата документа;invoice_date
Импорт ОТП токенов;Импорт ОТП токенов;Импорт ОТП токенов;Импорт ОТП токенов;navigation_otp.import
The three-letter code;Трехбуквенный код;Трехбуквенный код;Трехбуквенный код;threeLetterCode
Send for signature;Отправить на подпись;Отправить на подпись;Отправить на подпись;paymentOrder_sendForSignature
Can't get profile list;Хранилища не найдены;Хранилища не найдены;Хранилища не найдены;docSigning_errorKeyList
A chat date;Дата чата;Дата чата;Дата чата;chatDate
Action is not found;Переход не найден;Переход не найден;Переход не найден;workflow_actionNotFound
ID should exists;Необходимо указать идентификатор;Необходимо указать идентификатор;Необходимо указать идентификатор;id.shouldExists
Create Template;Создать Шаблон;Создать Шаблон;Создать Шаблон;common_createTemplate
null;Id пользователя должно быть пустым;Id пользователя должно быть пустым;null;common.validation.creation.customer.id
The status with the same code already exists;Статус с таким кодом уже существует;Статус с таким кодом уже существует;Статус с таким кодом уже существует;statusWithSameCodeAlreadyExists
Company person is not visible for this manager;Company person is not visible for this manager;Company person is not visible for this manager;Company person is not visible for this manager;letter.validation.invalid.company.person
Create a new Status;Создать новый статус;Создать новый статус;Создать новый статус;createNotificationType
Hide the balance on all cards;Скрыть остаток по всех картах;Скрыть остаток по всех картах;Скрыть остаток по всех картах;hideAllCardsBalance
field director is empty;Поле руководитель пустое;Поле руководитель пустое;Поле руководитель пустое;common_director_is_empty
duplicate Employee TaxCode;Дублирующиеся Бин сотрудников;Дублирующиеся Бин сотрудников;Дублирующиеся Бин сотрудников;common_duplicateEmployeeTaxCode
Operations with card;Действия;Действия;Действия;cardOperations
Reply;Ответ на письмо;Ответ на письмо;Ответ на письмо;letterReply
For Week;За неделю;За неделю;За неделю;common_forWeek
Block in the VC;Заблокировать в УЦ;Заблокировать в УЦ;Заблокировать в УЦ;vc_block
Save recipient;Сохранить получателя;Сохранить получателя;Сохранить получателя;paymentOrder_saveCounterparty
MB;Мб;Мб;Мб;common_MB
Settings;Настройки;Настройки;Настройки;navigation_settings
Current item saved;текущее значение сохранено;текущее значение сохранено;текущее значение сохранено;CreateDemandType_curentItemSaved
Operations with document;Действия;Действия;Действия;invoice_operations
Show closed credits;Показать закрытые кредиты;Показать закрытые кредиты;Показать закрытые кредиты;showClosedCredits
Add contract;Добавить валютный контракт;Добавить валютный контракт;Добавить валютный контракт;counterparty_addContract
Please, choose currency;Выберите валюту платежа;Выберите валюту платежа;Выберите валюту платежа;intTransfer_chooseCurrency
All documents are selected;Все документы выбраны;Все документы выбраны;Все документы выбраны;allDocsSelected
Accounts;Счета организации(Номер счета);Счета организации(Номер счета);Счета организации(Номер счета);accTransfer_accounts
for day;За сегодня;За сегодня;За сегодня;common_forDay
Are you sure you want to delete the purpose of payment;Вы действительно хотите удалить назначение платежа;Вы действительно хотите удалить назначение платежа;Вы действительно хотите удалить назначение платежа;paymentOrder_deletePaymentPurpose
Оплачен;Оплачен;Оплачен;Оплачен;document.state.Paid
Document is not found;Документ не найден;Документ не найден;Документ не найден;workflow_docNotFound
Токен заблокирован;Токен заблокирован;Токен заблокирован;Токен заблокирован;otp.otp_token_blocked
ibank password reset;ibank password reset;ibank password reset;ibank password reset;email.reset.title

Hide balance;Скрыть остаток;Скрыть остаток;Скрыть остаток;hideBalance
Detail/Edit;Детальнее/Редактировать;Детальнее/Редактировать;Детальнее/Редактировать;accTransfer_detailEdit
Choose key;Выберите ключ;Выберите ключ;Выберите ключ;docSigning_chooseKey
Term to;Срок до;Срок до;Срок до;termTo
Признак блокировки ;Признак блокировки;Признак блокировки;Признак блокировки ;organization.grid.column.blocked.status
Max length is 255 symbols;Максимальная длина 255 символов!;Максимальная длина 255 символов!;Максимальная длина 255 символов!;global_settings.constants.validation.max.255
Cash purchase;Наличный покупка;Наличный покупка;Наличный покупка;exchangeRates_cashPurchase
Import Payment Exeption : error while parsing in line -;Произошла ошибка во время парсинга файла в строке -;Произошла ошибка во время парсинга файла в строке -;Произошла ошибка во время парсинга файла в строке -;ImportPaymentExeption_error_while_parsing_in_line
account repeated;Счет повторяется;Счет повторяется;Счет повторяется;paymentOrder_accountRepeated
Events;История событий;История событий;История событий;EventsExcelCreator.Events
Creating a Notification type;Создание типа уведомления;Создание типа уведомления;Создание типа уведомления;creatingNotificationType
Log in with your fingerprint;Войти с помощью отпечатка пальца;Войти с помощью отпечатка пальца;Саусақ ізін қолданып Логин;login_byfingerprint
Last Name, Name;ФИО;ФИО;ФИО;fio
Time;Время;Время;Время;common_time
Denomination;Купюрность;Купюрность;Купюрность;denomination
The amount of demand of cash is less than 2 million KZT or 20 thousand US dollars or 15 thousand euros;сумма снятия наличных денег меньше 2 миллионов казахстанских тенге или 20 тысяч долларов США или 15 тысяч  евро;сумма снятия наличных денег меньше 2 миллионов казахстанских тенге или 20 тысяч долларов США или 15 тысяч  евро;сумма снятия наличных денег меньше 2 миллионов казахстанских тенге или 20 тысяч долларов США или 15 тысяч  евро;demand_cash_validation_failed_message
less Then Current;валютирования меньше текущей;валютирования меньше текущей;валютирования меньше текущей;common_lessThenCurrent
between ;между ;между ;между ;jobs.between
and ;и ;и ;и ;jobs.and
of the month;месяцем;месяцем;месяцем;jobs.of_the_month
Japanese yen;Японская йена;Японская йена;Японская йена;currency_jap
notifications;уведомлений;уведомлений;уведомлений;notifications_notifications
Cash withdrawal;Заказ наличности;Заказ наличности;Заказ наличности;actions_DemandCash
Cash;Заказ наличности;Заказ наличности;Заказ наличности;navigation_Cash
is not Active;Не активна;Не активна;Не активна;jobs.isNotActive
View/Edit Exposed Order;Просмотр/редактирование;Просмотр/редактирование;Просмотр/редактирование;edit_exposed
Create Exposed Order;Создание счета;Создание счета;Создание счета;create_exposed
Chinese yuan;Китайский юань;Китайский юань;Китайский юань;currency_chin
Send for confirmation;На подтверждение;На подтверждение;На подтверждение;action_sendForConfirmation
Current;Текущий;Текущий;Текущий;acc_current
Deposit;Депозитный;Депозитный;Депозитный;acc_deposit
Credit;Кредитный;Кредитный;Кредитный;acc_credit
Card;Карточный;Карточный;Карточный;acc_card
Currency should not be different;Валюты счетов не должны различатся;Валюты счетов не должны различатся;Валюты счетов не должны различатся;error_differentCurrency
Password must not equal login;Пароль не должен соответствовать логину;Пароль не должен соответствовать логину;Пароль не должен соответствовать логину;customeruser_passwordeqlogin
User already exist;Пользователь с таким логином уже существует;Пользователь с таким логином уже существует;Пользователь с таким логином уже существует;customeruser_alreadyexist
User not found;Пользователь не найден;Пользователь не найден;Пользователь не найден;customeruser_notfound
Set deafult language;Язык поумолчанию;Язык поумолчанию;Язык поумолчанию;clear_notification_defaultLanuage
Raiffeisen Bank International AG;Raiffeisen Bank International AG;Raiffeisen Bank International AG;Raiffeisen Bank International AG;EUR_CORRESPONDENT_BANK_NAME
Expobank LLC, Kalanchevskaya Street, 29/2, Moscow, 107078, Russia;ООО «Экспобанк», Россия;ООО «Экспобанк», Россия;Expobank» ЖШҚ, Ресей, 107078, Мәскеу, Каланчевская көш.,29/2 ;USD_CORRESPONDENT_BANK_NAME
Expobank LLC, Kalanchevskaya Street, 29/2, Moscow, 107078, Russia;ООО «Экспобанк», Россия;ООО «Экспобанк», Россия;Expobank» ЖШҚ, Ресей, 107078, Мәскеу, Каланчевская көш.,29/2 ;GBP_CORRESPONDENT_BANK_NAME
Expobank LLC, Kalanchevskaya Street, 29/2, Moscow, 107078, Russia;ООО «Экспобанк», Россия;ООО «Экспобанк», Россия;Expobank» ЖШҚ, Ресей, 107078, Мәскеу, Каланчевская көш.,29/2 ;RUB_CORRESPONDENT_BANK_NAME
Expobank LLC, Kalanchevskaya Street, 29/2, Moscow, 107078, Russia;ООО «Экспобанк», Россия;ООО «Экспобанк», Россия;Expobank» ЖШҚ, Ресей, 107078, Мәскеу, Каланчевская көш.,29/2 ;CHF_CORRESPONDENT_BANK_NAME
Password recovery;Восстановление пароля;Восстановление пароля;Восстановление пароля;login_recovery
JSC “Bank ExpoCredit”;АО «Банк ЭкспоКредит»;АО «Банк ЭкспоКредит»;«ЭкспоКредит Банкі» АҚ;KZT_BANK_NAME
Open Account;Открытие Счета;Открытие Счета;Открытие Счета;OpenAccount
Open Credit;Выдача займа;Выдача займа;Выдача займа;OpenCredit
Close Credit;досрочное погашение кредита;досрочное погашение кредита;досрочное погашение кредита;CloseCredit
Create Card;выпуск карты;выпуск карты;выпуск карты;CreateCard
ReCreate Card;Перевыпуск карты;Перевыпуск карты;Перевыпуск карты;ReCreateCard
Unpublish DemandType when demands are present in base is forbidden;Запрещена отмена публикации если уже есть созданные заявления в базе;Запрещена отмена публикации если уже есть созданные заявления в базе;Запрещена отмена публикации если уже есть созданные заявления в базе;customRequestType.unpublishedError
Here is the text of the agreement, a multi-line part;Здесь будет находится текст соглашения, многострочная часть;Здесь будет находится текст соглашения, многострочная часть;Здесь будет находится текст соглашения, многострочная часть;translation_18
Change in the amount of payment with preservation of the loan term-Change in the loan period with the remaining amount of payment;Изменение суммы выплаты с сохранением срока займа-Изменение срока займа с сохранением суммы выплаты;Изменение суммы выплаты с сохранением срока займа-Изменение срока займа с сохранением суммы выплаты;Изменение суммы выплаты с сохранением срока займа-Изменение срока займа с сохранением суммы выплаты;translation_19
Closing of the account is possible only if there are no funds on the account;Закрытие счета возможно только при отсутствии денежных средств на счете;Закрытие счета возможно только при отсутствии денежных средств на счете;Закрытие счета возможно только при отсутствии денежных средств на счете;translation_20
Confirmation of consent to the terms of deposit opening;Подтверждение о согласии с условиями открытия вклада;Подтверждение о согласии с условиями открытия вклада;Подтверждение о согласии с условиями открытия вклада;translation_21
Confirmation of consent to the terms of issue of the card;Подтверждение о согласии с условиями выпуска карты;Подтверждение о согласии с условиями выпуска карты;Подтверждение о согласии с условиями выпуска карты;translation_22
Swiss franc;Швейцарский франк;Швейцарский франк;Швейцарский франк;currency_frank
Corporation "AsiaCredit Bank";Акционерное общество "AsiaCredit Bank (АзияКредит Банк)";Акционерное общество "AsiaCredit Bank (АзияКредит Банк)";Акционерное общество "AsiaCredit Bank (АзияКредит Банк)";bank_owner_full_name
One of localization values a not filled;Одно из значений для локализации не заполнено;Одно из значений для локализации не заполнено;Одно из значений для локализации не заполнено;constant.validation.multi.value.empty
Commerzbank AG, Frankfurt am Main, Germany;Commerzbank AG, Frankfurt am Main, Germany;Commerzbank AG, Frankfurt am Main, Germany;Commerzbank AG, Frankfurt am Main, Germany;EUR_CORRESPONDENT_BANK_NAME_1
Raiffeisen Bank International A.G. Vienna, Austria;Raiffeisen Bank International A.G. Vienna, Austria;Raiffeisen Bank International A.G. Vienna, Austria;Raiffeisen Bank International A.G. Vienna, Austria;EUR_CORRESPONDENT_BANK_NAME_2
ALFA-BANK;ALFA-BANK;ALFA-BANK;ALFA-BANK;USD_CORRESPONDENT_BANK_NAME_1
KAZKOMMERTSBANK, ALMATY, KZ;KAZKOMMERTSBANK, ALMATY, KZ;KAZKOMMERTSBANK, ALMATY, KZ;KAZKOMMERTSBANK, ALMATY, KZ;USD_CORRESPONDENT_BANK_NAME_2
