en;ru;uk;kk;translation_key
Income and expenses;Доходы и расходы;Доходи і видатки;Доходы и расходы;incomeAndExpenses
Bank News;Новости банка;Новини банку;Новости банка;bankNews
Genaral print pdf Error;ОБщая ошибка печати документов;Загальна помилка друку документів;ОБщая ошибка печати документов;document.printError.general
Received;Получено;Отримано;Получено;received
Not assigned by user;Не назначена пользователем;Не заповнена користувачем;Не назначена пользователем;personal_noDefault
Hidden deposits;Скрытые депозиты;Приховані депозити;Скрытые депозиты;hiddenDeposits
#;#;#;#;line.number.table.header
List od Demand;Список заявлений;Список заяв;Список заявлений;demand.list
Cashless cross course;Кросс-курс безналичный;крос-курс безготівковий;Кросс-курс безналичный;CASHLESS_CROSS_COURSE
Creating a Channel;Создание канала;Створення каналу;Создание канала;creatingChannel
The account does not belong to the current organization;Счет не принадлежит текущей организации;Рахунок не належить даному підриємству / організації;Счет не принадлежит текущей организации;common_The_account_does_not_belong_to_the_current_organization
Roll Up;Свернуть;Згорнути;Свернуть;common_rollUp
National bank of Kazakhstan;Национальный банк Республики Казахстан;Національний банк України;Национальный банк Республики Казахстан;NBRK
Currency editor;Обновление Валюты;Оновлення Валюти;Обновление Валюты;currency_currencyeditor
Неверная попытка. Количество оставшихся попыток: {};Неверная попытка. Количество оставшихся попыток: {};Невірна спроба. Кількість спроб, що лишилось: {};Неверная попытка. Количество оставшихся попыток: {};otp.fail_attempt.limit
Dictionary is not selected!;Справочник не выбран!;Довідник не обрано!;Справочник не выбран!;global_settings.constants.validation.no_handbook_selected
cant find Customer;Не найдена наша организация;Не знайдене наше підприємство;Не найдена наша организация;common_cantFindCustomer
Show the balance on all cards;Показать остаток по всех картах;Відобразити залишок за всіма картами;Показать остаток по всех картах;showAllCardsBalance
Payment date;Дата платежа;Дата платежу;Дата платежа;paymentDate
A currency ID must be present;Должен присутствовать идентификатор валюты;Має бути ідентифікатор валюти;Должен присутствовать идентификатор валюты;exchangeRate.currency.id.mustExists
Operating system version;Версия операционной системы, браузера;Версія операційної системи, браузера;Версия операционной системы, браузера;events_osversion
Counterparty accounts;Счета контрагента;Рахунки контрагнта;Счета контрагента;counterparty_accounts
The current customer is not a document owner;Текущая организация не является владельцем документа;Поточна організація не є власником документу ;Текущая организация не является владельцем документа;currentCustomerIsNotDocumentOwner
Hide balance for all credits;Скрыть остаток по всех кредитам;Приховати залишок по всім кредитам;Скрыть остаток по всех кредитам;hideAllCreditsBalance
Digital signature;Электронная цифровая подпись;Електронно-цифровий підпис;Электронная цифровая подпись;signature
The signature is valid;Цифровая подпись успешно прошла проверку;Цифровий пілпис успішно пройшов перевірку;Цифровая подпись успешно прошла проверку;signature.valid
Max length is 8 symbols;Максимальная длина 8 символов;Максимальна довжина 8 символів;Максимальная длина 8 символов;auth.opt.token.max_length
Enter password;Укажите пароль;Введіть пароль до сховища;Укажите пароль;login_enter_password
deleted;Удален;Видалений;Удален;jobs.is_deleted
Counterparty requisites;Реквизиты контрагента;Реквізити контрагента;Реквизиты контрагента;counterparty_requisites
isTemplate;Это шаблон;Це шаблон;Это шаблон;document.isTemplate
The signature is not valid;Цифровая подпись не прошла проверку;Цифровий підпис не пройшов перевірку;Цифровая подпись не прошла проверку;signature.invalid
Attaching a digital signature;Прикрепление цифровой подписи;Закріплення цифрового підпису;Прикрепление цифровой подписи;docSigning_attaching
SMS sent to your phone;На ваш телефон отправлена смс;На Ваш телефон відправлено sms;На ваш телефон отправлена смс;login_sms_send
Roles;Роли;Ролі;Роли;navigation_roles
Wrong password or inner error;Неправильный пароль или внутренняя ошибка;Невірний пароль або внутрішня помилка;Неправильный пароль или внутренняя ошибка;docSigning_errorText
Selecting items;Выбор элементов;Вибір елементів;Выбор элементов;choosingItems
Hide closed cards;Скрыть закрытые карты;Приховати закриті карти;Скрыть закрытые карты;hideClosedCards
Dear {0};Dear {0};Dear {0};Dear {0};email.activation.greeting
Show balance;Показать остаток;Відобразити залишок;Показать остаток;showBalance
Пароль не должен быть пустым;Пароль не должен быть пустым;Пароль не може бути пустим;Пароль не должен быть пустым;common.validation.password.required
 deposits are selected; депозита выбрано;депозита обрано; депозита выбрано;depositsAreDelected
View/edit International transfer;Просмотр/редактирование международного перевода валюты;Перегляд / Редагування міжнародного переводу валюти;Просмотр/редактирование международного перевода валюты;intTransfer_viewEdit
Name;Название;Назва;Название;page_pagename
beneficiary Bank Code;код бенефициара;Код бенефеціару;код бенефициара;common_benefBankCode
Name;Имя;Ім'я;Имя;UsersExcelCreator.Name
View local bank;Просмотр локального банка;Переглд локального банку;Просмотр локального банка;banks_viewLocalBank
Key store;Хранилище ключей;Сховище ключів;Хранилище ключей;docSigning_profile
Show closed accounts;Показать закрытые счета;Відобразити закриті рахунки;Показать закрытые счета;common_showClosedAccounts
Чтобы войти в систему, нажмите;Чтобы войти в систему, нажмите;Щоб увійти в систему, натисніть;Чтобы войти в систему, нажмите;errorpage418_message
Sale;Продажа;Продаж;Продажа;SALE
Автентификация по токену Вам не доступна;Автентификация по токену Вам не доступна;Послуга аутентифікації по токену Вам недоступна;Автентификация по токену Вам не доступна;otp.otp_auth_not_allowed
File format;Формат файла;Формат файлу;Формат файла;fileFormat
Operations;Действия;Дія;Действия;organizations_operations
Constants;Константы;Константи;Константы;global_settings.constants.table.name
Action;Действие;Дія;Действие;EventsExcelCreator.Action
 accounts are selected; счетов выбрано;Рахунки обрано; счетов выбрано;common_accsSelected
Satus;Статус;Статус;Статус;UsersExcelCreator.Status
ibank Team.;ibank Team.;ibank Team.;ibank Team.;email.signature
Sign in with only login and password will recieve only information content;При входе по логину и паролю доступен только информационный сервис;При вході за допомогою логіну та паролю доступний лише інформаційний сервіс;При входе по логину и паролю доступен только информационный сервис;login_alert
Save employees;Сохранить сотрудников;Зберегти співробітників;Сохранить сотрудников;paymentOrder_saveEmployees
Logical value;Логическое значение;Логічне значення;Логическое значение;global_settings.constants.logical_value
Dear {0};Dear {0};Dear {0};Dear {0};email.reset.greeting
You're using a technological key. Reissue for a year?;Вы используете технологический ключ. Перевыпустить на год?;Ви використовуєте технологічний ключ. Перевипустити на рік?;Вы используете технологический ключ. Перевыпустить на год?;reissuanceMessage
Algorithm;Алгоритм;Алгоритм;Алгоритм;algorithm
Common balance;Суммарный остаток;Сумарний залишок;Суммарный остаток;sum_balance
History;История;Історія;История;paymentOrder_history
This purpose of the payment already exists;Такое назначение платежа уже существует;Таке призначення платежу вже існує;Такое назначение платежа уже существует;paymentOrder_purposeAlreadyExist
Error in setFields;Ошибка при установки полей;Помилка при встановленні полів;Ошибка при установки полей;Error_in_setFields
Overdue;На просрочке;На прострочці;На просрочке;ps_Overdie
Date;Дата;Дата;Дата;EventsExcelCreator.EventDateTime
Currency ID must be a numeric;ИД валюты должно быть цифрой;ID валюти має бути цифровим;ИД валюты должно быть цифрой;exchangeRate.currency.id.mustBeNumeric
here;здесь;Тут;здесь;notFound_here
No authorization factors;Отсутствуют факторы авторизации;Відсутні фактори авторизації;Отсутствуют факторы авторизации;signature.noAuthFactors
BIK internat.;БИК международный;BIC міжнародний;БИК междунар.;bikInt
The selected file;Выбранный файл;Вибраний файл;Выбранный файл;common_selectedFile
ibank account activation;ibank account activation;ibank account activation;ibank account activation;email.activation.title
Role used;Роль используется;Роль використовується;Роль используется;role_roleUsed
document Withdrow list;Список отзывов документов;Список відкликів документів;Список отзывов документов;documentWithdrow.list
National bank;Нацбанк;НБУ;Нацбанк;NB
Mb;Мб;Мб;Мб;Mb
You're temporal blocked! Try to login again throw minutes;Ваша учетная запись временно заблокирована! Ожидаемое время активации учетной записи, мин;Ваш обліковий запис тимчасово заблоковано! Очікуваний час активації облікового запису, хв;Ваша учетная запись временно заблокирована! Ожидаемое время активации учетной записи, мин;login.ProfileIsNotActive
Regards,;Regards,;Regards,;Regards,;email.reset.text2
For your ibank account a password reset was requested, please click on the URL below to reset it:;For your ibank account a password reset was requested, please click on the URL below to reset it:;For your ibank account a password reset was requested, please click on the URL below to reset it:;For your ibank account a password reset was requested, please click on the URL below to reset it:;email.reset.text1
Enter sender name or account;Введите имя получателя или счет;Введіть ім'я отримувача або рахунок;Введите имя получателя или счет;invoice_search
Search by name or account number;Поиск по наименованию или номеру счета;Пошук по найменуванню або номеру рахунку;Поиск по наименованию или номеру счета;common_searchNameNumber
Document does not has error;Документ без ошибок;Документ без помилок;Документ без ошибок;Document_does_not_has_error
Key;Ключ;Ключ;Ключ;docSigning_Key
accomulative amount:;Сумма кредитов:;Сума кредитів:;Сумма кредитов:;credit_creditsSum
View/edit account transfer;Просмотр/редактирование Перевода между своими счетами / Конвертации валюты;Перегляд / Редагування Переводу між своїми рахунками / Конвертації валюти;Просмотр/редактирование Перевода между своими счетами / Конвертации валюты;paymentOrder_viewEditAccountTransfer
Download mobile banking;Скачивайте мобильный банкинг;Скачайте мобільний банкінг;Скачивайте мобильный банкинг;login_mobile
The current customer is not a document owner;Текущая организация не является владельцем документа;Поточна організація не є власником документу ;Текущая организация не является владельцем документа;signature.orgNotOwnerDoc
Repeat Demand;Копировать заявление;Копіювати заяву;Копировать заявление;demandCreate_repeat
Payment purpose should not exceed 420 characters;Назначение платежа не должно превышать 420 символов;Призначення платежу не може перевищувати 420 символів;Назначение платежа не должно превышать 420 символов;paymentOrder_lessThen420Symbols
User already logged in;Вы уже вошли в систему;Ви вже увійшли до системи;Вы уже вошли в систему;login.UserAlreadyLoggedIn
Max length is 500 symbols;Максимальная длина 500 символов!;Максимальна довжина 500  символів!;Максимальная длина 500 символов!;global_settings.constants.validation.max.500
Your ibank account has been created, please click on the URL below to access it:;Your ibank account has been created, please click on the URL below to access it:;Your ibank account has been created, please click on the URL below to access it:;Your ibank account has been created, please click on the URL below to access it:;email.creation.text1
Cash sale;Наличный продажа;Готівковий продаж;Наличный продажа;exchangeRates_cashSale
Expand;Развернуть;Розвернути;Развернуть;common_Expand
In this state, the document can not be signed;В данном состоянии документа подпись невозможна;В поточному стані документу його підписання неможливе;В данном состоянии документа подпись невозможна;signature.cantBeSigned
List of Documents;Список документов;Список документів;Список документов;document.list
Invoice Order list;Счета выставленные мне;Рахунки до сплати мені;Счета выставленные мне;InvoiceOrder.list
Transactions viewing;Просмотр транзакции;Перегляд транзакції;Просмотр транзакции;transactionsViewing
Import XML file for OTP;Импорту XML файлов для OTP;Імпорту XML файлів для OTP;Импорту XML файлов для OTP;otp.screen.import.title
The two-letter code;Двухбуквенный код;Двохбуквений код;Двухбуквенный код;twoLetterCode
Common;Общие;Загальні;Общие;rolePermissions_common
Additional checking by;Дополнительная проверка по;Додаткова перевірка за ;Дополнительная проверка по;common_additionalCheckingBy
Additional account;Дополнительный аккаунт;Додатковий аккаунт;Дополнительный аккаунт;additionalAccount
Predefined value;Predefined value;Predefined value;Predefined value;global_settings.constants.predefined_value
View Demand;Просмотр заявления;Перегляд заяви;Просмотр заявления;demandCreate_ViewDemand
New password is incorrect;Новый пароль введен не правильно;Новий пароль введено невірно;Новый пароль введен не правильно;login.NewPasswordIncorrect
Show balance for all credits;Показать остаток по всех кредитам;Відобразити залишок за всіма кредитами;Показать остаток по всех кредитам;showAllCreditsBalance
Number;Номер;Номер;Номер;invoice_number
Country viewing;Просмотр страны;Перегляд країни;Просмотр страны;countryViewing
Returns;Returns;Returns;Returns;navigation_refunds
Не правильный формат пароля;Не правильный формат пароля;Невірний формат паролю;Не правильный формат пароля;common.validation.password.pattern
Hide closed deposits;Скрыть закрытые депозиты;Приховати закриті депозити;Скрыть закрытые депозиты;hideClosedDeposits
Login;Логин;Логін;Логин;sessions_login
template Name;Имя шаблона;Ім'я шаблону;Имя шаблона;document.templateName
Cashless;Безналичный;Безготівковий;Безналичный;CASHLESS
Delete current field;Удалить текущее поле;Видалити поточне поле;Удалить текущее поле;createDemandType_deleteCurrentField
end;конец;Кінець;конец;ENDLowerCase
Comment;Комментарий;Коментар;Комментарий;EventsExcelCreator.Comment
Cash purchase;Покупка Наличный;Купівля Готівковий;Покупка Наличный;CASH_PURCHASE
eSign;Войти по ЕЦП;Увійти за допомогою ЕЦП;Войти по ЕЦП;login__signaturetab
Document withdraw;Отзыв документа;Відкликання документу;Отзыв документа;withdraw_doc
Transfer;Перевод;Платіж;Перевод;transfer
Dates should not be the same;Даты не должны быть одинаковыми;Дати не можуть бути однаковими;Даты не должны быть одинаковыми;exchangeRate.date.same
Skip and login;Пропустить и войти;Пропустити та увійти;Пропустить и войти;login_skipandlogin
Your ibank account has been created, please click on the URL below to activate it:;Your ibank account has been created, please click on the URL below to activate it:;Your ibank account has been created, please click on the URL below to activate it:;Your ibank account has been created, please click on the URL below to activate it:;email.activation.text1
Regards,;Regards,;Regards,;Regards,;email.activation.text2
Start a chat;Начать чат;Розпочати чат;Начать чат;startChat
Employee tax Code is Empty;Не заполнен ИИН сотрудника;Не заповнений ІПН співробітника;Не заполнен ИИН сотрудника;common_taxCodeIsEmpty
Dictionary: Countries;Справочник: Страны;Довідник: Країни;Справочник: Страны;handbookCountries
beneficiary Residency Code;Код резидента бенефициара;Код резидента-бенефеціара;Код резидента бенефициара;common_benefResidencyCode
Enter a message;Введите сообщение;Введіть повідомлення;Введите сообщение;enterMessage
All accounts are selected;Все счета выбраны;Всі рахунки обрані;Все счета выбраны;common_allAccountsSelected
Manager menu;Меню менеджера;Меню менеджера;Меню менеджера;navigation_menutree_manager
Apply for a new account;Создать заявку на открытие счёта;Створити заявку на відкриття рахунку;Создать заявку на открытие счёта;common_applyNewAccount
Canceled;Отменен;Відмінений;Отменен;common_canceled
Create the letter;Создать письмо;Створити листа;Создать письмо;letterCreate
OTP;ОТП;ОТП;ОТП;login_factor_Generator
Неверная попытка;Неверная попытка;Невірна спроба;Неверная попытка;otp.fail_attempt
Hide the balance of all accounts;Скрыть остаток по всем счетам;Приховати залишок по всім рахункам;Скрыть остаток по всем счетам;common_hideBalance
Details;Просмотр деталей;Перегляд  деталей;Просмотр деталей;banks_localBankOperations
in;в;в;в;common_in
Terminal IP;IP;IP;IP;EventsExcelCreator.Terminal
Payment has not changed;Назначение платежа не изменилось;Призначення платежу не змінилось;Назначение платежа не изменилось;paymentOrder_paymentHasNotChanged
Imported;Импорт завершен;Імпорт завершено;Импорт завершен;common_imported
Viewing the letter;Просмотр письма;Перегляд листа;Просмотр письма;letterViewing
Certificate;Сертификат;Сертифікат;Сертификат;companyperson_certificate
null;Выставленный мне счет;Виставлений мені рахунок;null;invoice_view_title
Message history;История сообщений;Історія повідомлень;История сообщений;messageHistory
Delete Templates;Удалить шаблон;Видалити шаблон;Delete Templates;common_deleteTemplates
Main page;Главная страница;Головна сторінка;Главная страница;notFound_main_page
Payment purpose operations;Действия;Дія;Действия;paymentOrder_paymentPurposeOperations
Currency IDs must be different;ИД валют должны быть разными;ID валюти мають бути різними;ИД валют должны быть разными;exchangeRate.currency.id.same
Not found any item for export;Нет записей для экспорта;Відсутні записи для експорту;Нет записей для экспорта;jobs.exportToExcel.emptyList
Cashless purchase;Безналичный покупка;Безготівкова купівля;Безналичный покупка;exchangeRates_cashlessPurchase
Редактировать;Редактировать;Редагувати;Редактировать;company.persons.change
field is empty;поле не заполнено -;поле не заповнено - ;поле не заполнено -;common_field_is_empty
Status:;Status:;Status:;Status:;error.status
You should provide a valid data!;Вы должны предоставить действительные данные!;Ви повині надати актуальні дані;Вы должны предоставить действительные данные!;valid.data.shouldExists
Roles;Роли;Ролі;Роли;companyperson_roles
Signature rule is not found;Правило подписи не найдено;Правило підпису не знайдено;Правило подписи не найдено;workflow_signatureRuleNotFound
Hide closed credits;Скрыть закрытые кредиты;Приховати закриті кредити;Скрыть закрытые кредиты;hideClosedCredits
Cashless sale;Продажа Безналичный;Продаж Безготівковий;Продажа Безналичный;CASHLESS_SALE
has errors;есть ошибки;є помилки;есть ошибки;common_has_error
 accounts are selected; счёта выбрано;Рахунок обрано; счёта выбрано;common_accountsSelected
The document status is not found;Статус документа не определен;Статус документу не визначено;Статус документа не определен;workflow_statusNotFound
Closed deposits;Закрытые депозиты;Закриті депозити;Закрытые депозиты;showClosedDeposits
Contracts list;Список валютных контрактов;Список валютних контрактів;Список валютных контрактов;counterparty_contractsList
Invalid file type. Valid;Неверный тип файла. Допустимы;Невірний тип файлу. Припустимі;Неверный тип файла. Допустимы;wrongFileType
Import document;Импорт документа;Імпорт документу;Импорт документа;common_documentImport
Dictionary: Permissions;Справочник полномочий;Довідник повноважень;Справочник полномочий;menutree_title
Personal page;Личный кабинет;Особистий кабінет клієнта;Личный кабинет;navigation_personalOffice
null;ibution=Просмотр/редактирование Пенсионноого отчисления;ibution=Перегляд/Редагування Пенсійного відрахування;null;paymentOrder_viewEditPensionContr
Operating system version;Версия операционной системы, браузера;Версія операційної системи, браузера;Версия операционной системы, браузера;EventsExcelCreator.Osversion
Completed;Завершен;Завершений;Завершен;common_completed
Document date;Дата документа;Дата документу;Дата документа;invoice_date
Импорт ОТП токенов;Импорт ОТП токенов;Імпорт ОТП-токенів;Импорт ОТП токенов;navigation_otp.import
The three-letter code;Трехбуквенный код;Трьохбуквений код;Трехбуквенный код;threeLetterCode
Send for signature;Отправить на подпись;Відправити на підпис;Отправить на подпись;paymentOrder_sendForSignature
Can't get profile list;Хранилища не найдены;Сховища не знайдені;Хранилища не найдены;docSigning_errorKeyList
A chat date;Дата чата;Дата чату;Дата чата;chatDate
Action is not found;Переход не найден;Перехід не знайдено;Переход не найден;workflow_actionNotFound
ID should exists;Необходимо указать идентификатор;Необхідно вказати ідентифікатор;Необходимо указать идентификатор;id.shouldExists
Create Template;Создать Шаблон;Створити Шаблон;Создать Шаблон;common_createTemplate
null;Id пользователя должно быть пустым;Id користувача має бути незаповненим;null;common.validation.creation.customer.id
The status with the same code already exists;Статус с таким кодом уже существует;Статус з таким кодом вже існує;Статус с таким кодом уже существует;statusWithSameCodeAlreadyExists
Company person is not visible for this manager;Company person is not visible for this manager;Company person is not visible for this manager;Company person is not visible for this manager;letter.validation.invalid.company.person
Create a new Status;Создать новый статус;Створити новий статус;Создать новый статус;createNotificationType
Hide the balance on all cards;Скрыть остаток по всех картах;Приховати залишок по всім картам;Скрыть остаток по всех картах;hideAllCardsBalance
field director is empty;Поле руководитель пустое;Поле Керівник не заповнене;Поле руководитель пустое;common_director_is_empty
duplicate Employee TaxCode;Дублирующиеся Бин сотрудников;Дублюючий БІН співробітників;Дублирующиеся Бин сотрудников;common_duplicateEmployeeTaxCode
Operations with card;Действия;Дія;Действия;cardOperations
Reply;Ответ на письмо;відповідь до листа;Ответ на письмо;letterReply
For Week;За неделю;За тиждень;За неделю;common_forWeek
Block in the VC;Заблокировать в УЦ;Заблокувати в УЦ;Заблокировать в УЦ;vc_block
Save recipient;Сохранить получателя;Зберегти отримувача;Сохранить получателя;paymentOrder_saveCounterparty
MB;Мб;Мб;Мб;common_MB
Settings;Настройки;Налаштування;Настройки;navigation_settings
Current item saved;текущее значение сохранено;поточне значення збережено;текущее значение сохранено;CreateDemandType_curentItemSaved
Operations with document;Действия;Дія;Действия;invoice_operations
Show closed credits;Показать закрытые кредиты;Відобразити закриті кредити;Показать закрытые кредиты;showClosedCredits
Add contract;Добавить валютный контракт;Додати валютний контракт;Добавить валютный контракт;counterparty_addContract
Please, choose currency;Выберите валюту платежа;Виберіть валюту платежу;Выберите валюту платежа;intTransfer_chooseCurrency
All documents are selected;Все документы выбраны;Всі документи обрані;Все документы выбраны;allDocsSelected
Accounts;Счета организации(Номер счета);Рахунки підприємства / організації (Номер рахунку);Счета организации(Номер счета);accTransfer_accounts
for day;За сегодня;За сьогодні;За сегодня;common_forDay
Are you sure you want to delete the purpose of payment;Вы действительно хотите удалить назначение платежа;Ви дійсно бажаєте видалити призначення платежу;Вы действительно хотите удалить назначение платежа;paymentOrder_deletePaymentPurpose
Оплачен;Оплачен;Сплачений;Оплачен;document.state.Paid
Document is not found;Документ не найден;Документ не знайдено;Документ не найден;workflow_docNotFound
Токен заблокирован;Токен заблокирован;Токен заблокований;Токен заблокирован;otp.otp_token_blocked
ibank password reset;ibank password reset;ibank password reset;ibank password reset;email.reset.title
Hide balance;Скрыть остаток;Приховати залишок;Скрыть остаток;hideBalance
Detail/Edit;Детальнее/Редактировать;Детальніше/Редагувати;Детальнее/Редактировать;accTransfer_detailEdit
Choose key;Выберите ключ;Виберіть ключ;Выберите ключ;docSigning_chooseKey
Term to;Срок до;Строк до;Срок до;termTo
Признак блокировки ;Признак блокировки;Ознака блокування;Признак блокировки ;organization.grid.column.blocked.status
Max length is 255 symbols;Максимальная длина 255 символов!;Максимальна довжина 255 символів!;Максимальная длина 255 символов!;global_settings.constants.validation.max.255
Cash purchase;Наличный покупка;Готівковий купівля;Наличный покупка;exchangeRates_cashPurchase
Import Payment Exeption : error while parsing in line -;Произошла ошибка во время парсинга файла в строке -;Виникла помилка під час парсингу файла в рядку -;Произошла ошибка во время парсинга файла в строке -;ImportPaymentExeption_error_while_parsing_in_line
account repeated;Счет повторяется;Рахунок повторюється;Счет повторяется;paymentOrder_accountRepeated
Events;История событий;Історія подій;История событий;EventsExcelCreator.Events
Creating a Notification type;Создание типа уведомления;Створення типу повідомлення;Создание типа уведомления;creatingNotificationType
Log in with your fingerprint;Войти с помощью отпечатка пальца;Увійти за допомогою відбитку пальця;Саусақ ізін қолданып Логин;login_byfingerprint
Last Name, Name;ФИО;ПІБ;ФИО;fio
Time;Время;Час;Время;common_time
Denomination;Купюрность;Купюрність;Купюрность;denomination
The amount of demand of cash is less than 2 million KZT or 20 thousand US dollars or 15 thousand euros;сумма снятия наличных денег меньше 2 миллионов казахстанских тенге или 20 тысяч долларов США или 15 тысяч  евро;сумма снятия наличных денег меньше 2 миллионов казахстанских тенге или 20 тысяч долларов США или 15 тысяч  евро;сумма снятия наличных денег меньше 2 миллионов казахстанских тенге или 20 тысяч долларов США или 15 тысяч  евро;demand_cash_validation_failed_message
less Then Current;валютирования меньше текущей;валютування менше поточної;валютирования меньше текущей;common_lessThenCurrent
between ;между ;між;между ;jobs.between
and ;и ;та;и ;jobs.and
of the month;месяцем;Місяцем;месяцем;jobs.of_the_month
Japanese yen;Японская йена;Японська єна;Японская йена;currency_jap
notifications;уведомлений;повідомлень;уведомлений;notifications_notifications
Cash withdrawal;Заказ наличности;Замовлення готівки;Заказ наличности;actions_DemandCash
Cash;Заказ наличности;Замовлення готівки;Заказ наличности;navigation_Cash
is not Active;Не активна;Не активна;Не активна;jobs.isNotActive
View/Edit Exposed Order;Просмотр/редактирование;Перегляд / Редагування;Просмотр/редактирование;edit_exposed
Create Exposed Order;Создание счета;Створення рахунку;Создание счета;create_exposed
Chinese yuan;Китайский юань;Китайський юань;Китайский юань;currency_chin
Send for confirmation;На подтверждение;На підтвердження;На подтверждение;action_sendForConfirmation
Current;Текущий;Поточний;Текущий;acc_current
Deposit;Депозитный;Депозитний;Депозитный;acc_deposit
Credit;Кредитный;Кредитний;Кредитный;acc_credit
Card;Карточный;Картковий;Карточный;acc_card
Currency should not be different;Валюты счетов не должны различатся;валюти рахунків не можуть відрізнятись;Валюты счетов не должны различатся;error_differentCurrency
Password must not equal login;Пароль не должен соответствовать логину;Пароль не може співпадати з логіном;Пароль не должен соответствовать логину;customeruser_passwordeqlogin
User already exist;Пользователь с таким логином уже существует;Користувач з таким логіном вже існує;Пользователь с таким логином уже существует;customeruser_alreadyexist
User not found;Пользователь не найден;Користувача не знайдено;Пользователь не найден;customeruser_notfound
Set deafult language;Язык поумолчанию;Мова за умовчуванням;Язык поумолчанию;clear_notification_defaultLanuage
Raiffeisen Bank International AG;Raiffeisen Bank International AG;Raiffeisen Bank International AG;Raiffeisen Bank International AG;EUR_CORRESPONDENT_BANK_NAME
Expobank LLC, Kalanchevskaya Street, 29/2, Moscow, 107078, Russia;ООО «Экспобанк», Россия;ТОВ «Экспобанк», Росія;Expobank» ЖШҚ, Ресей, 107078, Мәскеу, Каланчевская көш.,29/2 ;USD_CORRESPONDENT_BANK_NAME
Expobank LLC, Kalanchevskaya Street, 29/2, Moscow, 107078, Russia;ООО «Экспобанк», Россия;ТОВ «Экспобанк», Росія;Expobank» ЖШҚ, Ресей, 107078, Мәскеу, Каланчевская көш.,29/2 ;GBP_CORRESPONDENT_BANK_NAME
Expobank LLC, Kalanchevskaya Street, 29/2, Moscow, 107078, Russia;ООО «Экспобанк», Россия;ТОВ «Экспобанк», Росія;Expobank» ЖШҚ, Ресей, 107078, Мәскеу, Каланчевская көш.,29/2 ;RUB_CORRESPONDENT_BANK_NAME
Expobank LLC, Kalanchevskaya Street, 29/2, Moscow, 107078, Russia;ООО «Экспобанк», Россия;ТОВ «Экспобанк», Росія;Expobank» ЖШҚ, Ресей, 107078, Мәскеу, Каланчевская көш.,29/2 ;CHF_CORRESPONDENT_BANK_NAME
Password recovery;Восстановление пароля;Відновлення паролю;Восстановление пароля;login_recovery
JSC “Bank ExpoCredit”;АО «Банк ЭкспоКредит»;АТ «Банк ЭкспоКредит»;«ЭкспоКредит Банкі» АҚ;KZT_BANK_NAME
Open Account;Открытие Счета;Відкриття рахунку;Открытие Счета;OpenAccount
Open Credit;Выдача займа;Надання займу;Выдача займа;OpenCredit
Close Credit;досрочное погашение кредита;Дострокове погашення кредиту;досрочное погашение кредита;CloseCredit
Create Card;выпуск карты;Випуск карти;выпуск карты;CreateCard
ReCreate Card;Перевыпуск карты;Перевипуск карти;Перевыпуск карты;ReCreateCard
Unpublish DemandType when demands are present in base is forbidden;Запрещена отмена публикации если уже есть созданные заявления в базе;Заборонена відміна публікації, якщо є створені заявки в базі;Запрещена отмена публикации если уже есть созданные заявления в базе;customRequestType.unpublishedError
Here is the text of the agreement, a multi-line part;Здесь будет находится текст соглашения, многострочная часть;Тут буде зберігатись/виводитись текст погодження, текстова частина;Здесь будет находится текст соглашения, многострочная часть;translation_18
Change in the amount of payment with preservation of the loan term-Change in the loan period with the remaining amount of payment;Изменение суммы выплаты с сохранением срока займа-Изменение срока займа с сохранением суммы выплаты;Зміна суми виплати із збереженням строку займу - Зміна строків займу зі збереженням суми виплати;Изменение суммы выплаты с сохранением срока займа-Изменение срока займа с сохранением суммы выплаты;translation_19
Closing of the account is possible only if there are no funds on the account;Закрытие счета возможно только при отсутствии денежных средств на счете;Закриття рахунку можливе тільки за відсутності грошових коштів на рахунку;Закрытие счета возможно только при отсутствии денежных средств на счете;translation_20
Confirmation of consent to the terms of deposit opening;Подтверждение о согласии с условиями открытия вклада;Підтвердження про згоду з умовами выдкриття вкладу;Подтверждение о согласии с условиями открытия вклада;translation_21
Confirmation of consent to the terms of issue of the card;Подтверждение о согласии с условиями выпуска карты;Підтвердження про згоду на випуск карти;Подтверждение о согласии с условиями выпуска карты;translation_22
Swiss franc;Швейцарский франк;Швейцарський франк;Швейцарский франк;currency_frank
Corporation "AsiaCredit Bank";Акционерное общество "AsiaCredit Bank (АзияКредит Банк)";Акціонерне товариство "AsiaCredit Bank (АзияКредит Банк)";Акционерное общество "AsiaCredit Bank (АзияКредит Банк)";bank_owner_full_name
One of localization values a not filled;Одно из значений для локализации не заполнено;Одне із значеньдля локалізації не заповнене;Одно из значений для локализации не заполнено;constant.validation.multi.value.empty
Commerzbank AG, Frankfurt am Main, Germany;Commerzbank AG, Frankfurt am Main, Germany;Commerzbank AG, Frankfurt am Main, Germany;Commerzbank AG, Frankfurt am Main, Germany;EUR_CORRESPONDENT_BANK_NAME_1
Raiffeisen Bank International A.G. Vienna, Austria;Raiffeisen Bank International A.G. Vienna, Austria;Raiffeisen Bank International A.G. Vienna, Austria;Raiffeisen Bank International A.G. Vienna, Austria;EUR_CORRESPONDENT_BANK_NAME_2
ALFA-BANK;ALFA-BANK;ALFA-BANK;ALFA-BANK;USD_CORRESPONDENT_BANK_NAME_1
