en;ru;kk;translation_key;output_channel
Types of commissions;Типы комиссий;Комиссия типтері;feesTypes;W
Privilege;Привилегии;Артықшылықтар;roles_privileges;W
IIN / BIN of the payer;ИИН/БИН плательщика;Төлеушінің ЖСН/БСН;domTransfer_payerTaxCode;W
Beneficiary Code:;КБЕ:;КБЕ:;KBE;W
Log on to;Вход до;дейін кіру;companyperson_validto;W
National name;Национальное название;Ұлттық атау;district_name;W
There is no currency exchange rate;Курс валют отсутствует;Валюталардың бағамы жоқ;paymentOrder_exchangeRateEmpty;W
Amount;Сумма;Сома;notification_amount;W
View of the payment order;Просмотр платежного поручения;Төлемдік тапсырманы қарау;paymentOrder_view;W
Wrong password;Неверный пароль;Дұрыс емес  құпия сөз;personal_incorrectPass;W
Name;Наименование;Атауы;global_settings.constants.table.col.name;W
Send to bank;Отправить в банк;Банкке жөнелту;paymentOrder_sentToBank;W
Directories;Справочники;Анықтамалықтар;navigation_handbooks;W
Budgetary Classification Code;КБК;БЖК;paymentOrder_budgetCode;W
Direction;Направление;Бағыт;direction;W
Signature is not required;Подпись не требуется;Қолтаңба қажет емес;signature.signIsNotRequired;W
Review №;№ отзыва;Кері қайтарудың №;withdraw_num;W
Login;Логин;Логин;UsersExcelCreator.Login;W
Full name;ФИО;Аты-жөні;EventsExcelCreator.SubjectName;W
Create a rule for signing;Создать правило для подписи;Қол қою ережесін жасау;signingrules_add;W
tax code of the beneficiary;налоговый код бенефициара;бенефициардың салық коды;common_benefTaxCode;W
BIC of Payer's Bank;БИК Банка Плательщика;Төлеуші банкінің БСК;transferRequisites_payerBankCode;W
The city with such code is already exist;Город с таким кодом уже существует;Мұндай кодымен қала ендіге бар;cityWithSameCodeAlreadyExists;W
Order of;Порядок;Тәртіп;signingrules_order;W
Subdivision;Подразделение;Бөлімше;manager_subdivision;W
Show certificate;Показать сертификат;Сертификатты көрсету;companyperson_certificate_display;W
Date of document;Дата документа;Құжаттың күні;withdraw_doc_date;W
Balance on all accounts;Остаток по всех счетах;Барлық шоттардағы қалдық;common_balanceByAllAccounts;W
Corporate card details;Детали корпоративной карты;Корпоративтік картаның егжей-тегжейлері;corporateCardDetails;W
Active;Активен;Белсенді;organization.active;W
Hide closed accounts;Скрыть закрытые счета;Жабық шоттарды жасыру;common_hideClosedAccounts;W
Overdue;Просрочен;Мерзімі өтті;common_overdue;W
Authorization factors;Факторы авторизации;Авторландыру факторлары;companyPersonEdit_authtabTitle;W
Message filter settings;Настройки фильтра сообщений;Хабарламалар сүзгісін баптаулар;letterFilterSettings;W
International currency transfer;Международный перевод валюты;Валютаның халықаралық аударымы;intTransfer_title;W
IIN / BIN of the sender;ИИН/БИН отправителя;Жіберушінің ЖСН/БСН ;invoice.payer.bin;W
Templates;Шаблоны;Шаблондар;common_Templates;W
Enter password for keys storage;Введите пароль для хранилища ключей;Кілттер қоймасы үшін құпиясөзді енгізіңіз;docSigning_inputProfilePassword;W
Non-cash purchase;Покупка Безналичный;Қолма-қол ақшасыз сатып алу;CASHLESS_PURCHASE;W
Running balance;Текущий остаток;Ағымдағы қалдық;currentBalance;W
User is not defined;Пользователь не определен;Пайдаланушы анықталған жоқ;workflow_userNotDetected;W
Overdued;Просроченый;Мерзімі өтіп кеткен;key_expired;W
Constant group;Группы констант;Константалар тобы;navigation_group_constants;W
Remaining balance in loan currency;Остаток вознаграждения в валюте займа;Қарыз валютасындағы сыйақы қалдығы;balanceRemunerationCurrencyLoan;W
Blocked;Блокирован;Бұғатталған;signingrules_notactive;W
Three-character code;Трехсимвольный код;Үшбелгілі код;threeSymbolCode;W
Types of accounts;Виды счетов;Шоттардың түрлері;accountTypes;W
Abbreviation;Сокращенное название;Қысқартылған аты;shortName;W
The sender's account and the beneficiary's account should not be the same;Счет отправителя и счет получателя не должны быть одинаковыми;Жөнелтуші шоты мен алушы шоты бірде болмауы тиіс;paymentOrder_dontDuplicateAccount;W
Change of domain;Изменение области;Облысты өзгерту;districts_update;W
Configure accepted currencies;Настроить принимаемые валюты;Қабылданатын валюталарды баптау;customizeAcceptedCurrency;W
This filed should not exceed 255 characters!;Это поле не должно превышать 255 символа!;Бұл жолда 255 белгіден артық болмауы тиіс!;noMore255Symbols;W
Payee's Bank;Банк получателя;Алушының Банкі;receiversBank;W
Create an international payment template;Создание Шаблона международного платежа;Халықаралық төлем шаблонын жасау;intTransfer_createTemplate;W
Open a deposit;Открыть депозит;Депозит ашу;common_openDeposit;W
Values array ;Массив значений;Мәндердің массиві;global_settings.constants.values;W
There are incorrectly filled fields, saving will not be performed;Есть неправильно заполненные поля, сохранение выполнено не будет;Дұрыс толтырылмаған жолдар бар, сақтау орындалмайды;createDemandType_saveMassage;W
Error code;Код ошибки;Қате коды;jobs.errorCode;W
Passwords do not match;Пароли не совпадают;Құпиясөздер сәйкеспейді;customeruser_passwordsnotequals;W
Actions ;Действия;Әрекеттер;operationsWithAtmsBranchesTerminals;W
Accounts and cards;Счета и карты;Шоттар мен карталар;navigation_accountsAndCards;W
Import date;Дата импорта;Импорт күні;importDate;W
User ID;ИД пользователя;Пайдаланушының СД;events_executorId;W
This filed should not exceed 255 characters!;Это поле не должно превышать 255 символов!;Бұл жолда 255 белгіден артық болмауы тиіс!;common_field_max255chars;W
Fill in from the directory;Заполнить из справочника;Анықтамалықтан толтыру;paymentOrder_getFromHandbook;W
Importing documents from 1s;Импорт документов из 1с;1с-тен құжаттардың импорты;common_documentImport1c;W
Payment orders in national currency;Платежные поручения в национальной валюте;Ұлттық валютадағы төлемдік тапсырма;domTransfer_nationalPayments;W
All calendars are selected;Все календари выбраны;Барлық күнтізбелер таңдалды;allCalendarsAreSelected;W
Documents to work;Документы в работу;Жұмысқа құжаттар;navigation_workingDocs;W
Type;Тип;Тип;withdraw_doc_type;W
Payment details;Детали платежа;Төлемнің егжей-тегжейлері;paymentOrder_paymentDetail;W
0 impossible ;W недопустимо;W жол берілмейді;common_greaterThanZero;W
View of salary deductions;Просмотр Зарплатного отчисления;Еңбекақыны аударуды қарау;paymentOrder_viewPayroll;W
purpose of payment;назначение платежа;төлемнің белгіленуі;common_purpose;W
Constants;Константы;Константалар;navigation_constants;W
Type of documents;Вид документов;Құжаттардың түрі;common_kindDocument;W
Unblock;Разблокировка;Бұғаттан шығару;unblocking;W
By the default;По умолчанию;Үнсіздік бойынша;common_default;W
Pension requisites;Реквизиты - Пенсионные отчисления;Реквизиты - Пенсионные отчисления;transferRequisites_pensionRequisites;W
Blocked amounts;Заблокированые суммы;Бұғатталған  сомалар;blockedAmounts;W
Exchange rate of transaction;Курс сделки;Мәміле бағамы;paymentOrder_exchangeRate;W
Add New Social Template;Создание Шаблона Социального отчисления;Создание Шаблона Социального отчисления;paymentOrder_addNewSocialTemplate;W
Save a document ;Сохранить Документ;Құжатты сақтау;common_saveDocument;W
Message template;Шаблон сообщения;Хабарламалар шаблоны;notification_template;W
Agreement number;Номер договора;Шарт нөмірі;contractNumber;W
Regions;Области;Облыстар;district_districts;W
Select keys storage;Выберите хранилище ключей;Кілттер қоймасын таңдаңыз;docSigning_chooseProfile;W
Code of the sender of money / Code of the beneficiary (CODE / BENEFICIARY CODE);Код отправителя денег/Код бенефициара(КОД/КБЕ);Ақша қаражаттарын жіберушінің коды/Бенефициардың коды (КОД/КБЕ);senderCode;W
Document condition;Состояние документа;Құжат жағдайы;withdraw_doc_status;W
Minimum length of 6 characters;Минимальная длина 6 символов;Минималды ұзындығы 6 символ;auth.opt.token.min_length;W
Contract amount;Сумма контракта;Контракт  сомасы;common_contractAmount;W
Reset;Сброс настроек;Баптауды кетіру;clear_settings;W
Card currency;Валюта карты;Карта валютасы;cardCurrency;W
Invoices;Счета;Шоттар;signingrules_accounts;W
Arrested amount ;Арестованная сумма;Тыйым салынған сома;common_arrestedSum;W
PCO tokens;ОТП токены;ТОП токендер;otpTokens;W
The total file size should not exceed;Общий размер файлов не должен превышать;Файлдардың жалпы мерзімі аспауы тиіс;common_totalFileSizeShouldNotExceed;W
Amount of all outstanding payments;Сумма всех неисполненных платежей;Барлық орындалмаған төлемдер сомасы;nonOutstandingPayments;W
Recipient;Получатель;Алушы;domTransfer_receiver;W
Server time for synchro;Время сервера для синхронизации;Синхрондау үшін сервер уақыты;serverTimeForSync;W
Contract №;№ контракта;Келісім-шарт №;common_contractNumber;W
Create new customer;Создать нового клиента;Жаңа клиент жасау;organizationsCreate_create;W
Managers roles;Роли менеджеров;Менеджерлер ролдері;navigation_managersroles;W
Cards;Карты;Карталар;cards;W
Main;Главная;Басты;common_main;W
Types of card products;Виды карточных продуктов;Карталық өнімдердің түрлері;cardProductTypes;W
Add ;Добавить;Қосу;common_add;W
Currency of debiting;Валюта списания;Шығындау валютасы;accTransfer_debitCurrency;W
Payment from the account;Платеж со счета;Шоттан төлеу;actions_paymentFromAccount;W
Amount in account currency;Сумма в валюте счёта;Шот валютасындағы сомасы;amountInAccountCurrency;W
Loan payment;Платеж по кредиту;Кредит бойынша төлем;actions_loanPayment;W
Amount;Сумма;Сома;domTransfer_amountKZT;W
Channel;Канал;Арна;sessions_channel;W
Deposits;Депозиты;Депозиттер;navigation_deposits;W
Bank branch;Филиал банка;Банк  филиалы;bankBranch;W
Blocked;Заблокирован;Бұғатталған ;organization.grid.blocked;W
Start;начало;басталуы;start;W
Document type;Тип документа;Құжат типі;DocumentType;W
Viewing and editing the user data;Просмотр и редактирование данных пользователя;Пайдаланушы деректерін қарау және редакциялау;customeruser_editor_title;W
Blocked;Блокированый;Бұғатталған;ps_Blocked;W
Available limit;Доступный лимит;Қолжетімді шектелім;availableLimit;W
View social contribution;Просмотр Социального отчисления;Просмотр Социального отчисления;paymentOrder_viewSocialContribution;W
End of action;Конец действия;Әрекеттің соңы;exchangeRates_end;W
The sign of multilanguage;Признак мультиязычности;Мультитілділік белгісі;global_settings.constants.table.col.multi_lang;W
Data is entered incorrectly;Данные введены некорректно;Деректер дұрыс енгізілмеген;common_incorrectSymbol;W
Published on;Опубликовано;Жарияланды;demandType_public;W
Locality;Населённый пункт;Елді жер;banks_populatedLocality;W
Account closing date;Дата закрытия счёта;Шотты жабу күні;account_closingDate;W
Bank's BIC National;БИК банка национальный;Ұлттық банкінің БСК;banks_bikBankNat;W
Error message;Сообщение об ошибке;Қате туралы хабарлама;jobs.errorMessage;W
Delete notification settings;Удалить настройки уведомлений;Хабарламалар баптауын алып тастау;clear_notification_settings;W
Operating system;Операционная система;Операциялық жүйе;events_operatingSystem;W
Amount of the loan agreement in the loan currency;Сумма кредитного договора в валюте займа;Қарыз валютасындағы кредиттік шарт сомасы;amountAgreementCurrencyLoan;W
Entries on the page;Записей на странице;Беттегі жазулар;grid_rowsperpage;W
Payment;Платеж;Төлем;payment;W
Period before;Период до;дейінгі кезең;invoice_date_to;W
Rate of performance with;Курс исполнения с;бастап орындау бағамы;accTransfer_rateFrom;W
International postal code;Международный почтовый индекс;Халықаралық почта индексі;common_intZip;W
Beneficiary's details;Детали бенефициара;Бенефициардың егжей-тегжейлері;paymentOrder_beneficiary;W
Cash;Наличные;Қолма-қол ақша ;CASH;W
Get the keys;Получить ключи;Кілттерді алу;docSigning_loadKeys;W
Organizations;Организации;Ұйымдар;excel.organizations;W
deposits selected; депозитов выбрано;депозиттер таңдалды;depAreSelected;W
Limit name;Название лимита;Шектелімнің атауы;limit_name;W
Application for card re-issue;Заявка на перевыпуск карты;Картаны қайта шығаруға өтінім;reIssuanceCardRequest;W
Details autocompletion;Автозаполнение реквизитов;Деректемелерді автотолтыру;AutoFilling;W
Sender's code;Код Отправителя;Жіберуші коды;refunds.sender.kod;W
1 event selected;1 событие выбрано;1 оқиға таңдалды;events_1selected;W
id;ид;сд;currency_currencyid;W
Class name;Название класса;Сыныптың атауы;jobs.class_name;W
Disability;Неработоспособность;Жұмыс қабілетсіздік;IsInoperability;W
Personal page;Персональная страница;Дербес бет;personal_index;W
Create an application type;Создать тип заявления;Өтініш типін жасау;create_demand_type;W
Amount from;Сумма от;... бастап сомасы;invoice_amount_from;W
Invoices list from me;Выставленные мной счета список;Мен ұсынған шоттар тізімі;exposeOrder.list;W
Device category;Категория устройства;Құрылғы санаты;events_deviceCategory;W
Amount blocked;Сумма в блоке;Блоктағы сомасы;common_blockedSum;W
Edit Category;Редактировать Категорию;Санатты редакциялау;CodeCategory_EditCategory;W
Create a Letter Type;Создание Типа письма;Хат типін жасау;creatingLetterType;W
Create a counterparty;Создать контрагента;Контрагент жасау;counterparty_create;W
Delete all settings;Удалить все настройки;Барлық баптауларды алап тастау;clear_all_settings;W
Credit status;Статус кредита;Кредит мәртебесі;creditStatus;W
New card;Новая карта;Жаңа карта;applyForNewCard;W
Sending details;Отправка реквизитов;Деректемелерді жөнелту;common_shippingRequisites;W
Account number is repeated;Номер счета повторяется;Шот нөмірі қайталанады;counterparty_accountNumberRepeated;W
To log in, click;Чтобы войти в систему, нажмите;Жүйеге кіру үшін басыңыз;errorpage419_message;W
Value date;Дата валютирования;Валюталау күні;paymentOrder_valueDate;W
Close an account;Закрыть счёт;Шотты жабу;actions_closeAccount;W
To log in, click;Чтобы войти в систему, нажмите;Жүйеге кіру үшін басыңыз;errorpage420_message;W
Change the category;Изменить категорию;Санатын өзгерту;CodeCategory_Change;W
Save a day;Сохранить день;Күнді сақтау;saveDay;W
Information;Информация;Ақпарат;common_information;W
Import;Импортировать;Импорттау;common.import;W
Invoices for me;Выставленные мне счета;Маған  ұсынылған шоттар;invoice_name;W
Purchase;Покупка;Сатып алу;PURCHASE;W
Period;Период;Кезең;paymentOrder_period;W
Included;Включено;Қосылған;notification_active;W
View and Editing of channel;Просмотр и редактирование канала;Арнаны қарау және редакциялау;viewingEditingChannel;W
Create a new type of deposit products;Создать новый Вид депозитных продуктов;Депозиттік өнімдердің жаңа түрін жасау;createNewDepositProductType;W
The field should be at least;Поле должно быть не меньше;Жол кем болмауы тиіс;common_minLength;W
Signing the document;Подписание документа;Құжатқа қол қою;docSigning_title;W
Are you sure you want to delete the system module №;Вы действительно хотите удалить Модуль системы №;Сіз шынымен № жүйенің Модулін өшіргіңіз келеді ме;sureYouWantDeleteSystemModule;W
Add account;Добавить счет;Шотты қосу;counterparty_addAccount;W
Bulk mailing;Массовая рассылка;Жаппай жіберу;multicasting_packEditTitle;W
Manager;Менеджер;Менеджер;managers_user;W
Latest prolongation;Последнне продление;Соңғы ұзарту;sessions_valid_to;W
events selected;событий выбрано;Оқиға таңдалды;events_X5selected;W
Last name;Фамилия;Тегі;customeruser_lastName;W
Cards;Карты;Карталар;navigation_corporatecards;W
New deposit;Новый депозит;Жаңа депозит;applyForNewDeposit;W
New;Новый;Жаңа ;common_new;W
All;Все;Бәрі;common_all;W
Credit details;Детали кредита;Кредиттің егжей-тегжейлері;creditDetails;W
Are you sure you want to delete the message type;Вы действительно хотите удалить Тип письма;Сіз шынымен Хаттың типін өшіргіңіз келеді ме;sureYouWantDeleteLetterType;W
Card details;Детали карты;Картаның егжей-тегжейлері;cardDetails;W
EDS;ЭЦП;ЭСҚ;login_factor_Signature;W
BIN of Organization;БИН организации;Ұйымның БСН;withdraw_org_bin;W
Number;Номер;Нөмір;paymentOrder_documentNumber;W
Counteractant viewing/editing ;Просмотр/редактирование контрагента;Контрагентті қарау / редакциялау ;counterparty_edit;W
Delete;Удалить;Алып тастау;common_delete;W
Monetary transactions;Денежные операции;Ақшалай операциялар;navigation_monetaryTransactions;W
Code;Код;Код;role_code;W
Available;Доступно;Қол жетімді;is_available;W
Set a period;Задать период;Кезеңді беру;standing_order_interval;W
Invalid format;Неверный формат;Дұрыс емес формат;invalidFormat;W
Approve;Утвердить;Бекіту;approve;W
The document could not be signed! The password may not be entered correctly.;Не удалось подписать документ! Возможно, пароль введен неправильно.;Құдатқа қол қою мүмкін болмады! Құпиясөздің дұрыс енгізілмеуі ықтимал;docSigning_signErr;W
Cross-rate;Кросс-курс;Кросс-бағам;CROSS;W
Identifier in ABS;Идентификатор в АБС;АБС-ғы сәйкестендіргіш;manager_externalId;W
All;Все;Бәрі;common_allItems;W
International name;Международное наименование;Халықаралық  атауы;common_intFullName;W
application selected;заявление выбрано;өтініш таңдалды;demand_demandChecked;W
Create the reasons for unblocking a card;Создание Причины разблокировки карты;Картаны бұғаттан шығару себебін жасау;creatingCardUnblockreason;W
International address. Region;Международный адрес. Область;Халықаралық  мекенжай. Облыс;common_addressIntDistrict;W
Create a rule for signing;Создание правила для подписи;Қол қою ережесін жасау;signingrules_new_title;W
Login should be less than 10 characters;Логин должен быть меньше 10 символов;Логин 10 символдан кем болуы тиіс;login_login_req;W
Temporary blocking;Временная блокировка;Уақытша бұғаттау;temporaryBlockage;W
To use all the functions of Internet banking, click on “Enter”.;Чтобы воспользоваться всеми функциями интернет-банкинга, нажмите "Вход".;Интернет-банкингтің барлық функцияларын пайдалану үшін "Кіруді" басыңыз;loginToUse;W
Close the filter;Закрыть фильтр;Сүзгіні жабу;requests_closefiler;W
Social contribution;Социальное отчисление;Социальное отчисление;domTransfer_socialContribution;W
By login;По логину;Логин бойынша;login__passwordtab;W
Contents of the query;Содержание запроса;Сұраныс мазмұны ;requests_request;W
Create an ATM / Branch / Terminal;Создание Банкомата/отделения/терминала;Банкомат / бөлімше /терминал жасау;creatingAtmBranchesTerminals;W
Customer change;Изменение клиента;Клиентті өзгерту;organizationsCreate_update;W
View and Editing of the document type;Просмотр и редактирование Типа документа;Құжат типін қарау және редакциялау;viewingEditingDocType;W
Passwords do not match;Пароли не совпадают;Құпиясөздер сәйкеспейді;personal_notPairPass;W
Change the exchange rate type;Изменить тип курса валют;Валюталар бағамының типін өзгерту;editExchangeRateType;W
Card block reason ;Причина блокировки карты;Картаны бұғаттау себебі;cardBlockingReason;W
Calendar management;Управление календарём;Күнтізбені басқару;calendarManagement;W
Day off;Выходной день;Демалыс күн;DayResource.DayOff;W
Close;Закрыть;Жабу;common_close;W
Details;Реквизиты;Деректемелер;withdraw_requisites;W
Account;Счет;Шот;transferRequisites_recipientAccount;W
Type of cards with this code is already exists;Вид карт с таким кодом уже существует;Мұндай кодымен карталардың түрі ендіге жоқ;suchCardTypeAlreadyExist;W
Address of (Beneficiary Bank);Адрес (Банка Посредника);Мекенжай (Делдал Банкінің);intTransfer_agentBankAddress;W
Event type;Тип событий;Оқиғалар типі;eventsType;W
Group of task types for running on a schedule;Группа типов задач для запуска по расписанию;Кесте бойынша іске қосу үшін міндет түрлерінің тобы;navigation_jobsGroup;W
Account statuses;Статусы счетов;Есептер мәртебелері;accountStatuses;W
Type;Тип;Тип;common_type;W
Letter subject;Тема письма;Хат тақырыбы;letterSubject;W
Log in by login and password;Войти по логину и паролю;Логин және құпиясөз бойынша кіру;login_enter_loginpass;W
Postcode;Почтовый индекс;Пошта индексі;common_zip;W
Blocking ;Блокировка;Бұғаттау;blocking;W
Query log;Журнал запросов;Сұраулар журналы;navigation_requests;W
New user registration;Регистрация нового пользователя;Жаңа пайдаланушыны тіркеу;customeruser_new_title;W
Online chat;Онлайн-чат;Онлайн чат;onlineChat;W
Term;Срок;Мерзім;term;W
Country;Страна;Ел;district_countryFullName;W
An error occurred while saving the data;Произошла ошибка при сохранении данных;Деректерді сақтағанда қате орын алды;common_ErrorInSaveData;W
Managers roles;Роли менеджеров;Менеджерлер ролдері;managerroles_title;W
Amount of deposits;Сумма депозитов;Депозиттер сомасы;depositsSum;W
CNP (control and normative parameter) of PDC (payment destination code);КНП;ТБК;paymentOrder_purposeCode;W
IIN;ИИН;ЖСН;common_iin;W
Create a Budget Classification Code (BCC);Создание Кода бюджетной классификации(КБК);Бюджеттік жіктеу кодын (БЖК) жасау;kbkCreating;W
Filter settings;Настройки фильтра;Сүзгіні  баптаулар;common_editFilter;W
For today;За сегодня;Бүгін үшін;common_today;W
Recall;Отозвать;Кері шақырту;personal_revoke;W
Calendar is updated!;Календарь обновлён!;Күнтізбе жаңартылды!;calendarIsUpdated;W
Users;Пользователи;Пайдаланушылар ;UsersExcelCreator.Title;W
Sorry, an error has occurred.;Sorry, an error has occurred.;Sorry, an error has occurred.;error.subtitle;W
purpose of payment;назначение платежа;төлемнің белгіленуі;paymentOrder_purpose;W
Reply;Ответ;Жауап;answer;W
Specify SMS password;Укажите СМС пароль;СМС құпиясөзді көрсетіңіз;login_enter_sms_password;W
Type of application;Тип заявления;Өтініш типін жасау;demandCreate_demandType;W
Privilege;Привилегии;Артықшылықтар;rolePermissions_title;W
Directory: Local banks;Справочник: Локальные банки;Анықтамалық: Жергілікті банкілер;banks_handbookLocalBanks;W
User with such login already exists;Пользователь с таким логином уже существует;Мұндай логині бар пайдаланушы бұрыннан бар;common.validation.creation.customer.id.exist;W
No Profiles;Профили отсутствуют;Профильдер жоқ;docSigning_noValidProfiles;W
Log in;Вход;Кіру ;login_enter;W
Not blocked;Не блокирован;Бұғатталмаған ;common_nonBlocked;W
Error updating the day data;Ошибка при обновления дня;Күнді жаңалағандағы қате;dayUpdateError;W
Currency transfer;Перевод валюты;Валюта аудару;navigation_internationalTransfers;W
Delete;Удалить;Алып тастау;common.remove;W
from calendar selected;календаря выбрано;күнтізбе таңдалды;calSelected;W
Per week;За неделю;Бір апта үшін;common_week;W
Name of Sender;Наименование Отправителя;Жіберушінің атауы;refunds.sender.name;W
Banking reference books;Банковские справочники;Банкілік анықтамалықтар ;bankHandbooks;W
Channels for sending;Каналы отправки;Жіберу арналары;sendingNotificationsChannels;W
Country code (agency-bank);Код страны (Банка Посредника);Елдің коды (Делдал Банктің);intTransfer_agentBankCountryCode;W
BIN/IIN;БИН/ИИН;БСН/ЖСН;paymentOrder_payerCode;W
Answer;Ответить;Жауап беру;reply;W
Recipient;Получатель;Алушы;paymentOrder_recipientDetail;W
This field should contain 6 digits!;Это поле должно содержать 6 цифр!;Бұл жолда 6 сан болуы тиіс!;common_field_atleast6digits;W
users selected;пользователей выбрано;пайдаланушылар таңдалды;customeruser_X5selected;W
Currency;Валюта;Валюта;exchangeRates_currency;W
Invalid pair;Неправильная пара;Дұрыс емес жұп;exchangeRates_wrongPair;W
Category name;Имя категории;Санаттың аты;CodeCategory_name;W
Valid from;Действует с;бастап әрекет етеді;authfactor_from;W
Open a filter;Открыть фильтр;Сүзгі ашу;requests_openfiler;W
Type of commission;Тип комиссии;Комиссия типі;intTransfer_feeType;W
Sender;Отправитель;Жөнелтуші;senderDetailsBlock;W
Work with PCO tokens;Работа с ОТП токенами;ОТП токендермен жұмыс;navigation_otp;W
I confirm that this payment and (or) transfer of money is not connected with financing of terrorist or extremist activity and other assistance to terrorism or extremism.;Подтверждаю, что данный платеж и (или) перевод денег не связан с финансированием террористической или экстремистской деятельности и иным пособничеством терроризму либо экстремизму.;Бұл төлемнің және (немесе) ақша аударымының террористік немесе экстремисттік әрекетті немесе өзге терроризмге немесе экстремизмге демеу жасауды қаржыландыруға  байланысты емес екенін растаймын.;intTransfer_isNotLinkTerrorism;W
Document history;История документа;Құжат тарихы;documentHistory_documentHistory;W
Create a new bank;Создать новый банк;Жаңа банк жасау;createNewBank;W
Type of card product;Вид карточного продукта;Карталық өнімнің түрі;cardProductType;W
Details;Детали;Егжей-тегжейлер;common_detail;W
Date;Дата;Күні;common_date;W
Identifier;Идентификатор;Сәйкестендіргіш;common_id2;W
Export to Excel;Экспорт в Excel;Excel-ге экспорт;CodeCategory_exportToExcel;W
Working time: from;Рабочее время: с;Жұмыс уақыты: бастап;workingTimeFrom;W
Country Code/Country;Код страны/Страна:;Елдің коды/Елі:;counterparty_countryCodeCountry;W
Actions ;Действия;Әрекеттер;common_documentOperations;W
Correspondent agent-bank account;Кор. счет Банка Посредника;Делдал Банктің кор.шоты;intTransfer_agentBankAccount;W
Back;Назад;Артқа;back;W
Constant type;Тип константы;Константа типі;global_settings.constants.table.col.type;W
Export;Экспорт;Экспорт;common_export;W
I confirm that this payment and (or) transfer of money is not connected with the execution by an individual of a currency transaction requiring the receipt of a registration certificate, a certificate of notification, or an account number of the contract.;Подтверждаю, что данный платеж и (или) перевод денег не связан с осуществлением физическим лицом валютной операции, требующей получения регистрационного свидетельства, свидетельства об уведомлении, учетного номера контракта.;Бұл төлемнің және (немесе) ақша аударымының жеке тұлғаның тіркеу куәлігін, хабарлама туралы куәлікті, келісімшарттың есептік нөмірін алуды қажет ететін валюталық операция жасауға байланысты емес екенін растаймын;intTransfer_confirmation;W
Status;Статус;Мәртебе;signingrules_status;W
Delete current field;Удалить текущее поле;Ағымдағы жолды алып тастау;demandType_deleteCurrentRow;W
Key for transfer;Ключ для перевода;Аудару үшін кілт;demandType_createKeyForTranslate;W
Cancellation;Отмена;Болдырмау;common_cancel;W
Role;Роль;Роль;manager_role;W
Drag the file with the PCO tokens here or click to select the file;Перетяните сюда файл с отп токенами или кликните для вибора файла;отп токендері бар файлды осында тасымалдаңыз немесе файл таңдау үшін шертіңіз;otp.import.downloadArea;W
Description of the PDC;Описание КНП;ТАК сипаттау;paymentOrder_purposeCodeDescription;W
Currency;Валюта;Валюта;signingrules_currency;W
View/Change;Просмотр/Изменение;Қарау / Өзгерту;common_viewEdit;W
Cashless sale;Безналичный продажа;Қолма-қол ақшасыз сату;exchangeRates_cashlessSale;W
Advanced filter;Расширенный фильтр;Кеңейтілген сүзгі;common_full_search;W
Payer;Плательщик;Төлеуші;standing.order.payer;W
New email;Новый email;Жаңа еmail;personal_newEmail;W
Create a new Type of letter;Создать новый Тип письма;Хаттың жаңа типін жасау;createNewLetterType;W
Remember appointment;Запомнить назначение;Белгіленуін есте сақтау;paymentOrder_savePaymentPurpose;W
Sign;Подписать;Қол қою;paymentOrder_sign;W
VIN code;VIN код;VIN код;paymentOrder_vinCode;W
Add new role;Добавить новую роль;Жаңа рөлді қосу;roles_add;W
Patronymic;Отчество;Әкесінің аты;customeruser_middleName;W
Blocking characteristic;Признак блокировки;Бұғаттау белгісі;organizationsCreate_lockingIndication;W
Payer;Плательщик;Төлеуші;payer;W
Create a new channel;Создать новый канал;Жаңа арна жасау;createNewChannel;W
Active;Активный;Белсенді;signingrules_active;W
1 account selected;1 счёт выбран;1 шот таңдалды;common_oneAccountSelected;W
Application version ;Версия приложения;Қосымшаның нұсқасы;events_applicationVersion;W
Rank of organization;Ранг организации;Ұйым рангі;orgRank;W
Letters;Письма;Хат;letters;W
Are you sure you want to delete card type №;Вы действительно хотите удалить Вид карт №;Сіз шынымен № карталардың Түрін өшіргіңіз келеді ме;sureYouWantDeleteCardType;W
Currency of transaction;Валюта транзакции;Транзакция валютасы;transactionCurrency;W
Channel;Канал;Арна;EventsExcelCreator.Channel;W
The session will end in;Сессия завершится через;...кейін Сессия аяқталады ;mainbar_sessionWillExpire;W
Create a payment recall application;Создать заявление на отзыв платежа;Төлемді кері шақыртуға өтініш жасау;withdraw_create;W
Search by the contents of the query;Поиск по содержимому запроса;Сұраныс мазмұны бойынша іздеу;requests_filtertitle;W
Date;Дата;Күні;withndraw_doc_date;W
International bank name;Международное наименование банка;Банктің халықаралық  атауы ;common_bankIntName;W
Urgent payment;Срочный платеж;Мерзімді төлем;paymentOrder_urgentPayment;W
More news;Ещё новости;Тағы жаңалықтар;moreNews;W
Number of the recalled document;Номер отзываемого документа;Кері шақыртылған құжат нөмірі;withdraw_doc_num_full;W
Prepare import;Подготовить импорт;Импортты қайталау;upload_prepare;W
Last name;Фамилия;Тегі;paymentOrder_lastName;W
International full name;Международное полное название;Халықаралық  толық атауы;intFullName;W
Additional authentification;Дополнительная аутентификация;Қосымша аутентификация;additionallogin_title;W
No more;Не более;Артық емес;noMore;W
To close a deposit;Закрыть депозит;Депозитті жабу;common_closeDeposit;W
Send;Отправить;Жөнелтуші;login_send;W
Blocked amount ;Заблокированная сумма;Бұғатталған  сома ;blockedAmount;W
Banks;Банки;Банктер;navigation_banks;W
